PeakID (cmd=annotatePeaks.pl HIOE_RFX6/HIOE_RFX6_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr5-41	chr5	77071893	77072347	+	75.6	0.908	promoter-TSS (NM_001297740)	promoter-TSS (NM_001297740)	43	NM_001297738	6902	Hs.291212	NM_004607	ENSG00000171530	TBCA	-	tubulin folding cofactor A	protein-coding
chr4-32	chr4	159131302	159131756	+	75.6	0.937	promoter-TSS (NM_018342)	promoter-TSS (NM_018342)	-109	NM_018342	55314	Hs.176227	NM_018342	ENSG00000164124	TMEM144	-	transmembrane protein 144	protein-coding
chr3-44	chr3	158440694	158441148	+	74.3	0.905	intron (NM_206963, intron 1 of 5)	intron (NM_206963, intron 1 of 5)	9325	NM_206963	5918	Hs.131269	NM_002888	ENSG00000118849	RARRES1	LXNL|PERG-1|TIG1	retinoic acid receptor responder 1	protein-coding
chr10-40	chr10	74451972	74452426	+	74.3	0.889	promoter-TSS (NM_001270680)	promoter-TSS (NM_001270680)	-178	NM_001270680	90550	Hs.591366	NM_138357	ENSG00000156026	MCU	C10orf42|CCDC109A|HsMCU	mitochondrial calcium uniporter	protein-coding
chr12-45	chr12	53886718	53887172	+	74.3	0.866	intron (NM_001193511, intron 1 of 13)	CpG	6297	NM_001193511	7786	Hs.713539	NM_006301	ENSG00000139625	MAP3K12	DLK|MEKK12|MUK|ZPK|ZPKP1	mitogen-activated protein kinase kinase kinase 12	protein-coding
chr11-63	chr11	86085555	86086009	+	74.3	0.909	promoter-TSS (NM_021827)	promoter-TSS (NM_021827)	4	NM_021827	60494	Hs.144913	NM_021827	ENSG00000149201	CCDC81	-	coiled-coil domain containing 81	protein-coding
chr2-78	chr2	219575433	219575887	+	74.3	0.937	5' UTR (NM_014640, exon 1 of 20)	5' UTR (NM_014640, exon 1 of 20)	102	NM_014640	9654	Hs.471405	NM_014640	ENSG00000135912	TTLL4	-	tubulin tyrosine ligase like 4	protein-coding
chr6-43	chr6	168157948	168158402	+	74.3	0.941	Intergenic	L1MC4a|LINE|L1	-38034	NR_149041	441179	Hs.192711	NR_149041	ENSG00000269155	LOC441179	-	uncharacterized LOC441179	ncRNA
chr7-46	chr7	100964846	100965300	+	74.3	0.953	promoter-TSS (NM_001287525)	promoter-TSS (NM_001287525)	20	NM_001287525	64792	Hs.389104	NM_022777	ENSG00000128581	IFT22	RABL5	intraflagellar transport 22	protein-coding
chr6-49	chr6	34856850	34857304	+	74.3	0.922	promoter-TSS (NM_015245)	promoter-TSS (NM_015245)	45	NM_015245	23294	Hs.656492	NM_015245	ENSG00000064999	ANKS1A	ANKS1	ankyrin repeat and sterile alpha motif domain containing 1A	protein-coding
chr15-18	chr15	55700499	55700953	+	74.3	0.940	promoter-TSS (NM_001204450)	promoter-TSS (NM_001204450)	-18	NM_001204451	9236	Hs.285051	NM_004748	ENSG00000260916	CCPG1	CPR8	cell cycle progression 1	protein-coding
chr9-46	chr9	88742159	88742613	+	74.3	0.938	promoter-TSS (NR_110996)	promoter-TSS (NR_110996)	-69	NR_110996	101927623	Hs.575644	NR_110996		LOC101927623	-	uncharacterized LOC101927623	ncRNA
chr11-66	chr11	119580359	119580813	+	74.3	0.930	intron (NM_203286, intron 1 of 5)	intron (NM_203286, intron 1 of 5)	19324	NM_203286	5818	Hs.334846	NM_002855	ENSG00000110400	NECTIN1	CD111|CLPED1|ED4|HIgR|HV1S|HVEC|OFC7|PRR|PRR1|PVRL1|PVRR|PVRR1|SK-12|nectin-1	nectin cell adhesion molecule 1	protein-coding
chr12-46	chr12	14993563	14994017	+	74.3	0.938	exon (NM_001354646, exon 2 of 2)	exon (NM_001354646, exon 2 of 2)	2670	NM_001354646	420	Hs.591158	NM_021071	ENSG00000111339	ART4	ARTC4|CD297|DO|DO/ART4|DOK1	ADP-ribosyltransferase 4 (Dombrock blood group)	protein-coding
chr12-44	chr12	12944860	12945314	+	74.3	0.750	TTS (NM_030817)	TTS (NM_030817)	6494	NM_030817	81575	Hs.23388	NM_030817	ENSG00000178878	APOLD1	VERGE	apolipoprotein L domain containing 1	protein-coding
chr2-67	chr2	216491252	216491706	+	74.3	0.884	intron (NR_037195, intron 5 of 9)	L1MC3|LINE|L1	-91287	NR_132383	105373869	Hs.152812	NR_132383		LINC01614	LCAL4	long intergenic non-protein coding RNA 1614	ncRNA
chr17-58	chr17	1953060	1953514	+	74.3	0.909	promoter-TSS (NR_029674)	promoter-TSS (NR_029674)	15	NR_029674	406921		NR_029674	ENSG00000267200	MIR132	MIRN132|miRNA132|mir-132	microRNA 132	ncRNA
chr6-56	chr6	146919854	146920308	+	74.3	0.935	promoter-TSS (NR_125860)	promoter-TSS (NR_125860)	-14	NR_125860	101928661	Hs.711833	NR_125860	ENSG00000237468	LOC101928661	-	uncharacterized LOC101928661	ncRNA
chr13-19	chr13	74861947	74862401	+	74.3	0.954	Intergenic	Intergenic	56593	NR_144451	100507612	Hs.447508	NR_144451	ENSG00000235532	LINC00402	-	long intergenic non-protein coding RNA 402	ncRNA
chr15-22	chr15	75959027	75959481	+	74.3	0.952	Intergenic	Intergenic	17906	NM_153271	257364	Hs.8705	NM_153271	ENSG00000173548	SNX33	SH3PX3|SH3PXD3C|SNX30	sorting nexin 33	protein-coding
chr1-93	chr1	224691111	224691565	+	74.3	0.868	intron (NM_001322302, intron 2 of 6)	intron (NM_001322302, intron 2 of 6)	68787	NR_136291	149111	Hs.731723	NM_152495	ENSG00000143786	CNIH3	CNIH-3	cornichon family AMPA receptor auxiliary protein 3	protein-coding
chr7-54	chr7	73269704	73270158	+	74.3	0.844	Intergenic	Intergenic	-5558	NM_182504	135886	Hs.647026	NM_182504	ENSG00000175877	TMEM270	WBSCR28	transmembrane protein 270	protein-coding
chr6-44	chr6	135818709	135819163	+	74.3	0.897	promoter-TSS (NM_001134832)	promoter-TSS (NM_001134832)	-3	NR_152845	100131814	Hs.734007	NR_026805	ENSG00000231028	LINC00271	C6orf217|NCRNA00271	long intergenic non-protein coding RNA 271	ncRNA
chr2-66	chr2	203736033	203736487	+	74.3	0.905	promoter-TSS (NM_001288623)	promoter-TSS (NM_001288623)	-65	NM_001288623	130026	Hs.516629	NM_138468	ENSG00000163596	ICA1L	ALS2CR14|ALS2CR15	islet cell autoantigen 1 like	protein-coding
chr3-49	chr3	129033596	129034050	+	74.3	0.935	3' UTR (NM_006026, exon 1 of 1)	3' UTR (NM_006026, exon 1 of 1)	-1291	NR_026991	339942	Hs.450096	NM_001025468		H1FX-AS1	C3orf47	H1FX antisense RNA 1	ncRNA
chr13-18	chr13	34731157	34731611	+	74.3	0.915	Intergenic	Intergenic	-190796	NR_146542	105370158		NR_146542		LINC02343	-	long intergenic non-protein coding RNA 2343	ncRNA
chr16-60	chr16	89766452	89766906	+	74.3	0.954	intron (NM_152339, intron 2 of 2)	intron (NM_152339, intron 2 of 2)	1434	NM_152339	124044	Hs.374556	NM_152339	ENSG00000158792	SPATA2L	C16orf76|tamo	spermatogenesis associated 2 like	protein-coding
chr10-41	chr10	134124794	134125248	+	74.3	0.935	intron (NM_001318878, intron 1 of 11)	intron (NM_001318878, intron 1 of 11)	-3567	NM_173575	282974	Hs.469002	NM_173575	ENSG00000165752	STK32C	PKE|YANK3	serine/threonine kinase 32C	protein-coding
chr2-68	chr2	113983414	113983868	+	74.3	0.919	intron (NM_013992, intron 7 of 8)	intron (NM_013992, intron 7 of 8)	-9463	NR_047570	654433	Hs.656660	NR_015377	ENSG00000189223	PAX8-AS1	-	PAX8 antisense RNA 1	ncRNA
chr8-28	chr8	49814716	49815170	+	74.3	0.969	Intergenic	Intergenic	19045	NM_003068	6591	Hs.360174	NM_003068	ENSG00000019549	SNAI2	SLUG|SLUGH|SLUGH1|SNAIL2|WS2D	snail family transcriptional repressor 2	protein-coding
chr1-91	chr1	67390283	67390737	+	74.3	0.909	promoter-TSS (NM_001278215)	promoter-TSS (NM_001278215)	29	NM_024763	79819	Hs.49421	NM_024763	ENSG00000152763	WDR78	DIC4	WD repeat domain 78	protein-coding
chr7-52	chr7	156744213	156744667	+	74.3	0.889	intron (NM_138400, intron 1 of 10)	AluY|SINE|Alu	2034	NM_138400	64434	Hs.15825	NM_138400	ENSG00000146909	NOM1	C7orf3|PPP1R113|SGD1	nucleolar protein with MIF4G domain 1	protein-coding
chr6-48	chr6	37212563	37213017	+	74.3	0.938	intron (NM_145316, intron 1 of 3)	MLT1H|LTR|ERVL-MaLR	12585	NM_145316	221468	Hs.520101	NM_145316	ENSG00000172738	TMEM217	C6orf128|dJ355M6.2	transmembrane protein 217	protein-coding
chr1-95	chr1	233749955	233750409	+	74.3	0.879	exon (NM_002245, exon 1 of 3)	exon (NM_002245, exon 1 of 3)	330	NM_002245	3775	Hs.208544	NM_002245	ENSG00000135750	KCNK1	DPK|HOHO|K2P1|K2p1.1|KCNO1|TWIK-1|TWIK1	potassium two pore domain channel subfamily K member 1	protein-coding
chr19-77	chr19	49134425	49134879	+	74.3	0.800	TTS (NM_001204160)	TTS (NM_001204160)	5984	NM_001352	1628	Hs.414480	NM_001352	ENSG00000105516	DBP	DABP|taxREB302	D-box binding PAR bZIP transcription factor	protein-coding
chr19-74	chr19	743161	743615	+	73.1	0.889	intron (NM_002579, intron 8 of 8)	intron (NM_002579, intron 8 of 8)	-7724	NM_173481	126353	Hs.439180	NM_173481	ENSG00000099812	MISP	C19orf21|MISP1	mitotic spindle positioning	protein-coding
chr14-31	chr14	93159019	93159473	+	73.1	0.892	Intergenic	Intergenic	55726	NM_001363696	5641	Hs.18069	NM_005606	ENSG00000100600	LGMN	AEP|LGMN1|PRSC1	legumain	protein-coding
chr6-50	chr6	114176250	114176704	+	73.1	0.937	Intergenic	Intergenic	-2047	NM_002356	4082	Hs.519909	NM_002356	ENSG00000277443	MARCKS	80K-L|MACS|PKCSL|PRKCSL	myristoylated alanine rich protein kinase C substrate	protein-coding
chr17-53	chr17	75321788	75322242	+	73.1	0.919	intron (NM_006640, intron 1 of 10)	intron (NM_006640, intron 1 of 10)	6418	NM_006640	10801	Hs.440932	NM_006640	ENSG00000184640	SEPTIN9	AF17q25|MSF|MSF1|NAPB|PNUTL4|SEPT9|SINT1|SeptD1	septin 9	protein-coding
chr17-52	chr17	64961494	64961948	+	73.1	0.942	intron (NM_014405, intron 1 of 3)	CpG	898	NM_014405	27092	Hs.514423	NM_014405	ENSG00000075461	CACNG4	-	calcium voltage-gated channel auxiliary subunit gamma 4	protein-coding
chr15-19	chr15	89658198	89658652	+	73.1	0.938	intron (NM_007011, intron 6 of 14)	intron (NM_007011, intron 6 of 14)	26738	NM_007011	11057	Hs.122337	NM_007011	ENSG00000140526	ABHD2	HS1-2|LABH2|PHPS1-2	abhydrolase domain containing 2	protein-coding
chr17-67	chr17	69159576	69160030	+	73.1	0.933	intron (NR_104152, intron 2 of 3)	intron (NR_104152, intron 2 of 3)	38517	NR_104152	101928165	Hs.407613	NR_104152	ENSG00000260785	CASC17	LINC00600	cancer susceptibility 17	ncRNA
chr2-76	chr2	45270301	45270755	+	73.1	0.952	Intergenic	Intergenic	-33937	NM_016932	10736	Hs.101937	NM_016932	ENSG00000170577	SIX2	-	SIX homeobox 2	protein-coding
chr19-75	chr19	35635920	35636374	+	73.1	0.938	intron (NM_022006, intron 1 of 5)	intron (NM_022006, intron 1 of 5)	1988	NM_022006	53822	Hs.134729	NM_022006	ENSG00000221946	FXYD7	-	FXYD domain containing ion transport regulator 7	protein-coding
chr9-47	chr9	135073901	135074355	+	73.1	0.871	intron (NM_032536, intron 3 of 7)	intron (NM_032536, intron 3 of 7)	36683	NM_032536	84628	Hs.163642	NM_032536	ENSG00000196358	NTNG2	LHLL9381|Lmnt2|NTNG1|bA479K20.1	netrin G2	protein-coding
chr9-48	chr9	85671020	85671474	+	73.1	0.918	intron (NM_152573, intron 1 of 16)	intron (NM_152573, intron 1 of 16)	6810	NM_152573	158158	Hs.129136	NM_152573	ENSG00000165105	RASEF	RAB45	RAS and EF-hand domain containing	protein-coding
chr2-69	chr2	3307276	3307730	+	73.1	0.934	intron (NM_001330530, intron 3 of 9)	intron (NM_001330530, intron 3 of 9)	74086	NM_003310	7260	Hs.502770	NM_003310	ENSG00000032389	EIPR1	EIPR-1|TSSC1	EARP complex and GARP complex interacting protein 1	protein-coding
chr22-33	chr22	44216606	44217060	+	73.1	0.902	Intergenic	Intergenic	-8648	NM_198856	64800	Hs.658996	NM_022785	ENSG00000186976	EFCAB6	DJBP|HSCBCIP1|dJ185D5.1	EF-hand calcium binding domain 6	protein-coding
chr2-75	chr2	206003382	206003836	+	73.1	0.952	intron (NM_152526, intron 10 of 21)	intron (NM_152526, intron 10 of 21)	-543615	NM_201264	8828	Hs.471200	NM_003872	ENSG00000118257	NRP2	NP2|NPN2|PRO2714|VEGF165R2	neuropilin 2	protein-coding
chr14-38	chr14	70010412	70010866	+	73.1	0.950	Intergenic	Intergenic	30949	NM_001271507	56936	Hs.458319	NM_020181	ENSG00000267909	CCDC177	C14orf162|PLPL	coiled-coil domain containing 177	protein-coding
chr15-23	chr15	75636272	75636726	+	73.1	0.887	TTS (NR_104312)	TTS (NR_104312)	-2832	NM_001352519	79661	Hs.512732	NM_024608	ENSG00000140398	NEIL1	FPG1|NEI1|hFPG1	nei like DNA glycosylase 1	protein-coding
chr17-59	chr17	56012541	56012995	+	73.1	0.790	intron (NM_001271875, intron 1 of 10)	(CA)n|Simple_repeat|Simple_repeat	20005	NM_001271875	404093	Hs.46679	NM_001271875	ENSG00000180891	CUEDC1	-	CUE domain containing 1	protein-coding
chr1-96	chr1	201697848	201698302	+	73.1	0.894	intron (NM_020443, intron 3 of 29)	intron (NM_020443, intron 3 of 29)	9439	NR_049823	100847050		NR_049823	ENSG00000264802	MIR5191	-	microRNA 5191	ncRNA
chr3-45	chr3	127127373	127127827	+	73.1	0.953	Intergenic	Intergenic	-18087	NR_110147	101927123	Hs.526761	NR_110147	ENSG00000244215	LINC02016	-	long intergenic non-protein coding RNA 2016	ncRNA
chr12-50	chr12	75134879	75135333	+	73.1	0.952	Intergenic	MER47B|DNA|TcMar-Tigger	203491	NM_001136262	552889	Hs.744849	NM_001136262	ENSG00000253719	ATXN7L3B	lnc-SCA7	ataxin 7 like 3B	protein-coding
chr5-37	chr5	146669800	146670254	+	73.1	0.921	intron (NM_001112724, intron 4 of 12)	intron (NM_001112724, intron 4 of 12)	55438	NM_145001	202374	Hs.585069	NM_145001	ENSG00000169302	STK32A	YANK1	serine/threonine kinase 32A	protein-coding
chr2-71	chr2	53163132	53163586	+	73.1	0.889	Intergenic	Intergenic	-233606	NR_039630	100616431		NR_039630	ENSG00000264975	MIR4431	-	microRNA 4431	ncRNA
chr7-50	chr7	44163054	44163508	+	73.1	0.846	promoter-TSS (NM_001256879)	promoter-TSS (NM_001256879)	-112	NM_006230	5425	Hs.306791	NM_006230	ENSG00000106628	POLD2	-	DNA polymerase delta 2, accessory subunit	protein-coding
chr17-56	chr17	37300541	37300995	+	73.1	0.828	intron (NM_020405, intron 1 of 13)	intron (NM_020405, intron 1 of 13)	7122	NM_020405	57125	Hs.125036	NM_020405	ENSG00000161381	PLXDC1	TEM3|TEM7	plexin domain containing 1	protein-coding
chr16-57	chr16	699108	699562	+	73.1	0.877	promoter-TSS (NR_135177)	promoter-TSS (NR_135177)	-22	NR_135177	105371038		NR_135177		LOC105371038	-	uncharacterized LOC105371038	ncRNA
chr2-70	chr2	234074556	234075010	+	73.1	0.908	intron (NM_001017915, intron 12 of 25)	intron (NM_001017915, intron 12 of 25)	-85434	NM_198890	55054	Hs.529322	NM_017974	ENSG00000085978	ATG16L1	APG16L|ATG16A|ATG16L|IBD10|WDR30	autophagy related 16 like 1	protein-coding
chr4-30	chr4	154073169	154073623	+	73.1	0.917	promoter-TSS (NM_001351056)	promoter-TSS (NM_001351056)	-90	NM_001351056	23321	Hs.435711	NM_015271	ENSG00000109654	TRIM2	CMT2R|RNF86	tripartite motif containing 2	protein-coding
chr1-108	chr1	55146956	55147410	+	73.1	0.900	intron (NM_001039464, intron 13 of 23)	LTR87|LTR|ERVL?	-34312	NM_001291333	7268	Hs.412482	NM_004623	ENSG00000243725	TTC4	CNS1	tetratricopeptide repeat domain 4	protein-coding
chr16-56	chr16	89583537	89583991	+	71.8	0.875	intron (NM_199367, intron 3 of 9)	intron (NM_199367, intron 3 of 9)	8953	NM_003119	6687	Hs.185597	NM_003119	ENSG00000197912	SPG7	CAR|CMAR|PGN|SPG5C	SPG7 matrix AAA peptidase subunit, paraplegin	protein-coding
chr20-26	chr20	49126471	49126925	+	71.8	0.950	promoter-TSS (NM_002827)	promoter-TSS (NM_002827)	-160	NM_001278618	5770	Hs.417549	NM_002827	ENSG00000196396	PTPN1	PTP1B	protein tyrosine phosphatase non-receptor type 1	protein-coding
chr4-29	chr4	103476186	103476640	+	71.8	0.885	intron (NM_003998, intron 5 of 23)	intron (NM_003998, intron 5 of 23)	-52770	NR_136202	105377621	Hs.15833	NR_136202		LOC105377621	-	uncharacterized LOC105377621	ncRNA
chr19-80	chr19	1860018	1860472	+	71.8	0.919	intron (NM_031918, intron 1 of 1)	intron (NM_031918, intron 1 of 1)	3333	NM_031918	83855	Hs.136280	NM_031918	ENSG00000129911	KLF16	BTEB4|DRRF|NSLP2	Kruppel like factor 16	protein-coding
chr20-24	chr20	43160247	43160701	+	71.8	0.919	promoter-TSS (NM_001281444)	promoter-TSS (NM_001281444)	-42	NM_007066	11142	Hs.472831	NM_007066	ENSG00000168734	PKIG	PKI-gamma	cAMP-dependent protein kinase inhibitor gamma	protein-coding
chr20-25	chr20	11872829	11873283	+	71.8	0.967	promoter-TSS (NM_001282550)	promoter-TSS (NM_001282550)	-85	NM_001282550	22903	Hs.709366	NM_014962	ENSG00000132640	BTBD3	dJ742J24.1	BTB domain containing 3	protein-coding
chr22-34	chr22	45604831	45605285	+	71.8	0.885	intron (NM_015264, intron 2 of 9)	intron (NM_015264, intron 2 of 9)	3289	NM_015264	23313	Hs.592207	NM_015264	ENSG00000100364	KIAA0930	C22orf9|LSC3	KIAA0930	protein-coding
chr17-72	chr17	20465992	20466446	+	71.8	0.938	Intergenic	Intergenic	-16818	NM_001190790	256223	Hs.131916	NM_001190790	ENSG00000214819	CDRT15L2	-	CMT1A duplicated region transcript 15 like 2	protein-coding
chr7-53	chr7	98973589	98974043	+	71.8	0.970	intron (NM_005720, intron 1 of 9)	AluSx|SINE|Alu	1463	NM_005720	10095	Hs.489284	NM_005720	ENSG00000130429	ARPC1B	ARC41|PLTEID|p40-ARC|p41-ARC	actin related protein 2/3 complex subunit 1B	protein-coding
chr19-85	chr19	45115009	45115463	+	71.8	0.885	Intergenic	Intergenic	-1637	NM_001205280	147710	Hs.512509	NM_001205280	ENSG00000216588	IGSF23	-	immunoglobulin superfamily member 23	protein-coding
chr11-70	chr11	62473508	62473962	+	71.8	0.934	promoter-TSS (NM_001130702)	promoter-TSS (NM_001130702)	52	NM_001130702	26580	Hs.533709	NM_032667	ENSG00000168000	BSCL2	GNG3LG|HMN5|PELD|SPG17	BSCL2 lipid droplet biogenesis associated, seipin	protein-coding
chr8-34	chr8	26319757	26320211	+	71.8	0.867	Intergenic	Intergenic	51404	NM_007257	10687	Hs.591838	NM_007257	ENSG00000240694	PNMA2	MA2|MM2|RGAG2	PNMA family member 2	protein-coding
chr2-72	chr2	15298156	15298610	+	71.8	0.919	Intergenic	Intergenic	403075	NM_015909	51594	Hs.467759	NM_015909	ENSG00000151779	NBAS	ILFS2|NAG|SOPH	neuroblastoma amplified sequence	protein-coding
chr19-78	chr19	12893463	12893917	+	71.8	0.922	Intergenic	CpG	-4252	NR_049864	100847071		NR_049864	ENSG00000263800	MIR5684	-	microRNA 5684	ncRNA
chr4-28	chr4	156297895	156298349	+	71.8	0.833	promoter-TSS (NM_001039580)	promoter-TSS (NM_001039580)	-5	NM_001039580	79884	Hs.61271	NM_001039580	ENSG00000164114	MAP9	ASAP	microtubule associated protein 9	protein-coding
chr17-60	chr17	43090734	43091188	+	71.8	0.951	Intergenic	Intergenic	38039	NM_001288655	79877	Hs.463148	NM_024819	ENSG00000172992	DCAKD	-	dephospho-CoA kinase domain containing	protein-coding
chr1-104	chr1	156095962	156096416	+	71.8	0.871	intron (NM_001257374, intron 1 of 12)	intron (NM_001257374, intron 1 of 12)	228	NM_001257374	4000	Hs.594444	NM_005572	ENSG00000160789	LMNA	CDCD1|CDDC|CMD1A|CMT2B1|EMD2|FPL|FPLD|FPLD2|HGPS|IDC|LDP1|LFP|LGMD1B|LMN1|LMNC|LMNL1|MADA|PRO1	lamin A/C	protein-coding
chrY-1	chrY	8430486	8430940	+	71.8	0.933	Intergenic	SST1|Satellite|centr	-75622	NR_138045	100873963	Hs.161182	NR_138045		LINC00279	NCRNA00279	long intergenic non-protein coding RNA 279	ncRNA
chr4-35	chr4	57302259	57302713	+	71.8	0.934	promoter-TSS (NM_001079524)	promoter-TSS (NM_001079524)	60	NM_001079524	10606	Hs.518774	NM_006452	ENSG00000128050	PAICS	ADE2|ADE2H1|AIRC|PAIS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	protein-coding
chr17-70	chr17	17875972	17876426	+	71.8	0.918	promoter-TSS (NM_001350332)	promoter-TSS (NM_001350332)	23	NM_031294	83450	Hs.579264	NM_031294	ENSG00000171962	DRC3	CFAP134|LRRC48	dynein regulatory complex subunit 3	protein-coding
chr3-47	chr3	45467608	45468062	+	71.8	0.950	intron (NM_015340, intron 6 of 21)	intron (NM_015340, intron 6 of 21)	37767	NM_015340	23395	Hs.526975	NM_015340	ENSG00000011376	LARS2	HLASA|LEURS|PRLTS4|mtLeuRS	leucyl-tRNA synthetase 2, mitochondrial	protein-coding
chr12-51	chr12	133010051	133010505	+	71.8	0.844	Intergenic	Intergenic	-56459	NM_001367871	57666	Hs.411138	NM_001142641	ENSG00000112787	FBRSL1	-	fibrosin like 1	protein-coding
chr2-74	chr2	220109936	220110390	+	71.8	0.909	promoter-TSS (NM_001286423)	promoter-TSS (NM_001286423)	3	NM_001286423	79411	Hs.181173	NM_024506	ENSG00000163521	GLB1L	-	galactosidase beta 1 like	protein-coding
chr13-24	chr13	101942066	101942520	+	71.8	0.934	intron (NM_001350748, intron 9 of 44)	intron (NM_001350748, intron 9 of 44)	126566	NM_001350750	259232	Hs.525146	NM_052867	ENSG00000102452	NALCN	CLIFAHDD|CanIon|IHPRF|IHPRF1|INNFD|VGCNL1|bA430M15.1	sodium leak channel, non-selective	protein-coding
chr9-49	chr9	136378224	136378678	+	71.8	0.889	Intergenic	X7B_LINE|LINE|CR1	11630	NM_001080483	389827		NM_001080483	ENSG00000187616	MYMK	MYOMAKER|TMEM226|TMEM8C	myomaker, myoblast fusion factor	protein-coding
chr14-35	chr14	34419511	34419965	+	70.6	0.900	exon (NM_022073, exon 1 of 5)	exon (NM_022073, exon 1 of 5)	542	NM_022073	112399	Hs.135507	NM_022073	ENSG00000129521	EGLN3	HIFP4H3|HIFPH3|PHD3	egl-9 family hypoxia inducible factor 3	protein-coding
chr14-34	chr14	101576226	101576680	+	70.6	0.951	Intergenic	Intergenic	-10740	NR_146490	101929422		NR_146490	ENSG00000259004	LINC02285	-	long intergenic non-protein coding RNA 2285	ncRNA
chr15-20	chr15	50033832	50034286	+	70.6	0.887	Intergenic	L1MA3|LINE|L1	120814	NM_001144955	56986	Hs.127432	NM_020234	ENSG00000104047	DTWD1	MDS009	DTW domain containing 1	protein-coding
chr11-72	chr11	109643487	109643941	+	70.6	0.803	Intergenic	Intergenic	-320404	NM_033390	85463	Hs.376289	NM_033390	ENSG00000149289	ZC3H12C	MCPIP3	zinc finger CCCH-type containing 12C	protein-coding
chr6-47	chr6	89698908	89699362	+	70.6	0.871	Intergenic	Intergenic	-25798	NM_001286426	8732	Hs.567378	NM_003800	ENSG00000111880	RNGTT	CAP1A|HCE|HCE1|hCAP	RNA guanylyltransferase and 5'-phosphatase	protein-coding
chr6-53	chr6	116429980	116430434	+	70.6	0.933	intron (NM_152729, intron 3 of 11)	intron (NM_152729, intron 3 of 11)	8191	NM_152729	221294	Hs.520341	NM_152729	ENSG00000178425	NT5DC1	C6orf200|LP2642|NT5C2L1	5'-nucleotidase domain containing 1	protein-coding
chr1-107	chr1	68639692	68640146	+	70.6	0.918	intron (NM_001193334, intron 1 of 10)	intron (NM_001193334, intron 1 of 10)	9374	NR_031664	100302279		NR_031664	ENSG00000221203	MIR1262	MIRN1262|hsa-mir-1262|mir-1262	microRNA 1262	ncRNA
chr15-21	chr15	74219319	74219773	+	70.6	0.869	exon (NM_005576, exon 1 of 7)	exon (NM_005576, exon 1 of 7)	581	NR_040067	100287616	Hs.599785	NR_040066	ENSG00000261801	LOXL1-AS1	-	LOXL1 antisense RNA 1	ncRNA
chr12-48	chr12	95611672	95612126	+	70.6	0.889	promoter-TSS (NM_018351)	promoter-TSS (NM_018351)	316	NM_017599	55591	Hs.24135	NM_017599	ENSG00000028203	VEZT	VEZATIN	vezatin, adherens junctions transmembrane protein	protein-coding
chr6-45	chr6	161495749	161496203	+	70.6	0.887	intron (NM_001301072, intron 5 of 26)	intron (NM_001301072, intron 5 of 26)	83175	NM_005922	4216	Hs.390428	NM_005922	ENSG00000085511	MAP3K4	MAPKKK4|MEKK 4|MEKK4|MTK1|PRO0412	mitogen-activated protein kinase kinase kinase 4	protein-coding
chr17-64	chr17	16934097	16934551	+	70.6	0.919	Intergenic	Intergenic	-11447	NM_001364716	23164	Hs.462341	NM_015134	ENSG00000133030	MPRIP	M-RIP|MRIP|RHOIP3|RIP3|p116Rip	myosin phosphatase Rho interacting protein	protein-coding
chr22-35	chr22	25833258	25833712	+	70.6	0.871	Intergenic	Intergenic	-10569	NR_033733	1416	Hs.571835	NR_033733	ENSG00000100058	CRYBB2P1	CRYB2B	crystallin beta B2 pseudogene 1	pseudo
chr5-40	chr5	92713784	92714238	+	70.6	0.934	Intergenic	Tigger6a|DNA|TcMar-Tigger	193038	NR_109825	441094	Hs.457407	NR_015369	ENSG00000237187	NR2F1-AS1	-	NR2F1 antisense RNA 1	ncRNA
chr19-82	chr19	55629724	55630178	+	70.6	0.949	promoter-TSS (NM_017607)	promoter-TSS (NM_017607)	-946	NM_001271618	54776	Hs.631579	NM_017607	ENSG00000125503	PPP1R12C	AAVS1|LENG3|MBS85|p84|p85	protein phosphatase 1 regulatory subunit 12C	protein-coding
chr11-73	chr11	113969588	113970042	+	70.6	0.967	intron (NM_006006, intron 2 of 6)	intron (NM_006006, intron 2 of 6)	35882	NM_001354752	7704	Hs.591945	NM_006006	ENSG00000109906	ZBTB16	PLZF|ZNF145	zinc finger and BTB domain containing 16	protein-coding
chr11-68	chr11	797185	797639	+	70.6	0.921	promoter-TSS (NM_001293167)	promoter-TSS (NM_001293167)	-99	NM_001293167	101927423	Hs.99486	NM_001293167	ENSG00000274897	PANO1	PANO	proapoptotic nucleolar protein 1	protein-coding
chr3-46	chr3	139108365	139108819	+	70.6	0.628	promoter-TSS (NM_004766)	promoter-TSS (NM_004766)	-53	NR_121609	100507291	Hs.97661	NR_121608	ENSG00000248932	LOC100507291	-	uncharacterized LOC100507291	ncRNA
chr1-100	chr1	150980538	150980992	+	70.6	0.918	promoter-TSS (NM_001303229)	promoter-TSS (NM_001303229)	-90	NM_001319998	55793	Hs.743952	NM_018379	ENSG00000143409	MINDY1	FAM63A|MINDY-1	MINDY lysine 48 deubiquitinase 1	protein-coding
