PeakID (cmd=annotatePeaks.pl HIOE_NEUROD1/HIOE_NEUROD1_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr5-8	chr5	60893934	60894262	+	16.2	0.816	Intergenic	Intergenic	-39489	NR_161251	285668	Hs.683866	NR_126523	ENSG00000178722	C5orf64	-	chromosome 5 open reading frame 64	ncRNA
chr1-53	chr1	117081298	117081626	+	16.2	0.846	intron (NM_001779, intron 2 of 5)	intron (NM_001779, intron 2 of 5)	21271	NR_039621	100616384		NR_039621	ENSG00000264419	MIR548AC	-	microRNA 548ac	ncRNA
chr15-11	chr15	63340910	63341238	+	16.2	0.875	non-coding (NR_147233, exon 1 of 2)	non-coding (NR_147233, exon 1 of 2)	386	NM_001330344	7168	Hs.133892	NM_000366	ENSG00000140416	TPM1	C15orf13|CMD1Y|CMH3|HEL-S-265|HTM-alpha|LVNC9|TMSA	tropomyosin 1	protein-coding
chr11-24	chr11	3188183	3188511	+	16.2	0.700	Intergenic	Intergenic	-1807	NM_001144063	114879	Hs.436166	NM_020896	ENSG00000021762	OSBPL5	OBPH1|ORP5	oxysterol binding protein like 5	protein-coding
chr16-48	chr16	52469556	52469884	+	15.7	0.892	TTS (NM_001080430)	TTS (NM_001080430)	111335	NM_001080430	27324	Hs.132574	NM_001080430	ENSG00000103460	TOX3	CAGF9|TNRC9	TOX high mobility group box family member 3	protein-coding
chr17-48	chr17	74674355	74674683	+	15.7	0.811	intron (NM_001008528, intron 3 of 3)	intron (NM_001008528, intron 3 of 3)	6509	NR_130916	105274304	Hs.572495	NR_130916	ENSG00000261335	LOC105274304	-	uncharacterized LOC105274304	ncRNA
chr15-16	chr15	89182246	89182574	+	15.7	0.750	intron (NM_001303236, intron 1 of 3)	intron (NM_001303236, intron 1 of 3)	163	NM_001303237	3669	Hs.459265	NM_002201	ENSG00000172183	ISG20	CD25|HEM45	interferon stimulated exonuclease gene 20	protein-coding
chr6-20	chr6	35765007	35765335	+	15.7	0.811	promoter-TSS (NM_001252598)	promoter-TSS (NM_001252598)	-50	NM_001252598	1208	Hs.1340	NM_001832	ENSG00000137392	CLPS	-	colipase	protein-coding
chr11-25	chr11	3253133	3253461	+	15.7	0.789	intron (NM_001039165, intron 1 of 1)	intron (NM_001039165, intron 1 of 1)	350	NM_001039165	116534	Hs.745512	NM_001039165	ENSG00000184350	MRGPRE	GPR167|MGRF|MRGE	MAS related GPR family member E	protein-coding
chr19-22	chr19	10138289	10138617	+	15.7	0.853	Intergenic	CpG	-10577	NR_049855	100847093		NR_049855	ENSG00000266204	MIR5589	-	microRNA 5589	ncRNA
chr3-13	chr3	52060103	52060431	+	15.7	0.789	Intergenic	L2c|LINE|L2	30320	NM_001947	1849	Hs.591664	NM_001947	ENSG00000164086	DUSP7	MKPX|PYST2	dual specificity phosphatase 7	protein-coding
chr11-26	chr11	72475587	72475915	+	15.7	0.703	intron (NM_006645, intron 2 of 6)	intron (NM_006645, intron 2 of 6)	-12317	NM_001040118	116985	Hs.503165	NM_015242	ENSG00000186635	ARAP1	CENTD2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	protein-coding
chr1-65	chr1	22587479	22587807	+	15.7	0.800	Intergenic	Intergenic	-5089	NR_039613	100616433		NR_039613	ENSG00000266564	MIR4418	-	microRNA 4418	ncRNA
chr16-52	chr16	10688545	10688873	+	15.7	0.795	Intergenic	Intergenic	-14254	NM_001424	2013	Hs.531561	NM_001424	ENSG00000213853	EMP2	XMP	epithelial membrane protein 2	protein-coding
chr9-21	chr9	133864276	133864604	+	15.7	0.769	Intergenic	Intergenic	-20121	NM_006059	10319	Hs.201805	NM_006059	ENSG00000050555	LAMC3	OCCM	laminin subunit gamma 3	protein-coding
chr17-54	chr17	71179060	71179388	+	15.7	0.743	Intergenic	Intergenic	-9970	NM_018714	9382	Hs.103555	NM_018714	ENSG00000166685	COG1	CDG2G|LDLB	component of oligomeric golgi complex 1	protein-coding
chr6-23	chr6	41395441	41395769	+	15.7	0.676	Intergenic	CpG	-74577	NR_120347	103106903	Hs.563396	NR_120347	ENSG00000226917	LINC01276	-	long intergenic non-protein coding RNA 1276	ncRNA
chr2-49	chr2	88520256	88520584	+	15.7	0.658	Intergenic	Intergenic	47762	NM_018271	55258	Hs.739080	NM_018271	ENSG00000144115	THNSL2	SOFAT|THS2|TSH2	threonine synthase like 2	protein-coding
chr6-21	chr6	81848258	81848586	+	15.7	0.737	Intergenic	L1PA14|LINE|L1	613976	NM_017633	55603	Hs.10784	NM_017633	ENSG00000112773	TENT5A	C6orf37|FAM46A|OI18|XTP11	terminal nucleotidyltransferase 5A	protein-coding
chr15-17	chr15	39548026	39548354	+	15.7	0.882	Intergenic	Intergenic	5320	NR_144507	400360	Hs.376109	NM_207445	ENSG00000175746	C15orf54	-	chromosome 15 open reading frame 54 (putative)	ncRNA
chr1-60	chr1	227953836	227954164	+	15.7	0.732	intron (NM_053052, intron 3 of 4)	intron (NM_053052, intron 3 of 4)	30604	NM_001323934	116841	Hs.325081	NM_053052	ENSG00000143740	SNAP47	C1orf142|ESFI5812|HEL-S-290|HEL170|SNAP-47|SVAP1	synaptosome associated protein 47	protein-coding
chr19-19	chr19	3133397	3133725	+	15.7	0.816	Intergenic	Intergenic	-2470	NM_002068	2769	Hs.73797	NM_002068	ENSG00000060558	GNA15	GNA16	G protein subunit alpha 15	protein-coding
chr8-18	chr8	97340109	97340437	+	15.7	0.795	intron (NM_014754, intron 10 of 12)	intron (NM_014754, intron 10 of 12)	58603	NR_125829	102724804	Hs.571415	NR_125828	ENSG00000253105	LOC102724804	-	uncharacterized LOC102724804	ncRNA
chr8-22	chr8	59770933	59771261	+	15.7	0.800	intron (NM_014729, intron 3 of 8)	intron (NM_014729, intron 3 of 8)	-198685	NM_003580	8439	Hs.372000	NM_003580	ENSG00000035681	NSMAF	FAN|GRAMD5	neutral sphingomyelinase activation associated factor	protein-coding
chr15-18	chr15	42399704	42400032	+	15.7	0.886	Intergenic	Intergenic	-13108	NM_178034	283748	Hs.380225	NM_178034	ENSG00000159337	PLA2G4D	cPLA2delta	phospholipase A2 group IVD	protein-coding
chr10-41	chr10	72268538	72268866	+	15.7	0.700	intron (NM_014431, intron 1 of 19)	intron (NM_014431, intron 1 of 19)	30179	NM_014431	27143	Hs.202351	NM_014431	ENSG00000107719	PALD1	KIAA1274|PALD	phosphatase domain containing paladin 1	protein-coding
chr20-12	chr20	62169136	62169464	+	15.7	0.882	promoter-TSS (NM_005975)	promoter-TSS (NM_005975)	-571	NM_005975	5753	Hs.51133	NM_005975	ENSG00000101213	PTK6	BRK	protein tyrosine kinase 6	protein-coding
chr1-57	chr1	154440647	154440975	+	15.7	0.811	3' UTR (NM_181359, exon 9 of 9)	3' UTR (NM_181359, exon 9 of 9)	-33884	NM_182499	126668	Hs.387671	NM_182499	ENSG00000163239	TDRD10	-	tudor domain containing 10	protein-coding
chr11-28	chr11	838670	838998	+	15.7	0.784	TTS (NM_001039490)	TTS (NM_001039490)	3695	NM_021128	5441	Hs.441072	NM_021128	ENSG00000177700	POLR2L	RBP10|RPABC5|RPB10|RPB10beta|RPB7.6|hRPB7.6	RNA polymerase II subunit L	protein-coding
chr12-11	chr12	110153323	110153651	+	15.7	0.872	intron (NM_032829, intron 1 of 2)	intron (NM_032829, intron 1 of 2)	1857	NM_032829	84915	Hs.661785	NM_032829	ENSG00000139438	FAM222A	C12orf34	family with sequence similarity 222 member A	protein-coding
chr3-17	chr3	52274547	52274875	+	15.7	0.829	non-coding (NR_135307, exon 2 of 2)	non-coding (NR_135307, exon 2 of 2)	1457	NR_135307	101929054	Hs.281931	NR_135307	ENSG00000243224	LOC101929054	-	uncharacterized LOC101929054	ncRNA
chr6-18	chr6	110138111	110138439	+	15.7	0.769	intron (NM_014845, intron 22 of 22)	intron (NM_014845, intron 22 of 22)	125851	NM_014845	9896	Hs.529959	NM_014845	ENSG00000112367	FIG4	ALS11|BTOP|CMT4J|KIAA0274|SAC3|YVS|dJ249I4.1	FIG4 phosphoinositide 5-phosphatase	protein-coding
chr9-24	chr9	130893116	130893444	+	15.7	0.676	TTS (NR_024425)	TTS (NR_024425)	2472	NR_024425	389791	Hs.632678	NM_001013652	ENSG00000232850	PTGES2-AS1	-	PTGES2 antisense RNA 1 (head to head)	ncRNA
chr2-44	chr2	220376229	220376557	+	15.7	0.707	Intergenic	Intergenic	-2499	NM_018674	55515	Hs.87469	NM_018674	ENSG00000072182	ASIC4	ACCN4|BNAC4	acid sensing ion channel subunit family member 4	protein-coding
chr8-23	chr8	144027313	144027641	+	15.7	0.750	Intergenic	Intergenic	-28218	NM_000498	1585	Hs.632054	NM_000498	ENSG00000179142	CYP11B2	ALDOS|CPN2|CYP11B|CYP11BL|CYPXIB2|P-450C18|P450C18|P450aldo	cytochrome P450 family 11 subfamily B member 2	protein-coding
chr3-15	chr3	124905586	124905914	+	15.2	0.795	intron (NM_024628, intron 4 of 13)	intron (NM_024628, intron 4 of 13)	24493	NM_001195483	84561	Hs.658514	NM_024628	ENSG00000221955	SLC12A8	CCC9	solute carrier family 12 member 8	protein-coding
chr17-55	chr17	71115254	71115582	+	15.2	0.762	Intergenic	Intergenic	-26591	NM_001352693	201266	Hs.221127	NM_139177	ENSG00000133195	SLC39A11	C17orf26|ZIP-11|ZIP11	solute carrier family 39 member 11	protein-coding
chr10-48	chr10	73027384	73027712	+	15.2	0.892	intron (NM_001244889, intron 1 of 15)	intron (NM_001244889, intron 1 of 15)	-49563	NR_038453	728978	Hs.646725	NR_038453	ENSG00000237512	UNC5B-AS1	-	UNC5B antisense RNA 1	ncRNA
chr1-70	chr1	210028758	210029086	+	15.2	0.643	3' UTR (NM_014388, exon 12 of 12)	3' UTR (NM_014388, exon 12 of 12)	27605	NM_014388	27042	Hs.194754	NM_014388	ENSG00000117597	UTP25	C1orf107|DEF|DIEXF|DJ434O14.5	UTP25 small subunit processor component	protein-coding
chr16-50	chr16	11299800	11300128	+	15.2	0.650	Intergenic	Intergenic	50075	NM_003745	8651	Hs.50640	NM_003745	ENSG00000185338	SOCS1	CIS1|CISH1|JAB|SOCS-1|SSI-1|SSI1|TIP-3|TIP3	suppressor of cytokine signaling 1	protein-coding
chr4-21	chr4	79971601	79971929	+	15.2	0.605	intron (NR_038342, intron 2 of 5)	intron (NR_038342, intron 2 of 5)	78863	NR_038342	100505875	Hs.480055	NR_038342		LINC01088	-	long intergenic non-protein coding RNA 1088	ncRNA
chr4-22	chr4	84031628	84031956	+	15.2	0.778	promoter-TSS (NM_001130716)	promoter-TSS (NM_001130716)	-750	NM_001130716	51316	Hs.546392	NM_016619	ENSG00000145287	PLAC8	C15|DGIC|PNAS-144|onzin	placenta associated 8	protein-coding
chr8-20	chr8	124934319	124934647	+	15.2	0.872	intron (NM_001039112, intron 1 of 40)	intron (NM_001039112, intron 1 of 40)	70256	NM_001039112	654463	Hs.632058	NM_001039112	ENSG00000214814	FER1L6	C8ORFK23	fer-1 like family member 6	protein-coding
chr22-18	chr22	39323291	39323619	+	15.2	0.743	Intergenic	CpG	-30072	NM_001193289	100913187	Hs.226307	NM_001193289		APOBEC3A_B	A3A|APOBEC3A	APOBEC3A and APOBEC3B deletion hybrid	protein-coding
chr1-62	chr1	41975876	41976204	+	15.2	0.690	3' UTR (NM_024503, exon 9 of 9)	3' UTR (NM_024503, exon 9 of 9)	-25686	NM_001302269	1907	Hs.1407	NM_001956	ENSG00000127129	EDN2	ET-2|ET2|PPET2	endothelin 2	protein-coding
chr16-57	chr16	1392752	1393080	+	15.2	0.857	exon (NM_001199097, exon 14 of 34)	exon (NM_001199097, exon 14 of 34)	6718	NM_001199096	8938	Hs.458427	NM_003933	ENSG00000007516	BAIAP3	BAP3	BAI1 associated protein 3	protein-coding
chr14-15	chr14	104321405	104321733	+	15.2	0.767	intron (NR_038436, intron 2 of 2)	intron (NR_038436, intron 2 of 2)	7511	NR_038436	145216	Hs.578091	NR_038436	ENSG00000258735	LINC00637	-	long intergenic non-protein coding RNA 637	ncRNA
chr22-17	chr22	38639117	38639445	+	15.2	0.861	intron (NM_001195071, intron 3 of 8)	intron (NM_001195071, intron 3 of 8)	-18554	NR_132774	106635525		NR_132774		SNORA92	-	small nucleolar RNA, H/ACA box 92	snoRNA
chr9-26	chr9	4662726	4663054	+	15.2	0.784	promoter-TSS (NM_001353487)	promoter-TSS (NM_001353487)	596	NM_203453	403313	Hs.107510	NM_203453	ENSG00000205808	PLPP6	PDP1|PPAPDC2|PSDP|bA6J24.6	phospholipid phosphatase 6	protein-coding
chr19-21	chr19	56051944	56052272	+	15.2	0.806	TTS (NM_001199824)	TTS (NM_001199824)	-3608	NM_001370096	646643	Hs.532676	NM_001101401	ENSG00000187550	SBK2	SGK069	SH3 domain binding kinase family member 2	protein-coding
chr2-46	chr2	85660856	85661184	+	15.2	0.806	intron (NM_201594, intron 14 of 20)	intron (NM_201594, intron 14 of 20)	14966	NM_201594	284948	Hs.209542	NM_198482	ENSG00000152292	SH2D6	-	SH2 domain containing 6	protein-coding
chr13-7	chr13	99133481	99133809	+	15.2	0.722	intron (NM_001286649, intron 2 of 9)	intron (NM_001286649, intron 2 of 9)	40734	NM_003576	8428	Hs.508514	NM_003576	ENSG00000102572	STK24	HEL-S-95|MST3|MST3B|STE20|STK3	serine/threonine kinase 24	protein-coding
chr17-53	chr17	72116226	72116554	+	15.2	0.886	Intergenic	Intergenic	-83427	NM_001035258	6169	Hs.380953	NM_000999	ENSG00000172809	RPL38	L38	ribosomal protein L38	protein-coding
chr17-47	chr17	7739118	7739446	+	15.2	0.769	Intergenic	CpG	-3942	NM_001348716	23135	Hs.223678	NM_001080424	ENSG00000132510	KDM6B	JMJD3	lysine demethylase 6B	protein-coding
chr16-56	chr16	2053913	2054241	+	15.2	0.795	intron (NM_178167, intron 3 of 13)	CpG	5745	NM_178167	90850	Hs.343828	NM_178167	ENSG00000167962	ZNF598	HEL2	zinc finger protein 598	protein-coding
chr17-51	chr17	4625023	4625351	+	15.2	0.757	TTS (NM_001257329)	TTS (NM_001257329)	-9536	NM_001305000	400569	Hs.513885	NM_001001683	ENSG00000161920	MED11	HSPC296	mediator complex subunit 11	protein-coding
chr12-10	chr12	125009972	125010300	+	15.2	0.821	intron (NM_001206654, intron 2 of 47)	intron (NM_001206654, intron 2 of 47)	42022	NM_006312	9612	Hs.137510	NM_006312	ENSG00000196498	NCOR2	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	nuclear receptor corepressor 2	protein-coding
chr6-17	chr6	106698891	106699219	+	15.2	0.919	intron (NM_001286111, intron 2 of 4)	LTR41B|LTR|ERVL	65086	NR_104402	9474	Hs.486063	NM_004849	ENSG00000057663	ATG5	APG5|APG5-LIKE|APG5L|ASP|SCAR25|hAPG5	autophagy related 5	protein-coding
chr14-17	chr14	57524633	57524961	+	15.2	0.886	Intergenic	Intergenic	210826	NM_006544	10640	Hs.743987	NM_006544	ENSG00000070367	EXOC5	HSEC10|PRO1912|SEC10|SEC10L1|SEC10P	exocyst complex component 5	protein-coding
chr11-33	chr11	66105025	66105353	+	15.2	0.857	promoter-TSS (NM_001363559)	promoter-TSS (NM_001363559)	-944	NM_001363559	9610	Hs.1030	NM_004292	ENSG00000174791	RIN1	-	Ras and Rab interactor 1	protein-coding
chr21-17	chr21	40165839	40166167	+	15.2	0.838	Intergenic	Intergenic	-11104	NM_001256295	2114	Hs.644231	NM_005239	ENSG00000157557	ETS2	ETS2IT1	ETS proto-oncogene 2, transcription factor	protein-coding
chr4-19	chr4	2649058	2649386	+	15.2	0.816	intron (NM_001366318, intron 7 of 20)	intron (NM_001366318, intron 7 of 20)	22063	NM_003704	8603	Hs.652364	NM_003704	ENSG00000125386	FAM193A	C4orf8|RES4-22	family with sequence similarity 193 member A	protein-coding
chr2-50	chr2	109787216	109787544	+	15.2	0.763	intron (NM_001099289, intron 1 of 9)	intron (NM_001099289, intron 1 of 9)	-29336	NR_036223	100422863		NR_036223	ENSG00000264934	MIR4265	-	microRNA 4265	ncRNA
chr17-58	chr17	25572422	25572750	+	15.2	0.886	Intergenic	LTR79|LTR|ERVL	48436	NR_039748	100616277		NR_039748	ENSG00000263583	MIR4522	-	microRNA 4522	ncRNA
chr17-57	chr17	1065819	1066147	+	15.2	0.763	intron (NM_001322841, intron 1 of 22)	intron (NM_001322841, intron 1 of 22)	17292	NM_021962	29	Hs.159306	NM_001092	ENSG00000159842	ABR	MDB	ABR activator of RhoGEF and GTPase	protein-coding
chr5-12	chr5	139035378	139035706	+	15.2	0.676	intron (NM_001317205, intron 1 of 2)	intron (NM_001317205, intron 1 of 2)	-3598	NM_001317207	51523	Hs.189119	NM_016463	ENSG00000171604	CXXC5	CF5|HSPC195|RINF|WID	CXXC finger protein 5	protein-coding
chr7-24	chr7	103046240	103046568	+	15.2	0.811	intron (NM_206883, intron 8 of 19)	L1PA7|LINE|L1	37254	NR_120442	375611	Hs.585146	NM_198999	ENSG00000170615	SLC26A5	DFNB61|PRES	solute carrier family 26 member 5	protein-coding
chr1-66	chr1	159793115	159793443	+	15.2	0.848	Intergenic	Intergenic	-3384	NM_001330741	56833	Hs.438683	NM_020125	ENSG00000158714	SLAMF8	BLAME|CD353|SBBI42	SLAM family member 8	protein-coding
chr4-26	chr4	103531737	103532065	+	15.2	0.848	intron (NM_003998, intron 20 of 23)	intron (NM_003998, intron 20 of 23)	-108258	NR_136202	105377621	Hs.15833	NR_136202		LOC105377621	-	uncharacterized LOC105377621	ncRNA
chr2-52	chr2	224732748	224733076	+	15.2	0.833	Intergenic	MLT1G3|LTR|ERVL-MaLR	-30613	NR_110905	130340	Hs.632555	NM_178814	ENSG00000152056	AP1S3	PSORS15	adaptor related protein complex 1 subunit sigma 3	protein-coding
chrUn_gl000214-3	chrUn_gl000214	64235	64563	+	15.2	0.857	NA	Intergenic	NA	NA								
chr22-20	chr22	16861485	16861813	+	15.2	0.906	Intergenic	HSATII|Satellite|Satellite	212051	NM_014406	150160	Hs.128342	NM_014406	ENSG00000198445	CCT8L2	CESK1	chaperonin containing TCP1 subunit 8 like 2	protein-coding
chr11-32	chr11	62645132	62645460	+	15.2	0.800	intron (NM_001012662, intron 3 of 11)	L2c|LINE|L2	-3072	NM_001013251	6520	Hs.502769	NM_002394	ENSG00000168003	SLC3A2	4F2|4F2HC|4T2HC|CD98|CD98HC|MDU1|NACAE	solute carrier family 3 member 2	protein-coding
chr16-55	chr16	73054253	73054581	+	15.2	0.811	intron (NM_006885, intron 1 of 9)	intron (NM_006885, intron 1 of 9)	27610	NM_006885	463	Hs.598297	NM_006885	ENSG00000140836	ZFHX3	ATBF1|ATBT|ZNF927	zinc finger homeobox 3	protein-coding
chr12-13	chr12	50400535	50400863	+	15.2	0.800	intron (NM_001320005, intron 1 of 15)	intron (NM_001320005, intron 1 of 15)	18578	NM_001319999	29127	Hs.505469	NM_013277	ENSG00000161800	RACGAP1	CYK4|HsCYK-4|ID-GAP|MgcRacGAP	Rac GTPase activating protein 1	protein-coding
chr7-25	chr7	36985479	36985807	+	15.2	0.735	intron (NM_001206482, intron 16 of 21)	intron (NM_001206482, intron 16 of 21)	-26606	NR_031604	100302113		NR_031604	ENSG00000221325	MIR1200	MIRN1200|hsa-mir-1200	microRNA 1200	ncRNA
chr9-22	chr9	124044215	124044543	+	15.2	0.872	non-coding (NR_103560, exon 1 of 1)	non-coding (NR_103560, exon 1 of 1)	3429	NR_103560	57000	Hs.522373	NM_020250	ENSG00000235865	GSN-AS1	C9orf31|MOST2	GSN antisense RNA 1	ncRNA
chr16-47	chr16	75316713	75317041	+	15.2	0.789	Intergenic	Intergenic	-14972	NM_001170715	9564	Hs.479747	NM_014567	ENSG00000050820	BCAR1	CAS|CAS1|CASS1|CRKAS|P130Cas	BCAR1 scaffold protein, Cas family member	protein-coding
chr4-25	chr4	143861852	143862180	+	14.7	0.771	Intergenic	Intergenic	-94328	NM_001331040	8821	Hs.176376	NM_003866	ENSG00000109452	INPP4B	-	inositol polyphosphate-4-phosphatase type II B	protein-coding
chr12-14	chr12	45562814	45563142	+	14.7	0.938	Intergenic	Intergenic	46811	NR_037144	51054	Hs.233495	NM_015899	ENSG00000134297	PLEKHA8P1	FAPP-2|FAPP2|PLEKHA8|PLEKHA9|hFAPP2	pleckstrin homology domain containing A8 pseudogene 1	pseudo
chr20-19	chr20	50294970	50295298	+	14.7	0.829	intron (NM_006045, intron 9 of 27)	intron (NM_006045, intron 9 of 27)	89795	NM_006045	10079	Hs.649234	NM_006045	ENSG00000054793	ATP9A	ATPIIA	ATPase phospholipid transporting 9A (putative)	protein-coding
chr2-54	chr2	121427105	121427433	+	14.7	0.758	Intergenic	Intergenic	-66175	NM_001371271								
chr11-31	chr11	119247245	119247573	+	14.7	0.794	intron (NM_004205, intron 1 of 12)	intron (NM_004205, intron 1 of 12)	4991	NM_004205	9099	Hs.524085	NM_004205	ENSG00000036672	USP2	UBP41|USP9	ubiquitin specific peptidase 2	protein-coding
chr10-47	chr10	99591429	99591757	+	14.7	0.780	intron (NR_108035, intron 1 of 2)	L2b|LINE|L2	17962	NR_108035	100505561	Hs.351904	NR_108035	ENSG00000227356	LINC00866	-	long intergenic non-protein coding RNA 866	ncRNA
chr3-20	chr3	134150014	134150342	+	14.7	0.800	Intergenic	Intergenic	-6491	NR_039951	100616281		NR_039951	ENSG00000284561	MIR4788	-	microRNA 4788	ncRNA
chr19-27	chr19	4584859	4585187	+	14.7	0.750	Intergenic	CpG	-25327	NM_032108	10501	Hs.465642	NM_020241	ENSG00000167680	SEMA6B	SEM-SEMA-Y|SEMA-VIB|SEMAN|semaZ	semaphorin 6B	protein-coding
chr22-19	chr22	45725499	45725827	+	14.7	0.886	intron (NM_001104595, intron 5 of 9)	intron (NM_001104595, intron 5 of 9)	11339	NM_001349913	55007	Hs.265018	NM_017911	ENSG00000100376	FAM118A	C22orf8	family with sequence similarity 118 member A	protein-coding
chr6-28	chr6	47065175	47065503	+	14.7	0.844	Intergenic	Intergenic	-55271	NM_153840	266977	Hs.733762	NM_025048	ENSG00000153292	ADGRF1	GPR110|KPG_012|PGR19|hGPCR36	adhesion G protein-coupled receptor F1	protein-coding
chr7-26	chr7	129794189	129794517	+	14.7	0.806	Intergenic	Intergenic	12782	NR_149033	100128325	Hs.105944	NR_149033	ENSG00000229196	LOC100128325	-	uncharacterized LOC100128325	ncRNA
chr11-27	chr11	63655690	63656018	+	14.7	0.765	promoter-TSS (NM_017490)	promoter-TSS (NM_017490)	-155	NM_017490	2011	Hs.567261	NM_004954	ENSG00000072518	MARK2	EMK-1|EMK1|PAR-1|Par-1b|Par1b	microtubule affinity regulating kinase 2	protein-coding
chr11-30	chr11	78873722	78874050	+	14.7	0.848	intron (NM_001098816, intron 3 of 33)	intron (NM_001098816, intron 3 of 33)	239267	NR_030598	100126333		NR_030598	ENSG00000211997	MIR708	MIRN708|hsa-mir-708	microRNA 708	ncRNA
chr6-22	chr6	1502472	1502800	+	14.7	0.744	Intergenic	Intergenic	-103130	NR_125804	101927703	Hs.607964	NR_125804		FOXCUT	LINC01379|TCONS_00011636	FOXC1 upstream transcript	ncRNA
chr5-14	chr5	139088747	139089075	+	14.7	0.722	Intergenic	CpG	33883	NM_001317211	51523	Hs.189119	NM_016463	ENSG00000171604	CXXC5	CF5|HSPC195|RINF|WID	CXXC finger protein 5	protein-coding
chr9-27	chr9	100319815	100320143	+	14.7	0.909	intron (NM_001166116, intron 4 of 9)	intron (NM_001166116, intron 4 of 9)	56031	NM_003275	7111	Hs.404289	NM_003275	ENSG00000136842	TMOD1	D9S57E|ETMOD|TMOD	tropomodulin 1	protein-coding
chr20-13	chr20	49240985	49241313	+	14.7	0.810	intron (NM_001290268, intron 2 of 21)	intron (NM_001290268, intron 2 of 21)	-9827	NR_031634	100302146		NR_031634	ENSG00000221091	MIR1302-5	MIRN1302-5|hsa-mir-1302-5	microRNA 1302-5	ncRNA
chr17-62	chr17	79049952	79050280	+	14.7	0.778	intron (NM_001144888, intron 3 of 13)	intron (NM_001144888, intron 3 of 13)	41165	NM_006340	10458	Hs.128316	NM_006340	ENSG00000175866	BAIAP2	BAP2|FLAF3|IRSP53	BAI1 associated protein 2	protein-coding
chr3-21	chr3	65583054	65583382	+	14.7	0.788	intron (NM_001033057, intron 2 of 22)	intron (NM_001033057, intron 2 of 22)	-296273	NR_046575	100873983	Hs.663889	NR_046575	ENSG00000240175	MAGI1-AS1	-	MAGI1 antisense RNA 1	ncRNA
chr6-26	chr6	7561646	7561974	+	14.7	0.818	intron (NM_004415, intron 4 of 23)	intron (NM_004415, intron 4 of 23)	19906	NM_004415	1832	Hs.519873	NM_004415	ENSG00000096696	DSP	DCWHKTA|DP	desmoplakin	protein-coding
chr1-64	chr1	202007126	202007454	+	14.7	0.744	Intergenic	Intergenic	27575	NM_001114309	1999	Hs.603657	NM_004433	ENSG00000163435	ELF3	EPR-1|ERT|ESE-1|ESX	E74 like ETS transcription factor 3	protein-coding
chr17-63	chr17	20882387	20882715	+	14.7	0.784	intron (NR_160717, intron 4 of 4)	HAL1|LINE|L1	40672	NR_123730	339260	Hs.661076	NR_123730	ENSG00000233098	LOC339260	-	uncharacterized LOC339260	ncRNA
chr16-53	chr16	85482422	85482750	+	14.7	0.651	Intergenic	Intergenic	-142655	NR_049816	100847022		NR_049816	ENSG00000266307	MIR5093	-	microRNA 5093	ncRNA
chr15-20	chr15	88998236	88998564	+	14.7	0.694	Intergenic	Intergenic	12219	NM_022163	26589	Hs.534261	NM_022163	ENSG00000259494	MRPL46	C15orf4|LIECG2|P2ECSL	mitochondrial ribosomal protein L46	protein-coding
chr17-59	chr17	80288267	80288595	+	14.7	0.763	intron (NM_003004, intron 1 of 4)	intron (NM_003004, intron 1 of 4)	3211	NM_003004	6398	Hs.558009	NM_003004	ENSG00000141574	SECTM1	K12|SECTM	secreted and transmembrane 1	protein-coding
chr16-60	chr16	1642604	1642932	+	14.7	0.667	intron (NM_014714, intron 4 of 30)	intron (NM_014714, intron 4 of 30)	12240	NR_135176	105371046	Hs.663325	NR_135176	ENSG00000260989	LOC105371046	-	uncharacterized LOC105371046	ncRNA
chr20-15	chr20	362572	362900	+	14.7	0.889	intron (NM_001301196, intron 1 of 3)	CpG	749	NM_001301193	57761	Hs.516826	NM_021158	ENSG00000101255	TRIB3	C20orf97|NIPK|SINK|SKIP3|TRB3	tribbles pseudokinase 3	protein-coding
chr15-24	chr15	78973919	78974247	+	14.7	0.706	Intergenic	Intergenic	-40531	NM_000750	1143	Hs.624178	NM_000750	ENSG00000117971	CHRNB4	-	cholinergic receptor nicotinic beta 4 subunit	protein-coding
chr18-14	chr18	45622058	45622386	+	14.7	0.879	intron (NM_001371291, intron 4 of 6)	intron (NM_001371291, intron 4 of 6)	41297	NM_001039360	201501	Hs.515388	NM_001039360	ENSG00000184828	ZBTB7C	APM-1|APM1|ZBTB36|ZNF857C	zinc finger and BTB domain containing 7C	protein-coding
chr1-74	chr1	227735448	227735776	+	14.7	0.794	Intergenic	Intergenic	-15645	NM_001367909	339500	Hs.30323	NM_032755	ENSG00000181450	ZNF678	-	zinc finger protein 678	protein-coding
chr1-67	chr1	43432740	43433068	+	14.7	0.789	intron (NR_033967, intron 1 of 3)	intron (NR_033967, intron 1 of 3)	8184	NR_033967	440584	Hs.260928	NR_033967	ENSG00000227533	SLC2A1-AS1	-	SLC2A1 antisense RNA 1	ncRNA
