PeakID (cmd=annotatePeaks.pl HIOE_Ngn3_0.05/HIOE_Ngn3_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr5-224	chr5	78280739	78280923	+	4.82	0.750	exon (NM_198709, exon 2 of 8)	exon (NM_198709, exon 2 of 8)	302	NM_000046	411	Hs.149103	NM_000046	ENSG00000113273	ARSB	ASB|G4S|MPS6	arylsulfatase B	protein-coding
chr5-114	chr5	135394057	135394241	+	4.82	0.680	intron (NM_000358, intron 12 of 16)	intron (NM_000358, intron 12 of 16)	22138	NR_030583	100126299		NR_030583	ENSG00000278815	VTRNA2-1	CBL-3|CBL3|MIR886|MIRN886|VTRNA2|hsa-mir-886|hvg-5|nc886|pre-miR-886|svtRNA2-1a	vault RNA 2-1	ncRNA
chr13-50	chr13	19518288	19518472	+	4.82	0.578	Intergenic	GSATX|Satellite|centr	38801	NR_104118	100652856	Hs.549878	NR_104118		LINC00408	-	long intergenic non-protein coding RNA 408	ncRNA
chr1-502	chr1	50007215	50007399	+	4.82	0.675	intron (NR_136623, intron 2 of 12)	LTR12C|LTR|ERV1	-69550	NR_046839	100874313	Hs.551277	NR_046839	ENSG00000225623	AGBL4-IT1	-	AGBL4 intronic transcript 1	ncRNA
chr19-436	chr19	57154466	57154650	+	4.82	0.600	promoter-TSS (NM_001193628)	promoter-TSS (NM_001193628)	31	NM_001193628	147670	Hs.336588	NM_001193628	ENSG00000268182	SMIM17	-	small integral membrane protein 17	protein-coding
chr6-154	chr6	41395473	41395657	+	4.82	0.605	Intergenic	CpG	-74617	NR_120347	103106903	Hs.563396	NR_120347	ENSG00000226917	LINC01276	-	long intergenic non-protein coding RNA 1276	ncRNA
chr2-349	chr2	96376448	96376632	+	4.82	0.763	Intergenic	Intergenic	116189	NR_103734	150759	Hs.503463	NR_103734		LINC00342	NCRNA00342	long intergenic non-protein coding RNA 342	ncRNA
chr5-179	chr5	131569748	131569932	+	4.82	0.718	Intergenic	Intergenic	-6294	NM_001365681	8974	Hs.519568	NM_004199	ENSG00000072682	P4HA2	MYP25	prolyl 4-hydroxylase subunit alpha 2	protein-coding
chr17-335	chr17	17875324	17875508	+	4.82	0.690	promoter-TSS (NM_001130092)	promoter-TSS (NM_001130092)	298	NM_001288788	146691	Hs.462379	NM_144678	ENSG00000175662	TOM1L2	-	target of myb1 like 2 membrane trafficking protein	protein-coding
chr17-354	chr17	15088938	15089122	+	4.82	0.780	Intergenic	Intergenic	65983	NR_039884	100616125		NR_039884	ENSG00000265110	MIR4731	-	microRNA 4731	ncRNA
chr11-237	chr11	118308554	118308738	+	4.82	0.744	intron (NM_005933, intron 1 of 35)	intron (NM_005933, intron 1 of 35)	1439	NM_005933	4297	Hs.258855	NM_005933	ENSG00000118058	KMT2A	ALL-1|CXXC7|HRX|HTRX1|MLL|MLL1|MLL1A|TRX1|WDSTS	lysine methyltransferase 2A	protein-coding
chr1-482	chr1	45126033	45126217	+	4.82	0.682	intron (NM_024587, intron 1 of 2)	intron (NM_024587, intron 1 of 2)	10603	NR_145816	109623472		NR_145816		SNORD145	-	small nucleolar RNA, C/D box 145	snoRNA
chr12-107	chr12	106533515	106533699	+	4.82	0.692	5' UTR (NM_014840, exon 1 of 7)	5' UTR (NM_014840, exon 1 of 7)	204	NM_014840	9891	Hs.524692	NM_014840	ENSG00000074590	NUAK1	ARK5	NUAK family kinase 1	protein-coding
chr17-425	chr17	79708580	79708764	+	4.82	0.605	Intergenic	Intergenic	29358	NM_012140	1468	Hs.548187	NM_012140	ENSG00000183048	SLC25A10	DIC	solute carrier family 25 member 10	protein-coding
chr9-182	chr9	131103006	131103190	+	4.82	0.757	5' UTR (NM_005094, exon 1 of 13)	5' UTR (NM_005094, exon 1 of 13)	292	NM_005094	10999	Hs.656699	NM_005094	ENSG00000167114	SLC27A4	ACSVL4|FATP4|IPS	solute carrier family 27 member 4	protein-coding
chr21-212	chr21	15216993	15217177	+	4.82	0.730	intron (NR_026755, intron 4 of 5)	LTR33|LTR|ERVL	3600	NR_026755	54055	Hs.580910	NR_026755	ENSG00000228314	CYP4F29P	4F-se4[6:7:8]|C21orf15|CYP4F-se4[6:7:8]|CYP4F3LP	cytochrome P450 family 4 subfamily F member 29, pseudogene	pseudo
chr2-409	chr2	73255419	73255603	+	4.82	0.718	intron (NR_138476, intron 3 of 14)	intron (NR_138476, intron 3 of 14)	30790	NM_001330412	94097	Hs.368171	NM_144579	ENSG00000144040	SFXN5	BBG-TCC|SLC56A5	sideroflexin 5	protein-coding
chr9-340	chr9	99153797	99153981	+	4.82	0.744	intron (NM_153695, intron 4 of 4)	intron (NM_153695, intron 4 of 4)	-7896	NM_001286990	11046	Hs.494556	NM_007001	ENSG00000130958	SLC35D2	HFRC1|SQV7L|UGTrel8|hfrc	solute carrier family 35 member D2	protein-coding
chr13-64	chr13	112798271	112798455	+	4.82	0.675	Intergenic	Intergenic	16661	NR_134944	100506016	Hs.371110	NR_134944		LOC100506016	-	uncharacterized LOC100506016	ncRNA
chr14-82	chr14	51863154	51863338	+	4.82	0.775	intron (NR_146549, intron 1 of 3)	intron (NR_146549, intron 1 of 3)	607	NR_146549	105370496	Hs.578228	NR_146549	ENSG00000258808	LINC02310	-	long intergenic non-protein coding RNA 2310	ncRNA
chr2-403	chr2	127959281	127959465	+	4.82	0.824	intron (NM_001367502, intron 3 of 8)	intron (NM_001367502, intron 3 of 8)	3970	NM_001001665	339761	Hs.407639	NM_001001665	ENSG00000186684	CYP27C1	-	cytochrome P450 family 27 subfamily C member 1	protein-coding
chr13-85	chr13	114611298	114611482	+	4.82	0.795	intron (NM_001278674, intron 3 of 7)	intron (NM_001278674, intron 3 of 7)	13314	NM_001278674	643365	Hs.127655	NM_001039767		LINC00452	LINC00453	long intergenic non-protein coding RNA 452	protein-coding
chr9-305	chr9	92855407	92855591	+	4.82	0.833	Intergenic	Intergenic	-51718	NR_038882	286370	Hs.407589	NR_038882	ENSG00000227555	MIR4290HG	-	MIR4290 host gene	ncRNA
chr7-265	chr7	99141001	99141185	+	4.82	0.667	Intergenic	CpG	8644	NM_145111	221786	Hs.596587	NM_145111	ENSG00000221909	FAM200A	C7orf38	family with sequence similarity 200 member A	protein-coding
chr2-411	chr2	159749653	159749837	+	4.82	0.703	Intergenic	Intergenic	-75401	NM_001350062	85461	Hs.61590	NM_033394	ENSG00000115183	TANC1	ROLSB|TANC	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	protein-coding
chr9-353	chr9	6757002	6757186	+	4.82	0.861	promoter-TSS (NM_001353998)	promoter-TSS (NM_001353998)	-256	NM_001304339	23081	Hs.709425	NM_015061	ENSG00000107077	KDM4C	GASC1|JHDM3C|JMJD2C|TDRD14C	lysine demethylase 4C	protein-coding
chr18-34	chr18	76189701	76189885	+	4.82	0.721	Intergenic	CpG	-484110	NR_104127	101927715	Hs.385670	NR_104127		LINC01029	-	long intergenic non-protein coding RNA 1029	ncRNA
chr11-253	chr11	119547996	119548180	+	4.82	0.636	intron (NM_203286, intron 3 of 5)	G-rich|Low_complexity|Low_complexity	51822	NM_203285	5818	Hs.334846	NM_002855	ENSG00000110400	NECTIN1	CD111|CLPED1|ED4|HIgR|HV1S|HVEC|OFC7|PRR|PRR1|PVRL1|PVRR|PVRR1|SK-12|nectin-1	nectin cell adhesion molecule 1	protein-coding
chr17-417	chr17	59948487	59948671	+	4.82	0.667	intron (NM_020748, intron 20 of 24)	AluSx|SINE|Alu	-7659	NM_032043	83990	Hs.128903	NM_032043	ENSG00000136492	BRIP1	BACH1|FANCJ|OF	BRCA1 interacting protein C-terminal helicase 1	protein-coding
chr7-284	chr7	100434156	100434340	+	4.82	0.568	TTS (NR_146550)	TTS (NR_146550)	-9103	NM_004444	2050	Hs.437008	NM_004444	ENSG00000196411	EPHB4	CMAVM2|HFASD|HTK|LMPHM7|MYK1|TYRO11	EPH receptor B4	protein-coding
chr1-545	chr1	152228866	152229050	+	4.82	0.587	Intergenic	SVA_D|Other|Other	-32286	NM_001009931	388697	Hs.490162	NM_001009931	ENSG00000197915	HRNR	FLG3|S100A16|S100a18	hornerin	protein-coding
chr11-314	chr11	72526084	72526268	+	4.82	0.700	intron (NM_001318766, intron 1 of 17)	intron (NM_001318766, intron 1 of 17)	720	NM_001318766	89849	Hs.653186	NM_033388	ENSG00000168010	ATG16L2	ATG16B|WDR80	autophagy related 16 like 2	protein-coding
chr15-151	chr15	96884056	96884240	+	4.82	0.667	TTS (NM_001145157)	TTS (NM_001145157)	7154	NM_001145157	7026	Hs.347991	NM_021005	ENSG00000185551	NR2F2	ARP-1|ARP1|CHTD4|COUPTF2|COUPTFB|COUPTFII|NF-E3|SVP40|TFCOUP2	nuclear receptor subfamily 2 group F member 2	protein-coding
chr2-351	chr2	239323986	239324170	+	4.82	0.674	Intergenic	LTR28|LTR|ERV1	-11490	NM_001330196	51665	Hs.516788	NM_016114	ENSG00000065802	ASB1	ASB-1	ankyrin repeat and SOCS box containing 1	protein-coding
chr17-227	chr17	21173801	21173985	+	4.82	0.732	Intergenic	AluSx1|SINE|Alu	-14130	NM_145109	5606	Hs.514012	NM_002756	ENSG00000034152	MAP2K3	MAPKK3|MEK3|MKK3|PRKMK3|SAPKK-2|SAPKK2	mitogen-activated protein kinase kinase 3	protein-coding
chr12-171	chr12	121388198	121388382	+	4.82	0.605	Intergenic	LTR12C|LTR|ERV1	21805	NR_024345	283460	Hs.612351	NR_024345	ENSG00000241388	HNF1A-AS1	C12orf27|HAS1|NCRNA00262	HNF1A antisense RNA 1	ncRNA
chr6-127	chr6	110283641	110283825	+	4.82	0.744	Intergenic	L2a|LINE|L2	-15726	NM_001286099	2830	Hs.46332	NM_005284	ENSG00000146360	GPR6	-	G protein-coupled receptor 6	protein-coding
chr15-141	chr15	100035015	100035199	+	4.82	0.543	Intergenic	LTR12C|LTR|ERV1	-70515	NM_001352617	4205	Hs.268675	NM_005587	ENSG00000068305	MEF2A	ADCAD1|RSRFC4|RSRFC9|mef2	myocyte enhancer factor 2A	protein-coding
chr1-670	chr1	32655115	32655299	+	4.82	0.686	intron (NM_175852, intron 5 of 10)	AluSx4|SINE|Alu	9931	NM_175852	200081	Hs.17987	NM_175852	ENSG00000084652	TXLNA	IL14|TXLN	taxilin alpha	protein-coding
chr11-244	chr11	132274175	132274359	+	4.82	0.711	Intergenic	Intergenic	120071	NR_046820	100874281		NR_046820		NTM-IT	NTM-IT3	NTM intronic transcript	ncRNA
chr11-284	chr11	120069977	120070161	+	4.82	0.659	Intergenic	Intergenic	-11671	NM_178507	220323	Hs.445081	NM_178507	ENSG00000184232	OAF	NS5ATP13TP2	out at first homolog	protein-coding
chr10-234	chr10	120725234	120725418	+	4.82	0.725	Intergenic	Intergenic	-63900	NM_199461	340719	Hs.591918	NM_199461	ENSG00000188613	NANOS1	EC_Rep1a|NOS-1|NOS1|SPGF12|ZC2HC12A	nanos C2HC-type zinc finger 1	protein-coding
chr1-485	chr1	200990364	200990548	+	4.82	0.775	intron (NM_017596, intron 1 of 33)	intron (NM_017596, intron 1 of 33)	2386	NM_001252102	23046	Hs.169182	NM_017596	ENSG00000116852	KIF21B	-	kinesin family member 21B	protein-coding
chr2-357	chr2	43905128	43905312	+	4.82	0.630	intron (NM_172069, intron 2 of 29)	SVA_D|Other|Other	-1652	NM_001101330	728819		NM_001101330	ENSG00000223658	C1GALT1C1L	-	C1GALT1 specific chaperone 1 like	protein-coding
chr5-214	chr5	177830405	177830589	+	4.82	0.750	intron (NM_173465, intron 2 of 28)	intron (NM_173465, intron 2 of 28)	-170674	NR_103510	85007	Hs.248746	NM_153373	ENSG00000175309	PHYKPL	AGXT2L2|PHLU	5-phosphohydroxy-L-lysine phospho-lyase	protein-coding
chr4-235	chr4	185911214	185911398	+	4.82	0.694	Intergenic	LTR12C|LTR|ERV1	-28689	NM_001300782	391723	Hs.531242	NM_001029887	ENSG00000187821	HELT	HCM1228|HESL|Mgn|bHLHb44	helt bHLH transcription factor	protein-coding
chr3-130	chr3	48580744	48580928	+	4.82	0.674	intron (NM_001317137, intron 4 of 12)	intron (NM_001317137, intron 4 of 12)	6618	NR_106881	102465494		NR_106881	ENSG00000278799	MIR6823	hsa-mir-6823	microRNA 6823	ncRNA
chr4-339	chr4	20005880	20006064	+	4.82	0.703	Intergenic	LTR12E|LTR|ERV1	-247556	NM_004787	9353	Hs.29802	NM_004787	ENSG00000145147	SLIT2	SLIL3|Slit-2	slit guidance ligand 2	protein-coding
chr6-193	chr6	163661066	163661250	+	4.82	0.622	intron (NM_001080379, intron 4 of 4)	intron (NM_001080379, intron 4 of 4)	-48124	NR_122120	729658	Hs.728991	NR_122120		PACRG-AS3	-	PACRG antisense RNA 3	ncRNA
chr19-314	chr19	46236700	46236884	+	4.82	0.707	promoter-TSS (NM_001329633)	promoter-TSS (NM_001329633)	283	NM_001310124	388553	Hs.721835	NM_001310124	ENSG00000237452	BHMG1	HMGDC	basic helix-loop-helix and HMG-box containing 1	protein-coding
chr1-604	chr1	21955623	21955807	+	4.82	0.706	intron (NM_001350525, intron 4 of 27)	intron (NM_001350525, intron 4 of 27)	22676	NM_001145658	5909	Hs.148178	NM_002885	ENSG00000076864	RAP1GAP	RAP1GA1|RAP1GAP1|RAP1GAPII|RAPGAP	RAP1 GTPase activating protein	protein-coding
chr11-283	chr11	123525005	123525189	+	4.82	0.649	5' UTR (NM_018400, exon 1 of 6)	5' UTR (NM_018400, exon 1 of 6)	218	NM_001040151	55800	Hs.4865	NM_018400	ENSG00000166257	SCN3B	ATFB16|BRGDA7|HSA243396|SCNB3	sodium voltage-gated channel beta subunit 3	protein-coding
chr17-294	chr17	78790600	78790784	+	4.82	0.683	intron (NM_001163034, intron 7 of 29)	intron (NM_001163034, intron 7 of 29)	-11260	NR_110852	101928855	Hs.670692	NR_110852	ENSG00000262833	LOC101928855	-	uncharacterized LOC101928855	ncRNA
chr1-617	chr1	14309627	14309811	+	4.82	0.541	Intergenic	LTR12C|LTR|ERV1	233809	NM_001007257	7799	Hs.371823	NM_012231	ENSG00000116731	PRDM2	HUMHOXY1|KMT8|KMT8A|MTB-ZF|RIZ|RIZ1|RIZ2	PR/SET domain 2	protein-coding
chr7-234	chr7	55811410	55811594	+	4.82	0.763	Intergenic	Intergenic	-39242	NR_003949	360132	Hs.446691	NM_182827	ENSG00000176826	FKBP9P1	FKBP9L	FKBP prolyl isomerase 9 pseudogene 1	pseudo
chr22-145	chr22	32253391	32253575	+	4.82	0.846	exon (NM_014662, exon 32 of 42)	exon (NM_014662, exon 32 of 42)	80957	NM_001302820	25775	Hs.627602	NM_015372	ENSG00000128254	C22orf24	HSN44A4A	chromosome 22 open reading frame 24	protein-coding
chr2-386	chr2	4931990	4932174	+	4.82	0.634	Intergenic	LTR12C|LTR|ERV1	-228270	NR_034134	727982	Hs.444391	NR_034134	ENSG00000231532	LINC01249	-	long intergenic non-protein coding RNA 1249	ncRNA
chr9-230	chr9	93697518	93697702	+	4.82	0.763	Intergenic	Intergenic	107908	NM_001174167	6850	Hs.371720	NM_003177	ENSG00000165025	SYK	p72-Syk	spleen associated tyrosine kinase	protein-coding
chr10-253	chr10	681527	681711	+	4.82	0.757	intron (NM_014974, intron 1 of 36)	intron (NM_014974, intron 1 of 36)	6099	NR_049884	100847086		NR_049884	ENSG00000263511	MIR5699	mir-5699	microRNA 5699	ncRNA
chr10-345	chr10	17686508	17686692	+	4.82	0.722	promoter-TSS (NR_110370)	promoter-TSS (NR_110370)	450	NM_001324287	8027	Hs.335391	NM_003473	ENSG00000136738	STAM	STAM-1|STAM1	signal transducing adaptor molecule	protein-coding
chr9-239	chr9	134220606	134220790	+	4.82	0.733	Intergenic	L1PA6|LINE|L1	55588	NM_032728	84814	Hs.134292	NM_032728	ENSG00000160539	PLPP7	C9orf67|NET39|PPAPDC3	phospholipid phosphatase 7 (inactive)	protein-coding
chr4-303	chr4	25506862	25507046	+	4.82	0.605	Intergenic	CpG	64014	NR_134641	101929161	Hs.125638	NR_134641		LOC101929161	-	uncharacterized LOC101929161	ncRNA
chr3-172	chr3	141547838	141548022	+	4.82	0.767	Intergenic	Intergenic	-47555	NM_001679	483	Hs.477789	NM_001679	ENSG00000069849	ATP1B3	ATPB-3|CD298	ATPase Na+/K+ transporting subunit beta 3	protein-coding
chr1-504	chr1	221269845	221270029	+	4.82	0.689	Intergenic	AluSc8|SINE|Alu	-216455	NR_046901	100873924	Hs.645593	NR_046901	ENSG00000257551	HLX-AS1	-	HLX antisense RNA 1	ncRNA
chr6-179	chr6	163570559	163570743	+	4.82	0.622	intron (NM_001080379, intron 4 of 4)	CpG	42383	NR_122120	729658	Hs.728991	NR_122120		PACRG-AS3	-	PACRG antisense RNA 3	ncRNA
chr11-305	chr11	67353871	67354055	+	4.82	0.674	exon (NM_000852, exon 7 of 7)	exon (NM_000852, exon 7 of 7)	2897	NM_000852	2950	Hs.523836	NM_000852	ENSG00000084207	GSTP1	DFN7|FAEES3|GST3|GSTP|HEL-S-22|PI	glutathione S-transferase pi 1	protein-coding
chr8-224	chr8	144133827	144134011	+	4.82	0.651	intron (NR_126398, intron 7 of 7)	LTR43-int|LTR|ERV1	13293	NR_126398	286122	Hs.660382	NR_126398	ENSG00000177335	C8orf31	-	chromosome 8 open reading frame 31	ncRNA
chr4-277	chr4	6918675	6918859	+	4.82	0.707	intron (NM_020773, intron 1 of 13)	intron (NM_020773, intron 1 of 13)	7214	NM_020773	57533	Hs.518611	NM_020773	ENSG00000132405	TBC1D14	-	TBC1 domain family member 14	protein-coding
chr6-117	chr6	46816837	46817021	+	4.82	0.780	Intergenic	Intergenic	-54279	NR_110658	101926962	Hs.680113	NR_110658		LOC101926962	-	uncharacterized LOC101926962	ncRNA
chr14-156	chr14	60193987	60194171	+	4.82	0.614	exon (NM_021136, exon 3 of 9)	exon (NM_021136, exon 3 of 9)	-80341	NR_049851	100847088		NR_049851	ENSG00000263629	MIR5586	-	microRNA 5586	ncRNA
chr3-161	chr3	113951461	113951645	+	4.82	0.784	Intergenic	Intergenic	4872	NM_007136	7634	Hs.271079	NM_007136	ENSG00000174255	ZNF80	pT17	zinc finger protein 80	protein-coding
chr2-441	chr2	26654805	26654989	+	4.82	0.732	intron (NM_145038, intron 7 of 16)	intron (NM_145038, intron 7 of 16)	30109	NM_145038	92749	Hs.393714	NM_145038	ENSG00000157856	DRC1	C2orf39|CCDC164|CILD21	dynein regulatory complex subunit 1	protein-coding
chr9-297	chr9	140563823	140564007	+	4.82	0.625	intron (NM_001354612, intron 1 of 8)	intron (NM_001354612, intron 1 of 8)	50458	NM_001354263	79813	Hs.495511	NM_024757	ENSG00000181090	EHMT1	EHMT1-IT1|EUHMTASE1|Eu-HMTase1|FP13812|GLP|GLP1|KLEFS1|KMT1D	euchromatic histone lysine methyltransferase 1	protein-coding
chr14-136	chr14	71251263	71251447	+	4.82	0.649	intron (NM_033141, intron 2 of 12)	AluSx1|SINE|Alu	-1186	NM_001284231	4293	Hs.445496	NM_033141	ENSG00000006432	MAP3K9	MEKK9|MLK1|PRKE1	mitogen-activated protein kinase kinase kinase 9	protein-coding
chr1-590	chr1	162666091	162666275	+	4.82	0.810	intron (NM_001354983, intron 2 of 17)	intron (NM_001354983, intron 2 of 17)	63929	NM_001014796	4921	Hs.275757	NM_006182	ENSG00000162733	DDR2	MIG20a|NTRKR3|TKT|TYRO10|WRCN	discoidin domain receptor tyrosine kinase 2	protein-coding
chr11-249	chr11	13690095	13690279	+	4.82	0.658	promoter-TSS (NM_032228)	promoter-TSS (NM_032228)	-28	NM_032228	84188	Hs.501991	NM_032228	ENSG00000197601	FAR1	MLSTD2|PFCRD|SDR10E1	fatty acyl-CoA reductase 1	protein-coding
chr1-558	chr1	204415666	204415850	+	4.82	0.714	intron (NM_002646, intron 16 of 33)	intron (NM_002646, intron 16 of 33)	-34813	NM_032833	84919	Hs.304376	NM_032833	ENSG00000158615	PPP1R15B	CREP|MSSGM2	protein phosphatase 1 regulatory subunit 15B	protein-coding
chr12-72	chr12	886337	886521	+	4.82	0.714	intron (NM_014823, intron 1 of 25)	AluSc|SINE|Alu	24340	NM_213655	65125	Hs.744906	NM_014823	ENSG00000060237	WNK1	HSAN2|HSN2|KDP|PPP1R167|PRKWNK1|PSK|p65	WNK lysine deficient protein kinase 1	protein-coding
chr11-206	chr11	129156794	129156978	+	4.82	0.707	Intergenic	Intergenic	-3827	NR_145484	399975		NM_207431		LOC399975	-	uncharacterized LOC399975	ncRNA
chr22-149	chr22	27507012	27507196	+	4.82	0.727	Intergenic	Intergenic	-50624	NM_001318329	284898	Hs.350813	NM_001318329		LOC284898	-	uncharacterized LOC284898	protein-coding
chr19-145	chr19	49165302	49165486	+	4.82	0.780	intron (NM_145807, intron 6 of 6)	intron (NM_145807, intron 6 of 6)	10944	NM_145807	126147	Hs.326217	NM_145807	ENSG00000142233	NTN5	-	netrin 5	protein-coding
chr11-312	chr11	117170292	117170476	+	4.82	0.674	intron (NM_012104, intron 1 of 8)	intron (NM_012104, intron 1 of 8)	-4095	NM_001207049	23621	Hs.504003	NM_012104	ENSG00000186318	BACE1	ASP2|BACE|HSPC104	beta-secretase 1	protein-coding
chr17-364	chr17	14212463	14212647	+	4.82	0.640	intron (NM_006041, intron 1 of 1)	CpG	5498	NR_026880	84815	Hs.597458	NM_032729	ENSG00000266709	MGC12916	-	uncharacterized protein MGC12916	ncRNA
chr2-382	chr2	159314641	159314825	+	4.82	0.675	intron (NM_001304969, intron 1 of 21)	CpG	1269	NM_001005476	8502	Hs.407580	NM_003628	ENSG00000144283	PKP4	p0071	plakophilin 4	protein-coding
chr2-372	chr2	17036530	17036714	+	4.82	0.703	Intergenic	Intergenic	-189520	NM_030797	81553	Hs.467769	NM_030797	ENSG00000197872	FAM49A	-	family with sequence similarity 49 member A	protein-coding
chr6-121	chr6	170200961	170201145	+	4.82	0.660	non-coding (NR_026780, exon 3 of 3)	non-coding (NR_026780, exon 3 of 3)	-2132	NR_026781	401288	Hs.556095	NM_207502	ENSG00000229214	LINC00242	C6orf122|NCRNA00242|dJ266L20.5	long intergenic non-protein coding RNA 242	ncRNA
chr6-155	chr6	110735694	110735878	+	4.82	0.765	intron (NM_001368173, intron 1 of 4)	intron (NM_001368173, intron 1 of 4)	992	NM_001368172	8528	Hs.591348	NM_003649	ENSG00000203797	DDO	DASOX|DDO-1|DDO-2	D-aspartate oxidase	protein-coding
chr17-336	chr17	68771896	68772080	+	4.82	0.865	Intergenic	Intergenic	426332	NR_104152	101928165	Hs.407613	NR_104152	ENSG00000260785	CASC17	LINC00600	cancer susceptibility 17	ncRNA
chr11-247	chr11	71249423	71249607	+	4.82	0.652	exon (NM_021046, exon 1 of 1)	exon (NM_021046, exon 1 of 1)	444	NM_021046	57830	Hs.445245	NM_021046	ENSG00000241233	KRTAP5-8	KRTAP5-2|KRTAP5.8|UHSKerB	keratin associated protein 5-8	protein-coding
chr22-140	chr22	16852131	16852315	+	4.82	0.688	Intergenic	HSATII|Satellite|Satellite	221477	NM_014406	150160	Hs.128342	NM_014406	ENSG00000198445	CCT8L2	CESK1	chaperonin containing TCP1 subunit 8 like 2	protein-coding
chr11-255	chr11	7273399	7273583	+	4.82	0.757	exon (NM_175733, exon 1 of 7)	exon (NM_175733, exon 1 of 7)	356	NM_175733	143425	Hs.177193	NM_175733	ENSG00000170743	SYT9	-	synaptotagmin 9	protein-coding
chr6-186	chr6	157235184	157235368	+	4.82	0.735	intron (NM_001346813, intron 3 of 19)	intron (NM_001346813, intron 3 of 19)	-122285	NM_001363725	57492	Hs.291587	NM_017519	ENSG00000049618	ARID1B	6A3-5|BAF250B|BRIGHT|CSS1|DAN15|ELD/OSA1|MRD12|OSA2|P250R	AT-rich interaction domain 1B	protein-coding
chr3-142	chr3	16925496	16925680	+	4.82	0.568	promoter-TSS (NM_001144382)	promoter-TSS (NM_001144382)	-860	NM_001144382	23228	Hs.202010	NM_015184	ENSG00000154822	PLCL2	PLCE2	phospholipase C like 2	protein-coding
chr11-288	chr11	7274028	7274212	+	4.82	0.643	intron (NM_175733, intron 1 of 6)	CpG	985	NM_175733	143425	Hs.177193	NM_175733	ENSG00000170743	SYT9	-	synaptotagmin 9	protein-coding
chr21-241	chr21	43133891	43134075	+	4.82	0.600	intron (NR_027272, intron 4 of 5)	intron (NR_027272, intron 4 of 5)	1952	NR_027272	150135	Hs.350679	NM_152506	ENSG00000236384	LINC00479	C21orf129|PRED76	long intergenic non-protein coding RNA 479	ncRNA
chr2-453	chr2	128994119	128994303	+	4.82	0.719	Intergenic	Intergenic	82231	NM_004807	9394	Hs.512841	NM_004807	ENSG00000136720	HS6ST1	HH15|HS6ST	heparan sulfate 6-O-sulfotransferase 1	protein-coding
chr2-404	chr2	121071313	121071497	+	4.82	0.667	Intergenic	Intergenic	-32307	NM_002193	3625	Hs.1735	NM_002193	ENSG00000163083	INHBB	-	inhibin subunit beta B	protein-coding
chr2-476	chr2	71755233	71755417	+	4.82	0.711	intron (NM_001130987, intron 13 of 55)	intron (NM_001130987, intron 13 of 55)	61496	NM_001130983	8291	Hs.252180	NM_003494	ENSG00000135636	DYSF	FER1L1|LGMD2B|LGMDR2|MMD1	dysferlin	protein-coding
chr3-165	chr3	45671936	45672120	+	4.82	0.806	intron (NM_014240, intron 1 of 7)	intron (NM_014240, intron 1 of 7)	35785	NM_014240	8994	Hs.193370	NM_014240	ENSG00000144791	LIMD1	-	LIM domains containing 1	protein-coding
chr19-242	chr19	56502041	56502225	+	4.82	0.718	Intergenic	AluY|SINE|Alu	-8959	NM_153447	126206	Hs.356872	NM_153447	ENSG00000171487	NLRP5	CLR19.8|MATER|NALP5|PAN11|PYPAF8	NLR family pyrin domain containing 5	protein-coding
chr7-241	chr7	157744571	157744755	+	4.82	0.674	intron (NM_001308268, intron 11 of 22)	intron (NM_001308268, intron 11 of 22)	97386	NR_038966	100506585	Hs.661265	NR_038966		LOC100506585	-	uncharacterized LOC100506585	ncRNA
chr11-148	chr11	46459854	46460038	+	4.82	0.778	intron (NM_001267782, intron 14 of 19)	intron (NM_001267782, intron 14 of 19)	-13411	NR_036118	100422825		NR_036118	ENSG00000283497	MIR3160-2	mir-3160-2	microRNA 3160-2	ncRNA
chr7-204	chr7	23716571	23716755	+	4.82	0.769	Intergenic	AluSc|SINE|Alu	-3155	NM_001127364	340277	Hs.592178	NM_199136	ENSG00000188732	FAM221A	C7orf46	family with sequence similarity 221 member A	protein-coding
chr8-125	chr8	142953367	142953551	+	4.82	0.730	Intergenic	G-rich|Low_complexity|Low_complexity	-85785	NR_031636	100302147		NR_031636	ENSG00000221768	MIR1302-7	MIRN1302-7|hsa-mir-1302-7	microRNA 1302-7	ncRNA
chr4-311	chr4	8468846	8469030	+	4.82	0.743	intron (NM_001350233, intron 8 of 10)	intron (NM_001350233, intron 8 of 10)	26414	NM_001350233	152992	Hs.566191	NM_024950	ENSG00000155275	TRMT44	C4orf23|METTL19|TRM44	tRNA methyltransferase 44 homolog	protein-coding
chr10-211	chr10	38778018	38778202	+	4.82	0.886	Intergenic	(GAATG)n|Satellite|Satellite	61036	NR_024497	399744	Hs.497951	NM_001013665		LINC00999	-	long intergenic non-protein coding RNA 999	ncRNA
chr2-373	chr2	71295621	71295805	+	4.82	0.511	promoter-TSS (NM_001330425)	promoter-TSS (NM_001330425)	-65	NM_017567	55577	Hs.7036	NM_017567	ENSG00000124357	NAGK	GNK|HSA242910	N-acetylglucosamine kinase	protein-coding
