PeakID (cmd=annotatePeaks.pl NEUROG3_peak0107_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-7546	chr14	74286532	74286945	+	0	NA	Intergenic	Intergenic	10100	NR_135238	100506498	Hs.569330	NR_135238	ENSG00000258586	LINC02274	-	long intergenic non-protein coding RNA 2274	ncRNA
1-3812	chr8	19171645	19172058	+	0	NA	intron (NM_001174159, intron 1 of 9)	CpG	364	NM_001174159	63898	Hs.303208	NM_022071	ENSG00000104611	SH2D4A	PPP1R38|SH2A	SH2 domain containing 4A	protein-coding
1-6306	chr7	103046072	103046485	+	0	NA	intron (NM_206883, intron 8 of 19)	L1PA7|LINE|L1	37380	NR_120443	375611	Hs.585146	NM_198999	ENSG00000170615	SLC26A5	DFNB61|PRES	solute carrier family 26 member 5	protein-coding
1-7308	chr5	112257540	112257953	+	0	NA	intron (NM_005669, intron 1 of 4)	CpG	178	NM_005669	7905	Hs.429608	NM_005669	ENSG00000129625	REEP5	C5orf18|D5S346|DP1|TB2|YOP1|Yip2e	receptor accessory protein 5	protein-coding
1-5110	chr3	126633575	126633988	+	0	NA	intron (NM_032343, intron 6 of 7)	intron (NM_032343, intron 6 of 7)	-73656	NM_032242	5361	Hs.432329	NM_032242	ENSG00000114554	PLXNA1	NOV|NOVP|PLEXIN-A1|PLXN1	plexin A1	protein-coding
1-2102	chr15	86369024	86369437	+	0	NA	TTS (NR_049805)	TTS (NR_049805)	364	NR_049805	100847084		NR_049805	ENSG00000264406	MIR548AP	-	microRNA 548ap	ncRNA
1-382	chr3	127263168	127263581	+	0	NA	Intergenic	Intergenic	-6751	NR_125397	101927149	Hs.407798	NR_125397	ENSG00000239921	LINC01471	-	long intergenic non-protein coding RNA 1471	ncRNA
1-3252	chr16	11696143	11696556	+	0	NA	Intergenic	Intergenic	-15027	NR_024320	9516	Hs.459940	NM_004862	ENSG00000189067	LITAF	PIG7|SIMPLE|TP53I7	lipopolysaccharide induced TNF factor	protein-coding
1-7446	chr10	61604867	61605280	+	0	NA	intron (NM_005436, intron 2 of 8)	intron (NM_005436, intron 2 of 8)	61241	NM_005436	8030	Hs.591360	NM_005436	ENSG00000108091	CCDC6	D10S170|H4|PTC|TPC|TST1	coiled-coil domain containing 6	protein-coding
1-5001	chr1	22248165	22248578	+	0	NA	intron (NM_005529, intron 1 of 96)	intron (NM_005529, intron 1 of 96)	15432	NM_001291860	3339	Hs.562227	NM_005529	ENSG00000142798	HSPG2	HSPG|PLC|PRCAN|SJA|SJS|SJS1	heparan sulfate proteoglycan 2	protein-coding
1-20	chr16	4348974	4349387	+	0	NA	Intergenic	Intergenic	-15582	NM_001318918	84662	Hs.592087	NM_032575	ENSG00000126603	GLIS2	NKL|NPHP7	GLIS family zinc finger 2	protein-coding
1-957	chr17	200382	200795	+	0	NA	intron (NM_001190412, intron 1 of 8)	intron (NM_001190412, intron 1 of 8)	2010	NM_006987	9501	Hs.651925	NM_006987	ENSG00000181031	RPH3AL	NOC2	rabphilin 3A like (without C2 domains)	protein-coding
1-4334	chr12	57271799	57272212	+	0	NA	Intergenic	LTR76|LTR|ERV1	56187	NM_148897	121214	Hs.380178	NM_148897	ENSG00000170426	SDR9C7	ARCI13|RDHS|SDR-O|SDRO	short chain dehydrogenase/reductase family 9C member 7	protein-coding
1-4234	chr8	30892179	30892592	+	0	NA	intron (NM_000553, intron 1 of 34)	LTR56|LTR|ERV1	-1513	NM_001015508	29942	Hs.373778	NM_013357	ENSG00000172733	PURG	PURG-A|PURG-B|PURGA|PURGB	purine rich element binding protein G	protein-coding
1-4290	chr10	103454040	103454453	+	0	NA	exon (NM_022039, exon 1 of 9)	exon (NM_022039, exon 1 of 9)	681	NM_022039	6468	Hs.500822	NM_022039	ENSG00000107829	FBXW4	DAC|FBW4|FBWD4|SHFM3|SHSF3	F-box and WD repeat domain containing 4	protein-coding
1-4709	chr8	74097266	74097679	+	0	NA	Intergenic	LTR53|LTR|ERVL	74265	NM_001243237	100130301	Hs.202296	NM_001243237	ENSG00000274443	C8orf89	-	chromosome 8 open reading frame 89	protein-coding
1-4205	chr6	158878729	158879142	+	0	NA	intron (NM_001007466, intron 5 of 12)	intron (NM_001007466, intron 5 of 12)	-78533	NM_020823	57583	Hs.99145	NM_020823	ENSG00000146433	TMEM181	GPR178|KIAA1423	transmembrane protein 181	protein-coding
1-1648	chr12	110278524	110278937	+	0	NA	Intergenic	Intergenic	-7518	NM_021625	59341	Hs.506713	NM_021625	ENSG00000111199	TRPV4	BCYM3|CMT2C|HMSN2C|OTRPC4|SMAL|SPSMA|SSQTL1|TRP12|VRL2|VROAC	transient receptor potential cation channel subfamily V member 4	protein-coding
1-7122	chr1	67690441	67690854	+	0	NA	intron (NM_144701, intron 7 of 10)	MIR|SINE|MIR	58510	NM_144701	149233	Hs.677426	NM_144701	ENSG00000162594	IL23R	-	interleukin 23 receptor	protein-coding
1-2842	chr3	48183830	48184243	+	0	NA	Intergenic	Intergenic	45871	NM_001789	993	Hs.437705	NM_001789	ENSG00000164045	CDC25A	CDC25A2	cell division cycle 25A	protein-coding
1-3073	chr2	99321186	99321599	+	0	NA	intron (NM_012214, intron 2 of 15)	intron (NM_012214, intron 2 of 15)	26203	NM_012214	11320	Hs.177576	NM_012214	ENSG00000071073	MGAT4A	GNT-IV|GNT-IVA|GnT-4a	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A	protein-coding
1-908	chr22	30114868	30115281	+	0	NA	promoter-TSS (NM_182527)	promoter-TSS (NM_182527)	-918	NM_182527	164633	Hs.643608	NM_182527	ENSG00000100314	CABP7	CALN2	calcium binding protein 7	protein-coding
1-6105	chr2	54703928	54704341	+	0	NA	intron (NM_003128, intron 1 of 35)	intron (NM_003128, intron 1 of 35)	20670	NM_003128	6711	Hs.503178	NM_003128	ENSG00000115306	SPTBN1	ELF|HEL102|SPTB2|betaSpII	spectrin beta, non-erythrocytic 1	protein-coding
1-5363	chr14	69445040	69445453	+	0	NA	intron (NM_001130005, intron 1 of 20)	CpG	773	NM_001130005	87	Hs.235750	NM_001102	ENSG00000072110	ACTN1	BDPLT15	actinin alpha 1	protein-coding
1-6802	chr5	75778650	75779063	+	0	NA	intron (NM_006633, intron 2 of 35)	intron (NM_006633, intron 2 of 35)	-64378	NM_001285460	10788	Hs.291030	NM_006633	ENSG00000145703	IQGAP2	-	IQ motif containing GTPase activating protein 2	protein-coding
1-3090	chr3	108476163	108476576	+	0	NA	promoter-TSS (NM_032579)	promoter-TSS (NM_032579)	-239	NM_032579	84666	Hs.307047	NM_032579	ENSG00000163515	RETNLB	FIZZ1|FIZZ2|HXCP2|RELM-beta|RELMb|RELMbeta|XCP2	resistin like beta	protein-coding
1-2236	chr8	37419352	37419765	+	0	NA	Intergenic	Intergenic	-40654	NR_121621	100507420	Hs.105962	NR_121620		LINC01605	LincDUSP	long intergenic non-protein coding RNA 1605	ncRNA
1-6745	chr2	242144370	242144783	+	0	NA	intron (NM_001370694, intron 10 of 24)	intron (NM_001370694, intron 10 of 24)	16484	NM_001370694	50636	Hs.163909	NM_001001666	ENSG00000146205	ANO7	D-TMPP|DTMPP|IPCA-5|IPCA5|NGEP|PCANAP5|PCANAP5L|TMEM16G	anoctamin 7	protein-coding
1-457	chr15	80568256	80568669	+	0	NA	intron (NR_033833, intron 2 of 2)	intron (NR_033833, intron 2 of 2)	-23907	NM_001352888	100996492	Hs.20034	NM_001352888	ENSG00000259417	CTXND1	LINC01314	cortexin domain containing 1	protein-coding
1-942	chr10	126211528	126211941	+	0	NA	intron (NM_022126, intron 6 of 6)	intron (NM_022126, intron 6 of 6)	61342	NM_001318331	64077	Hs.527748	NM_022126	ENSG00000107902	LHPP	HDHD2B	phospholysine phosphohistidine inorganic pyrophosphate phosphatase	protein-coding
1-776	chr7	75620305	75620718	+	0	NA	intron (NR_156695, intron 3 of 10)	intron (NR_156695, intron 3 of 10)	3402	NM_031925	83862	Hs.488835	NM_031925	ENSG00000189077	TMEM120A	NET29|TMPIT	transmembrane protein 120A	protein-coding
1-2052	chr9	132637921	132638334	+	0	NA	intron (NM_001008563, intron 21 of 25)	intron (NM_001008563, intron 21 of 25)	6243	NR_106914	102466750		NR_106914	ENSG00000276124	MIR6855	hsa-mir-6855	microRNA 6855	ncRNA
1-5057	chr2	29216371	29216784	+	0	NA	intron (NM_001321538, intron 1 of 18)	(GGCTG)n|Simple_repeat|Simple_repeat	12413	NM_199280	165186	Hs.525977	NM_199280	ENSG00000189350	TOGARAM2	FAM179A	TOG array regulator of axonemal microtubules 2	protein-coding
1-3368	chr2	159810411	159810824	+	0	NA	Intergenic	Intergenic	-14529	NM_001350062	85461	Hs.61590	NM_033394	ENSG00000115183	TANC1	ROLSB|TANC	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	protein-coding
1-929	chr3	73671366	73671779	+	0	NA	intron (NM_015009, intron 1 of 9)	intron (NM_015009, intron 1 of 9)	-1147	NR_046681	101927249	Hs.733334	NR_046681		PDZRN3-AS1	-	PDZRN3 antisense RNA 1	ncRNA
1-2320	chr19	45379389	45379802	+	0	NA	intron (NM_001042724, intron 5 of 8)	intron (NM_001042724, intron 5 of 8)	-14882	NM_001128916	10452	Hs.655909	NM_006114	ENSG00000130204	TOMM40	C19orf1|D19S1177E|PER-EC1|PEREC1|TOM40	translocase of outer mitochondrial membrane 40	protein-coding
1-7578	chr16	2824195	2824608	+	0	NA	intron (NM_007108, intron 3 of 3)	intron (NM_007108, intron 3 of 3)	2880	NM_207013	6923	Hs.172772	NM_007108	ENSG00000103363	ELOB	SIII|TCEB2	elongin B	protein-coding
1-2560	chr1	31950027	31950440	+	0	NA	Intergenic	L1PBa|LINE|L1	-21606	NR_034112	149086	Hs.729905	NR_034112	ENSG00000260386	LDC1P	LINC01225	leucine decarboxylase 1, pseudogene	pseudo
1-5660	chr4	111119059	111119472	+	0	NA	intron (NM_024090, intron 1 of 3)	CpG	506	NM_001130721	79071	Hs.412939	NM_024090	ENSG00000170522	ELOVL6	FACE|FAE|LCE	ELOVL fatty acid elongase 6	protein-coding
1-7684	chr22	40783475	40783888	+	0	NA	TTS (NM_001363840)	TTS (NM_001363840)	17083	NM_001350043	27352	Hs.474914	NM_015705	ENSG00000100359	SGSM3	CIP85|MAP|RABGAP5|RUSC3|RUTBC3|RabGAP-5|rabGAPLP	small G protein signaling modulator 3	protein-coding
1-186	chr16	1128418	1128831	+	0	NA	promoter-TSS (NM_001053)	promoter-TSS (NM_001053)	107	NR_027242	146336	Hs.250557	NM_182510	ENSG00000261713	SSTR5-AS1	-	SSTR5 antisense RNA 1	ncRNA
1-3508	chr11	116437308	116437721	+	0	NA	Intergenic	Intergenic	-72625	NR_135069	101929011	Hs.733911	NR_135069	ENSG00000237937	LINC02702	-	long intergenic non-protein coding RNA 2702	ncRNA
1-4018	chr21	44914626	44915039	+	0	NA	Intergenic	Intergenic	-15418	NR_136540	102724354	Hs.592161	NR_136540	ENSG00000280191	LINC01669	-	long intergenic non-protein coding RNA 1669	ncRNA
1-989	chr6	170595575	170595988	+	0	NA	intron (NM_005618, intron 4 of 10)	intron (NM_005618, intron 4 of 10)	-4010	NM_001286379	84498	Hs.369522	NM_032448	ENSG00000112584	FAM120B	CCPG|KIAA1838|PGCC1|SAN1|dJ894D12.1	family with sequence similarity 120B	protein-coding
1-2106	chr16	20877637	20878050	+	0	NA	intron (NM_173475, intron 1 of 2)	intron (NM_173475, intron 1 of 2)	-33361	NM_001369631	57149	Hs.745012	NM_020424	ENSG00000102897	LYRM1	A211C6.1	LYR motif containing 1	protein-coding
1-7413	chr9	12798381	12798794	+	0	NA	intron (NR_125775, intron 1 of 3)	intron (NR_125775, intron 1 of 3)	15801	NR_125775	101929467	Hs.586443	NR_125775	ENSG00000235448	LURAP1L-AS1	-	LURAP1L antisense RNA 1	ncRNA
1-7652	chr20	1322608	1323021	+	0	NA	intron (NR_040047, intron 1 of 2)	(CA)n|Simple_repeat|Simple_repeat	-13031	NM_080489	27111	Hs.657015	NM_015685	ENSG00000125775	SDCBP2	SITAC|SITAC18|ST-2|ST2	syndecan binding protein 2	protein-coding
1-1820	chr1	32817129	32817542	+	0	NA	Intergenic	CpG	10509	NM_001167676	100128071	Hs.512763	NM_001167676	ENSG00000225828	FAM229A	-	family with sequence similarity 229 member A	protein-coding
1-4824	chr12	123429145	123429558	+	0	NA	intron (NM_203444, intron 6 of 11)	intron (NM_203444, intron 6 of 11)	21659	NM_203444	23457	Hs.511951	NM_019624	ENSG00000150967	ABCB9	EST122234|TAPL	ATP binding cassette subfamily B member 9	protein-coding
1-3756	chr5	16492519	16492932	+	0	NA	intron (NM_001034850, intron 3 of 8)	intron (NM_001034850, intron 3 of 8)	16382	NM_019000	54463	Hs.481704	NM_019000	ENSG00000154153	RETREG1	FAM134B|JK-1|JK1	reticulophagy regulator 1	protein-coding
1-7459	chr10	100163076	100163489	+	0	NA	intron (NM_032709, intron 4 of 15)	L2b|LINE|L2	-8218	NR_031619	100302133		NR_031619	ENSG00000284415	MIR1287	MIRN1287|hsa-mir-1287|mir-1287	microRNA 1287	ncRNA
1-7037	chr18	20881862	20882275	+	0	NA	intron (NR_148385, intron 13 of 13)	L2c|LINE|L2	135857	NM_032933	85019	Hs.137562	NM_032933	ENSG00000134490	TMEM241	C18orf45|hVVT	transmembrane protein 241	protein-coding
1-1167	chr1	51796872	51797285	+	0	NA	promoter-TSS (NM_001297663)	promoter-TSS (NM_001297663)	-842	NM_001297663	22996	Hs.112949	NM_001080494	ENSG00000085831	TTC39A	C1orf34|DEME-6	tetratricopeptide repeat domain 39A	protein-coding
1-3841	chr10	52381650	52382063	+	0	NA	intron (NM_147156, intron 1 of 10)	(CTTG)n|Simple_repeat|Simple_repeat	1860	NM_147156	259230	Hs.654698	NM_147156	ENSG00000198964	SGMS1	MOB|MOB1|SMS1|TMEM23|hmob33	sphingomyelin synthase 1	protein-coding
1-3031	chr22	29303350	29303763	+	0	NA	intron (NM_001206998, intron 1 of 8)	intron (NM_001206998, intron 1 of 8)	-9821	NM_032173	84133	Hs.604200	NM_032173	ENSG00000183579	ZNRF3	BK747E2.3|RNF203	zinc and ring finger 3	protein-coding
1-6762	chr3	127466543	127466956	+	0	NA	intron (NM_001003794, intron 3 of 7)	intron (NM_001003794, intron 3 of 7)	74954	NM_172027	80325	Hs.107812	NM_032548	ENSG00000114626	ABTB1	BPOZ|BTB3|BTBD21|EF1ABP|PP2259	ankyrin repeat and BTB domain containing 1	protein-coding
1-822	chr5	174809131	174809544	+	0	NA	Intergenic	Intergenic	61848	NM_000794	1812	Hs.2624	NM_000794	ENSG00000184845	DRD1	DADR|DRD1A	dopamine receptor D1	protein-coding
1-6810	chr5	132645263	132645676	+	0	NA	intron (NM_015082, intron 6 of 15)	intron (NM_015082, intron 6 of 15)	117929	NR_031621	100302134		NR_031621	ENSG00000221287	MIR1289-2	MIRN1289-2|hsa-mir-1289-2	microRNA 1289-2	ncRNA
1-6280	chr6	170566509	170566922	+	0	NA	intron (NR_002787, intron 2 of 2)	intron (NR_002787, intron 2 of 2)	4942	NR_002787	154449	Hs.447751	NR_002787	ENSG00000230960	LOC154449	-	uncharacterized LOC154449	ncRNA
1-4457	chr19	52097370	52097783	+	0	NA	promoter-TSS (NR_034159)	promoter-TSS (NR_034159)	57	NR_034159	729975	Hs.716785	NR_034159		LINC01530	-	long intergenic non-protein coding RNA 1530	ncRNA
1-5002	chr1	23055223	23055636	+	0	NA	intron (NM_004442, intron 1 of 15)	intron (NM_004442, intron 1 of 15)	9419	NR_039832	100616391		NR_039832	ENSG00000265422	MIR4684	-	microRNA 4684	ncRNA
1-7218	chr3	30762544	30762957	+	0	NA	Intergenic	Intergenic	114657	NM_003242	7048	Hs.82028	NM_003242	ENSG00000163513	TGFBR2	AAT3|FAA3|LDS1B|LDS2|LDS2B|MFS2|RIIC|TAAD2|TBR-ii|TBRII|TGFR-2|TGFbeta-RII	transforming growth factor beta receptor 2	protein-coding
1-4089	chr2	10550233	10550646	+	0	NA	intron (NM_134421, intron 3 of 5)	intron (NM_134421, intron 3 of 5)	36536	NR_028374	100302743	Hs.730525	NR_028374	ENSG00000206633	SNORA80B	ACA67B	small nucleolar RNA, H/ACA box 80B	snoRNA
1-5484	chr20	34050094	34050507	+	0	NA	exon (NM_007186, exon 4 of 35)	exon (NM_007186, exon 4 of 35)	2497	NM_001318219	11190	Hs.443976	NM_007186	ENSG00000126001	CEP250	C-NAP1|CEP2|CNAP1|CRDHL2	centrosomal protein 250	protein-coding
1-6265	chr6	46701868	46702281	+	0	NA	intron (NM_001168357, intron 1 of 11)	GA-rich|Low_complexity|Low_complexity	1038	NM_005084	7941	Hs.584823	NM_005084	ENSG00000146070	PLA2G7	LDL-PLA2|LP-PLA2|PAFAD|PAFAH	phospholipase A2 group VII	protein-coding
1-2609	chr4	157897264	157897677	+	0	NA	Intergenic	Intergenic	-4519	NM_016205	56034	Hs.570855	NM_016205	ENSG00000145431	PDGFC	FALLOTEIN|SCDGF	platelet derived growth factor C	protein-coding
1-7496	chr11	117102551	117102964	+	0	NA	promoter-TSS (NM_001278249)	promoter-TSS (NM_001278249)	32	NM_004716	9159	Hs.648612	NM_004716	ENSG00000160613	PCSK7	LPC|PC7|PC8|SPC7	proprotein convertase subtilisin/kexin type 7	protein-coding
1-5869	chr14	22239804	22240217	+	0	NA	Intergenic	LTR8|LTR|ERV1	-100778	NM_001317107	26687		NM_001317107	ENSG00000276240	OR4E1	OR4E1P	olfactory receptor family 4 subfamily E member 1 (gene/pseudogene)	protein-coding
1-1103	chr1	74663661	74664074	+	0	NA	promoter-TSS (NM_001199328)	promoter-TSS (NM_001199328)	-7	NM_001322315	127255	Hs.644625	NM_145258	ENSG00000162620	LRRIQ3	LRRC44	leucine rich repeats and IQ motif containing 3	protein-coding
1-251	chr19	45664040	45664453	+	0	NA	promoter-TSS (NM_198478)	promoter-TSS (NM_198478)	-838	NM_198478	284353	Hs.299256	NM_198478		NKPD1	-	NTPase KAP family P-loop domain containing 1	protein-coding
1-7648	chr19	45414241	45414654	+	0	NA	Intergenic	Intergenic	-3135	NM_001321065	341	Hs.110675	NM_001645	ENSG00000130208	APOC1	Apo-CI|ApoC-I|apo-CIB|apoC-IB	apolipoprotein C1	protein-coding
1-5273	chr10	105517695	105518108	+	0	NA	intron (NM_014631, intron 3 of 13)	intron (NM_014631, intron 3 of 13)	11364	NR_038940	100505839	Hs.655149	NR_038940	ENSG00000280693	SH3PXD2A-AS1	-	SH3PXD2A antisense RNA 1	ncRNA
1-5659	chr4	110925288	110925701	+	0	NA	intron (NM_001963, intron 21 of 23)	intron (NM_001963, intron 21 of 23)	91455	NM_001178131	1950	Hs.419815	NM_001963	ENSG00000138798	EGF	HOMG4|URG	epidermal growth factor	protein-coding
1-133	chr1	157938335	157938748	+	0	NA	Intergenic	Intergenic	-24522	NM_001286349	55243	Hs.272234	NM_018240	ENSG00000183853	KIRREL1	KIRREL|NEPH1	kirre like nephrin family adhesion molecule 1	protein-coding
1-4519	chr1	147172556	147172969	+	0	NA	intron (NM_001351365, intron 72 of 94)	intron (NM_001351365, intron 72 of 94)	-30116	NM_016361	51205	Hs.562154	NM_016361	ENSG00000162836	ACP6	ACPL1|LPAP|PACPL1	acid phosphatase 6, lysophosphatidic	protein-coding
1-2722	chr15	75497012	75497425	+	0	NA	intron (NM_015492, intron 1 of 2)	intron (NM_015492, intron 1 of 2)	2995	NM_015492	56905	Hs.17936	NM_015492	ENSG00000167173	C15orf39	-	chromosome 15 open reading frame 39	protein-coding
1-226	chr21	43732826	43733239	+	0	NA	intron (NM_003226, intron 2 of 2)	intron (NM_003226, intron 2 of 2)	2674	NM_003226	7033	Hs.82961	NM_003226	ENSG00000160180	TFF3	ITF|P1B|TFI	trefoil factor 3	protein-coding
1-6848	chr7	65473542	65473955	+	0	NA	Intergenic	MIRb|SINE|MIR	-26548	NM_001293105	2990	Hs.255230	NM_000181	ENSG00000169919	GUSB	BG|MPS7	glucuronidase beta	protein-coding
1-6794	chr5	50678804	50679217	+	0	NA	promoter-TSS (NM_002202)	promoter-TSS (NM_002202)	156	NR_046243	642366	Hs.544139	NR_046243		LOC642366	-	uncharacterized LOC642366	ncRNA
1-6253	chr6	12573425	12573838	+	0	NA	Intergenic	Intergenic	12005	NR_149140	101928309	Hs.639414	NR_149140	ENSG00000234015	LINC02530	-	long intergenic non-protein coding RNA 2530	ncRNA
1-6509	chr14	78120920	78121333	+	0	NA	Intergenic	Intergenic	-38016	NM_004863	9517	Hs.435661	NM_004863	ENSG00000100596	SPTLC2	HSN1C|LCB2|LCB2A|NSAN1C|SPT2|hLCB2a	serine palmitoyltransferase long chain base subunit 2	protein-coding
1-6416	chr11	13408000	13408413	+	0	NA	exon (NM_001030273, exon 20 of 20)	exon (NM_001030273, exon 20 of 20)	53620	NM_001297742	84280	Hs.332382	NM_032320	ENSG00000148925	BTBD10	GMRP-1|GMRP1	BTB domain containing 10	protein-coding
1-7162	chr2	45465192	45465605	+	0	NA	intron (NR_033831, intron 1 of 5)	intron (NR_033831, intron 1 of 5)	16682	NR_033831	400952	Hs.468368	NR_033831	ENSG00000205054	LINC01121	UNQ6975	long intergenic non-protein coding RNA 1121	ncRNA
1-7510	chr12	50456771	50457184	+	0	NA	intron (NM_020039, intron 3 of 11)	intron (NM_020039, intron 3 of 11)	5598	NM_001095	41	Hs.274361	NM_001095	ENSG00000110881	ASIC1	ACCN2|ASIC|BNaC2	acid sensing ion channel subunit 1	protein-coding
1-5254	chr10	43693349	43693762	+	0	NA	exon (NM_145313, exon 10 of 13)	exon (NM_145313, exon 10 of 13)	31632	NM_001282862	221002	Hs.125293	NM_145313	ENSG00000198915	RASGEF1A	CG4853	RasGEF domain family member 1A	protein-coding
1-3646	chrX	122937329	122937742	+	0	NA	Intergenic	Intergenic	-56127	NM_001204401	331	Hs.356076	NM_001167	ENSG00000101966	XIAP	API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3	X-linked inhibitor of apoptosis	protein-coding
1-693	chr15	57802848	57803261	+	0	NA	intron (NM_032866, intron 8 of 18)	intron (NM_032866, intron 8 of 18)	-81048	NR_104371	145781	Hs.437256	NM_001018090	ENSG00000137878	GCOM1	GRINL1A|Gcom2|MYZAP|MYZAP-POLR2M|gcom	GRINL1A complex locus 1	protein-coding
1-879	chr9	23686156	23686569	+	0	NA	Intergenic	Intergenic	-13965	NR_121602	101929563	Hs.533220	NR_121602	ENSG00000283982	LOC101929563	-	uncharacterized LOC101929563	ncRNA
1-2877	chr7	1753421	1753834	+	0	NA	intron (NM_001128636, intron 2 of 2)	CpG	25872	NM_001128636	392617	Hs.42896	NM_001128636	ENSG00000225968	ELFN1	PPP1R28	extracellular leucine rich repeat and fibronectin type III domain containing 1	protein-coding
1-758	chr1	212640173	212640586	+	0	NA	Intergenic	Intergenic	34117	NM_013349	29937	Hs.461787	NM_013349	ENSG00000117691	NENF	CIR2|SCIRP10|SPUF	neudesin neurotrophic factor	protein-coding
1-4366	chr14	105558945	105559358	+	0	NA	Intergenic	Intergenic	-1333	NR_110546	102723354	Hs.569410	NR_110546		LINC02298	-	long intergenic non-protein coding RNA 2298	ncRNA
1-5621	chr3	32862981	32863394	+	0	NA	intron (NM_001039111, intron 1 of 3)	CpG	3698	NM_001039111	131405	Hs.113170	NM_001039111	ENSG00000206557	TRIM71	LIN-41|LIN41	tripartite motif containing 71	protein-coding
1-6885	chr9	92493139	92493552	+	0	NA	Intergenic	Intergenic	-238353	NR_109791	101927847	Hs.584312	NR_109791		LOC101927847	-	uncharacterized LOC101927847	ncRNA
1-1356	chr22	23579317	23579730	+	0	NA	intron (NM_004327, intron 1 of 22)	intron (NM_004327, intron 1 of 22)	-25431	NR_033408	26226	Hs.729589	NR_033408	ENSG00000230701	FBXW4P1	FBW3|FBXW3|SHFM3P1	F-box and WD repeat domain containing 4 pseudogene 1	pseudo
1-7182	chr2	158252207	158252620	+	0	NA	Intergenic	Charlie8|DNA|hAT-Charlie	-15392	NR_034169	728066	Hs.470311	NR_034169		FAM133DP	-	family with sequence similarity 133, member A pseudogene	pseudo
1-1896	chr10	72268627	72269040	+	0	NA	intron (NM_014431, intron 1 of 19)	intron (NM_014431, intron 1 of 19)	30310	NM_014431	27143	Hs.202351	NM_014431	ENSG00000107719	PALD1	KIAA1274|PALD	phosphatase domain containing paladin 1	protein-coding
1-1046	chr5	138263689	138264102	+	0	NA	intron (NM_001324011, intron 9 of 13)	intron (NM_001324011, intron 9 of 13)	52806	NM_001323997	1495	Hs.445981	NM_001903	ENSG00000044115	CTNNA1	CAP102|MDPT2	catenin alpha 1	protein-coding
1-6249	chr6	10759661	10760074	+	0	NA	3' UTR (NM_001286488, exon 6 of 6)	3' UTR (NM_001286488, exon 6 of 6)	11829	NM_030969	81853	Hs.95600	NM_030969	ENSG00000137210	TMEM14B	-	transmembrane protein 14B	protein-coding
1-4994	chr1	8723453	8723866	+	0	NA	intron (NM_001042681, intron 1 of 22)	L2b|LINE|L2	154040	NM_012102	473	Hs.463041	NM_012102	ENSG00000142599	RERE	ARG|ARP|ATN1L|DNB1|NEDBEH	arginine-glutamic acid dipeptide repeats	protein-coding
1-4167	chr5	64544774	64545187	+	0	NA	intron (NR_135689, intron 15 of 25)	MER50B|LTR|ERV1	232767	NM_197941	11174	Hs.482291	NM_197941	ENSG00000049192	ADAMTS6	ADAM-TS 6|ADAM-TS6|ADAMTS-6	ADAM metallopeptidase with thrombospondin type 1 motif 6	protein-coding
1-3785	chr6	107473762	107474175	+	0	NA	3' UTR (NM_020381, exon 8 of 8)	3' UTR (NM_020381, exon 8 of 8)	-37249	NM_001367314	57673	Hs.418045	NM_001080450	ENSG00000178409	BEND3	KIAA1553	BEN domain containing 3	protein-coding
1-6530	chr15	72081472	72081885	+	0	NA	Intergenic	MIRb|SINE|MIR	-21216	NM_016346	10002	Hs.187354	NM_014249	ENSG00000278570	NR2E3	ESCS|PNR|RNR|RP37|rd7	nuclear receptor subfamily 2 group E member 3	protein-coding
1-6808	chr5	123121319	123121732	+	0	NA	Intergenic	Intergenic	240414	NM_001270572	1456	Hs.129206	NM_004384	ENSG00000151292	CSNK1G3	CKI-gamma 3|CSNK1G3L	casein kinase 1 gamma 3	protein-coding
1-976	chr2	239193399	239193812	+	0	NA	intron (NM_022817, intron 1 of 22)	intron (NM_022817, intron 1 of 22)	3646	NM_022817	8864	Hs.58756	NM_003894	ENSG00000132326	PER2	FASPS|FASPS1	period circadian regulator 2	protein-coding
1-3404	chr5	67176154	67176567	+	0	NA	Intergenic	Intergenic	87319	NR_130779	101928858	Hs.334066	NR_130779	ENSG00000249364	LOC101928858	-	uncharacterized LOC101928858	ncRNA
1-2980	chr16	85286531	85286944	+	0	NA	Intergenic	Intergenic	-29827	NR_038859	197196	Hs.679002	NM_153238	ENSG00000179219	LINC00311	NCRNA00311|TMEM148	long intergenic non-protein coding RNA 311	ncRNA
1-1392	chr2	192542546	192542959	+	0	NA	promoter-TSS (NM_001254736)	promoter-TSS (NM_001254736)	-46	NR_045622	64859	Hs.591610	NM_022837	ENSG00000173559	NABP1	OBFC2A|SOSS-B2|SSB2	nucleic acid binding protein 1	protein-coding
1-7063	chr20	10579493	10579906	+	0	NA	intron (NM_001009608, intron 5 of 7)	intron (NM_001009608, intron 5 of 7)	50644	NR_106930	102465525		NR_106930	ENSG00000273745	MIR6870	hsa-mir-6870	microRNA 6870	ncRNA
