PeakID (cmd=annotatePeaks.pl PDX1_merged_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1769	chr1	230217655	230218524	+	0	NA	intron (NM_004481, intron 1 of 15)	intron (NM_004481, intron 1 of 15)	15104	NM_004481	2590	Hs.743964	NM_004481	ENSG00000143641	GALNT2	GalNAc-T2	polypeptide N-acetylgalactosaminyltransferase 2	protein-coding
14667	chr4	146460162	146461101	+	0	NA	intron (NM_005900, intron 2 of 6)	intron (NM_005900, intron 2 of 6)	-22285	NR_126371	104326058	Hs.714527	NR_126371	ENSG00000250902	SMAD1-AS1	-	SMAD1 antisense RNA 1	ncRNA
6656	chr15	47704054	47705127	+	0	NA	5' UTR (NM_001198999, exon 2 of 20)	5' UTR (NM_001198999, exon 2 of 20)	228304	NM_001198999	80031	Hs.511265	NM_020858	ENSG00000137872	SEMA6D	-	semaphorin 6D	protein-coding
9859	chr2	45908593	45909276	+	0	NA	intron (NM_005400, intron 1 of 14)	intron (NM_005400, intron 1 of 14)	30120	NM_005400	5581	Hs.580351	NM_005400	ENSG00000171132	PRKCE	PKCE|nPKC-epsilon	protein kinase C epsilon	protein-coding
18778	chr7	139024686	139025997	+	0	NA	promoter-TSS (NM_197964)	promoter-TSS (NM_197964)	145	NR_073058	154791	Hs.718441	NM_197964	ENSG00000164898	FMC1	C7orf55|HSPC268	formation of mitochondrial complex V assembly factor 1 homolog	protein-coding
6725	chr15	58504823	58505603	+	0	NA	Intergenic	Intergenic	74633	NM_001320635	366	Hs.104624	NM_020980	ENSG00000103569	AQP9	AQP-9|HsT17287|SSC1|T17287	aquaporin 9	protein-coding
9722	chr2	31282882	31284003	+	0	NA	intron (NM_024572, intron 1 of 14)	intron (NM_024572, intron 1 of 14)	69064	NM_001253827	79623	Hs.468058	NM_024572	ENSG00000158089	GALNT14	GALNT15|GalNac-T10|GalNac-T14	polypeptide N-acetylgalactosaminyltransferase 14	protein-coding
2924	chr10	122182683	122183603	+	0	NA	Intergenic	Intergenic	-33323	NM_001318169	196051	Hs.40479	NM_001030059	ENSG00000203805	PLPP4	DPPL2|PPAPDC1|PPAPDC1A	phospholipid phosphatase 4	protein-coding
6935	chr15	77664303	77665081	+	0	NA	intron (NM_024776, intron 1 of 7)	intron (NM_024776, intron 1 of 7)	47754	NM_024776	79834	Hs.9587	NM_024776	ENSG00000173517	PEAK1	SGK269	pseudopodium enriched atypical kinase 1	protein-coding
19015	chr8	18436671	18437440	+	0	NA	intron (NM_001362819, intron 11 of 14)	intron (NM_001362819, intron 11 of 14)	188263	NM_000015	10	Hs.2	NM_000015	ENSG00000156006	NAT2	AAC2|NAT-2|PNAT	N-acetyltransferase 2	protein-coding
6907	chr15	73921232	73922238	+	0	NA	intron (NM_001161363, intron 1 of 8)	intron (NM_001161363, intron 1 of 8)	3995	NM_001161363	27020	Hs.744867	NM_012428	ENSG00000156642	NPTN	GP55|GP65|SDFR1|SDR1|np55|np65	neuroplastin	protein-coding
1658	chr1	216705190	216706008	+	0	NA	intron (NM_206594, intron 7 of 8)	intron (NM_206594, intron 7 of 8)	-108809	NM_206933	7399	Hs.655974	NM_007123	ENSG00000042781	USH2A	RP39|US2|USH2|dJ1111A8.1	usherin	protein-coding
18196	chr7	69558276	69559152	+	0	NA	intron (NM_001127232, intron 2 of 4)	intron (NM_001127232, intron 2 of 4)	495253	NM_001127231	26053	Hs.21631	NM_015570	ENSG00000158321	AUTS2	FBRSL2|MRD26	activator of transcription and developmental regulator AUTS2	protein-coding
7162	chr16	7854987	7856275	+	0	NA	Intergenic	Intergenic	472785	NM_145891	54715	Hs.459842	NM_018723	ENSG00000078328	RBFOX1	2BP1|A2BP1|FOX-1|FOX1|HRNBP1	RNA binding fox-1 homolog 1	protein-coding
18916	chr7	157017206	157017883	+	0	NA	intron (NM_014671, intron 16 of 22)	intron (NM_014671, intron 16 of 22)	85924	NM_014671	9690	Hs.118351	NM_014671	ENSG00000009335	UBE3C	HECTH2	ubiquitin protein ligase E3C	protein-coding
1199	chr1	164604540	164605510	+	0	NA	intron (NM_001204963, intron 2 of 8)	intron (NM_001204963, intron 2 of 8)	76066	NM_001353130	5087	Hs.557097	NM_002585	ENSG00000185630	PBX1	CAKUHED	PBX homeobox 1	protein-coding
9099	chr19	8456762	8457564	+	0	NA	intron (NM_004218, intron 1 of 4)	intron (NM_004218, intron 1 of 4)	-1588	NR_038237	100507567	Hs.637720	NR_038237	ENSG00000269386	RAB11B-AS1	MIR4999HG	RAB11B antisense RNA 1	ncRNA
18626	chr7	123262363	123263457	+	0	NA	intron (NR_111922, intron 2 of 4)	intron (NR_111922, intron 2 of 4)	2101	NR_111922	102724555	Hs.83916	NR_111922	ENSG00000230442	LOC102724555	-	uncharacterized LOC102724555	ncRNA
7459	chr16	68936149	68936986	+	0	NA	intron (NM_024562, intron 9 of 17)	intron (NM_024562, intron 9 of 17)	59133	NM_024562	79613	Hs.13526	NM_024562	ENSG00000103047	TANGO6	TMCO7	transport and golgi organization 6 homolog	protein-coding
8852	chr18	54074674	54075562	+	0	NA	Intergenic	Intergenic	-216625	NR_148972	642484		NR_148972	ENSG00000206129	LOC642484	-	uncharacterized LOC642484	ncRNA
11660	chr20	54162503	54163448	+	0	NA	Intergenic	Intergenic	-119240	NR_110064	101927796	Hs.737040	NR_110064	ENSG00000224008	LINC01441	-	long intergenic non-protein coding RNA 1441	ncRNA
7682	chr16	89388235	89389124	+	0	NA	intron (NM_001242885, intron 1 of 2)	intron (NM_001242885, intron 1 of 2)	1138	NM_001242885	100287036	Hs.656995	NM_001242885		LOC100287036	-	uncharacterized LOC100287036	protein-coding
14589	chr4	136170136	136170923	+	0	NA	Intergenic	Intergenic	-125815	NR_147187	105377439	Hs.570727	NR_147187		LINC02485	-	long intergenic non-protein coding RNA 2485	ncRNA
10044	chr2	65357119	65357706	+	0	NA	promoter-TSS (NM_004161)	promoter-TSS (NM_004161)	23	NM_015543	5861	Hs.310645	NM_004161	ENSG00000138069	RAB1A	RAB1|YPT1	RAB1A, member RAS oncogene family	protein-coding
12254	chr3	1811454	1812150	+	0	NA	Intergenic	Intergenic	-328685	NM_001350095	152330	Hs.298705	NM_175607	ENSG00000144619	CNTN4	AXCAM|BIG-2	contactin 4	protein-coding
5174	chr13	27173687	27174704	+	0	NA	intron (NM_006646, intron 1 of 9)	MIRc|SINE|MIR	42355	NM_001291965	10810	Hs.618732	NM_006646	ENSG00000132970	WASF3	Brush-1|SCAR3|WAVE3	WASP family member 3	protein-coding
676	chr1	64272452	64273551	+	0	NA	intron (NM_005012, intron 1 of 8)	intron (NM_005012, intron 1 of 8)	33313	NM_001083592	4919	Hs.128753	NM_005012	ENSG00000185483	ROR1	NTRKR1|dJ537F10.1	receptor tyrosine kinase like orphan receptor 1	protein-coding
6041	chr14	58893523	58894925	+	0	NA	promoter-TSS (NM_001304486)	promoter-TSS (NM_001304486)	25	NM_012460	26520	Hs.440525	NM_012460	ENSG00000100575	TIMM9	TIM9|TIM9A	translocase of inner mitochondrial membrane 9	protein-coding
4056	chr11	132534908	132535811	+	0	NA	intron (NM_001319104, intron 1 of 6)	intron (NM_001319104, intron 1 of 6)	278173	NM_001319103	4978	Hs.4817	NM_002545	ENSG00000183715	OPCML	IGLON1|OBCAM|OPCM	opioid binding protein/cell adhesion molecule like	protein-coding
4146	chr12	6960973	6962008	+	0	NA	promoter-TSS (NM_001331019)	promoter-TSS (NM_001331019)	176	NM_003481	8078	Hs.631661	NM_003481	ENSG00000111667	USP5	ISOT	ubiquitin specific peptidase 5	protein-coding
5066	chr12	125629324	125630185	+	0	NA	Intergenic	Intergenic	-41178	NM_001366854	114795	Hs.524838	NM_052907	ENSG00000139364	TMEM132B	-	transmembrane protein 132B	protein-coding
1710	chr1	223348173	223348917	+	0	NA	Intergenic	MER77|LTR|ERVL	-31955	NM_003268	7100	Hs.604542	NM_003268	ENSG00000187554	TLR5	MELIOS|SLE1|SLEB1|TIL3	toll like receptor 5	protein-coding
10246	chr2	99391560	99392628	+	0	NA	Intergenic	Intergenic	-3733	NR_126337	101927070	Hs.469395	NR_126337		LINC02611	-	long intergenic non-protein coding RNA 2611	ncRNA
1229	chr1	166949521	166950826	+	0	NA	intron (NM_001286378, intron 1 of 12)	intron (NM_001286378, intron 1 of 12)	5354	NM_001286378	84944	Hs.651245	NM_032858	ENSG00000143194	MAEL	CT128|SPATA35	maelstrom spermatogenic transposon silencer	protein-coding
11507	chr20	37882106	37882711	+	0	NA	Intergenic	Intergenic	-29017	NR_027124	339568	Hs.434319	NR_027124	ENSG00000230324	LINC01734	-	long intergenic non-protein coding RNA 1734	ncRNA
5222	chr13	30008482	30009805	+	0	NA	intron (NM_015233, intron 1 of 8)	intron (NM_015233, intron 1 of 8)	6346	NM_015233	23281	Hs.22287	NM_015233	ENSG00000132938	MTUS2	CAZIP|ICIS|KIAA0774|TIP150	microtubule associated scaffold protein 2	protein-coding
12662	chr3	54767458	54768166	+	0	NA	intron (NM_018398, intron 11 of 37)	intron (NM_018398, intron 11 of 37)	-93928	NR_027122	790952	Hs.720658	NR_027122	ENSG00000265992	ESRG	HESRG	embryonic stem cell related	ncRNA
5449	chr13	48669045	48669488	+	0	NA	promoter-TSS (NM_001270629)	promoter-TSS (NM_001270629)	11	NM_001270629	29079	Hs.181112	NM_014166	ENSG00000136146	MED4	ARC36|DRIP36|HSPC126|TRAP36|VDRIP	mediator complex subunit 4	protein-coding
2256	chr10	45473816	45474954	+	0	NA	promoter-TSS (NM_007021)	promoter-TSS (NM_007021)	-128	NM_007021	11067	Hs.93675	NM_007021	ENSG00000165507	DEPP1	C10orf10|DEPP|FIG|Fseg	DEPP1 autophagy regulator	protein-coding
12326	chr3	12822232	12822752	+	0	NA	Intergenic	MER67B|LTR|ERV1	-11536	NM_001284406	55287	Hs.475502	NM_018306	ENSG00000088726	TMEM40	-	transmembrane protein 40	protein-coding
14260	chr4	83734977	83736021	+	0	NA	Intergenic	Intergenic	-15489	NM_024906	79966	Hs.379191	NM_024906	ENSG00000145284	SCD5	ACOD4|FADS4|HSCD5|SCD2|SCD4	stearoyl-CoA desaturase 5	protein-coding
208	chr1	19755847	19756730	+	0	NA	intron (NM_001206540, intron 1 of 9)	intron (NM_001206540, intron 1 of 9)	54501	NM_001282162	832	Hs.432760	NM_004930	ENSG00000077549	CAPZB	CAPB|CAPPB|CAPZ	capping actin protein of muscle Z-line subunit beta	protein-coding
10486	chr2	144442893	144443591	+	0	NA	intron (NM_018460, intron 12 of 13)	intron (NM_018460, intron 12 of 13)	-251392	NR_110237	101928386	Hs.668251	NR_110237	ENSG00000232377	LOC101928386	-	uncharacterized LOC101928386	ncRNA
3880	chr11	115126552	115128158	+	0	NA	intron (NM_001301044, intron 1 of 10)	intron (NM_001301044, intron 1 of 10)	-76941	NR_135108	105369509	Hs.736064	NR_135108		LOC105369509	-	uncharacterized LOC105369509	ncRNA
14467	chr4	109819445	109820007	+	0	NA	intron (NM_198721, intron 14 of 36)	intron (NM_198721, intron 14 of 36)	-135517	NM_001331032	64850	Hs.106576	NM_031279	ENSG00000164089	ETNPPL	AGXT2L1	ethanolamine-phosphate phospho-lyase	protein-coding
16490	chr6	21596807	21597849	+	0	NA	3' UTR (NM_003107, exon 1 of 1)	3' UTR (NM_003107, exon 1 of 1)	3346	NM_003107	6659	Hs.643910	NM_003107	ENSG00000124766	SOX4	EVI16	SRY-box transcription factor 4	protein-coding
3835	chr11	111666215	111666914	+	0	NA	intron (NM_001352420, intron 14 of 15)	intron (NM_001352420, intron 14 of 15)	-29451	NM_181699	5519	Hs.269128	NM_002716	ENSG00000137713	PPP2R1B	PP2A-Abeta|PR65B	protein phosphatase 2 scaffold subunit Abeta	protein-coding
17462	chr6	147470934	147471549	+	0	NA	intron (NR_034115, intron 3 of 10)	intron (NR_034115, intron 3 of 10)	-8820	NR_132442	106182249	Hs.575390	NR_132442	ENSG00000196634	LUADT1	-	lung adenocarcinoma associated transcript 1	ncRNA
16029	chr5	143410767	143411751	+	0	NA	Intergenic	Intergenic	138964	NM_030799	81555	Hs.372050	NM_030799	ENSG00000145817	YIPF5	FinGER5|SB140|SMAP-5|SMAP5|YIP1A	Yip1 domain family member 5	protein-coding
979	chr1	110161871	110162610	+	0	NA	promoter-TSS (NM_139156)	promoter-TSS (NM_139156)	-195	NM_139156	271	Hs.82927	NM_004037	ENSG00000116337	AMPD2	PCH9|SPG63	adenosine monophosphate deaminase 2	protein-coding
1177	chr1	161719821	161720472	+	0	NA	intron (NM_007240, intron 1 of 5)	intron (NM_007240, intron 1 of 5)	570	NM_007240	11266	Hs.416216	NM_007240	ENSG00000081721	DUSP12	DUSP1|YVH1	dual specificity phosphatase 12	protein-coding
13432	chr3	155381315	155382312	+	0	NA	intron (NM_001349251, intron 2 of 22)	intron (NM_001349251, intron 2 of 22)	12319	NM_001349250	23007	Hs.567423	NM_014996	ENSG00000114805	PLCH1	PLCL3	phospholipase C eta 1	protein-coding
20949	chrX	24163931	24164900	+	0	NA	TTS (NR_046657)	TTS (NR_046657)	-2684	NM_001330327	7543	Hs.336681	NM_003410	ENSG00000005889	ZFX	ZNF926	zinc finger protein X-linked	protein-coding
10939	chr2	210244746	210245520	+	0	NA	Intergenic	Intergenic	-43638	NM_001039538	4133	Hs.368281	NM_002374	ENSG00000078018	MAP2	MAP-2|MAP2A|MAP2B|MAP2C	microtubule associated protein 2	protein-coding
19587	chr8	98414202	98414700	+	0	NA	intron (NR_125390, intron 2 of 2)	intron (NR_125390, intron 2 of 2)	43958	NR_145760	109617016		NR_145760	ENSG00000207215	SNORD3H	-	small nucleolar RNA, C/D box 3H	snoRNA
18530	chr7	109484229	109484916	+	0	NA	Intergenic	Intergenic	115698	NR_003024	442720	Hs.530096	NR_003024	ENSG00000237064	EIF3IP1	RG208K23	eukaryotic translation initiation factor 3 subunit I pseudogene 1	pseudo
8717	chr18	37947442	37948302	+	0	NA	Intergenic	Intergenic	301622	NR_110791	101927900	Hs.385522	NR_110791	ENSG00000261715	LINC01477	-	long intergenic non-protein coding RNA 1477	ncRNA
15500	chr5	79964726	79965483	+	0	NA	intron (NM_002439, intron 3 of 23)	intron (NM_002439, intron 3 of 23)	-14302	NM_001290354	1719	Hs.592364	NM_000791	ENSG00000228716	DHFR	DHFRP1|DYR	dihydrofolate reductase	protein-coding
5308	chr13	34349747	34351308	+	0	NA	Intergenic	Intergenic	-41679	NM_181558	5983	Hs.115474	NM_002915	ENSG00000133119	RFC3	RFC38	replication factor C subunit 3	protein-coding
9996	chr2	61243791	61245087	+	0	NA	promoter-TSS (NM_002618)	promoter-TSS (NM_002618)	-92	NM_001322124	150962	Hs.368348	NM_144709	ENSG00000162927	PUS10	CCDC139|DOBI	pseudouridine synthase 10	protein-coding
6028	chr14	57710625	57711412	+	0	NA	exon (NM_006544, exon 4 of 18)	exon (NM_006544, exon 4 of 18)	24605	NM_006544	10640	Hs.743987	NM_006544	ENSG00000070367	EXOC5	HSEC10|PRO1912|SEC10|SEC10L1|SEC10P	exocyst complex component 5	protein-coding
7349	chr16	52016557	52017103	+	0	NA	Intergenic	Intergenic	91017	NM_001242473	388276	Hs.534669	NM_001242473		C16orf97	-	chromosome 16 open reading frame 97	protein-coding
15540	chr5	83408693	83410156	+	0	NA	intron (NM_005711, intron 5 of 10)	intron (NM_005711, intron 5 of 10)	271261	NM_001278642	10085	Hs.482730	NM_005711	ENSG00000164176	EDIL3	DEL1	EGF like repeats and discoidin domains 3	protein-coding
20249	chr9	73820320	73820951	+	0	NA	intron (NM_001366143, intron 1 of 25)	intron (NM_001366143, intron 1 of 25)	-84098	NM_001007471	80036	Hs.47288	NM_020952	ENSG00000083067	TRPM3	GON-2|LTRPC3|MLSN2	transient receptor potential cation channel subfamily M member 3	protein-coding
294	chr1	26758250	26759200	+	0	NA	promoter-TSS (NM_001319959)	promoter-TSS (NM_001319959)	-48	NM_001319959	79947	Hs.369385	NM_024887	ENSG00000117682	DHDDS	CIT|CPT|DEDSM|DS|HDS|RP59|hCIT	dehydrodolichyl diphosphate synthase subunit	protein-coding
5909	chr14	36156321	36157286	+	0	NA	intron (NM_001346247, intron 18 of 40)	intron (NM_001346247, intron 18 of 40)	75334	NR_135620	107399303	Hs.742611	NR_135620		SNORA101B	ZL4	small nucleolar RNA, H/ACA box 101B	snoRNA
20212	chr9	37927201	37927825	+	0	NA	intron (NM_003028, intron 5 of 5)	intron (NM_003028, intron 5 of 5)	-23163	NR_024873	92014	Hs.634120	NM_033412	ENSG00000122696	SLC25A51	CG7943|MCART1	solute carrier family 25 member 51	protein-coding
17981	chr7	30205353	30206268	+	0	NA	Intergenic	Intergenic	31208	NM_152793	222166	Hs.200100	NM_152793	ENSG00000180354	MTURN	C7orf41|Ells1	maturin, neural progenitor differentiation regulator homolog	protein-coding
10260	chr2	100187709	100188684	+	0	NA	intron (NM_002285, intron 17 of 23)	intron (NM_002285, intron 17 of 23)	-81717	NM_001321455	51455	Hs.443077	NM_016316	ENSG00000135945	REV1	AIBP80|REV1L	REV1 DNA directed polymerase	protein-coding
13364	chr3	143048649	143049573	+	0	NA	intron (NM_173653, intron 14 of 15)	intron (NM_173653, intron 14 of 15)	-11977	NR_048544	100885796	Hs.581618	NR_048544	ENSG00000240012	SLC9A9-AS1	-	SLC9A9 antisense RNA 1	ncRNA
11224	chr20	3837728	3838560	+	0	NA	intron (NM_001206491, intron 2 of 5)	intron (NM_001206491, intron 2 of 5)	10663	NR_037921	57506	Hs.570362	NM_020746	ENSG00000088888	MAVS	CARDIF|IPS-1|IPS1|VISA	mitochondrial antiviral signaling protein	protein-coding
2801	chr10	110735074	110736056	+	0	NA	Intergenic	Intergenic	-906514	NR_125760	103695365	Hs.648991	NR_125760	ENSG00000229981	LINC01435	TCONS_00018040	long intergenic non-protein coding RNA 1435	ncRNA
3708	chr11	93463879	93464529	+	0	NA	promoter-TSS (NR_003028)	promoter-TSS (NR_003028)	61	NR_003032	692063	Hs.738740	NR_003032	ENSG00000206799	SNORA32	ACA32	small nucleolar RNA, H/ACA box 32	snoRNA
11475	chr20	33166944	33168275	+	0	NA	intron (NM_080476, intron 10 of 11)	intron (NM_080476, intron 10 of 11)	21087	NM_032514	84557	Hs.632273	NM_032514	ENSG00000101460	MAP1LC3A	ATG8E|LC3|LC3A|MAP1ALC3|MAP1BLC3	microtubule associated protein 1 light chain 3 alpha	protein-coding
4494	chr12	56693912	56694771	+	0	NA	promoter-TSS (NM_004077)	promoter-TSS (NM_004077)	-227	NM_004077	1431	Hs.743252	NM_004077	ENSG00000062485	CS	-	citrate synthase	protein-coding
9294	chr19	38358148	38359040	+	0	NA	Intergenic	LTR59|LTR|ERV1	-12758	NR_040015	100631378	Hs.726940	NR_040015	ENSG00000225868	LOC100631378	-	uncharacterized 100631378	ncRNA
13673	chr3	183477441	183478172	+	0	NA	intron (NM_001351369, intron 13 of 30)	intron (NM_001351369, intron 13 of 30)	49779	NM_001351369	55689	Hs.632575	NM_018023	ENSG00000163872	YEATS2	-	YEATS domain containing 2	protein-coding
8681	chr18	33513795	33514428	+	0	NA	promoter-TSS (NR_037497)	promoter-TSS (NR_037497)	-6	NR_037497	100500864		NR_037497	ENSG00000265641	MIR3929	-	microRNA 3929	ncRNA
17411	chr6	143896383	143896993	+	0	NA	Intergenic	Intergenic	-6212	NR_027113	285740	Hs.432656	NR_027113	ENSG00000235740	PHACTR2-AS1	-	PHACTR2 antisense RNA 1	ncRNA
12556	chr3	44770746	44771546	+	0	NA	promoter-TSS (NM_145044)	promoter-TSS (NM_145044)	19	NM_001258280	115560	Hs.401045	NM_145044	ENSG00000186446	ZNF501	ZNF|ZNF52	zinc finger protein 501	protein-coding
13742	chr3	190141967	190142833	+	0	NA	Intergenic	Intergenic	25265	NM_207316	131920	Hs.335321	NM_207316	ENSG00000198398	TMEM207	UNQ846	transmembrane protein 207	protein-coding
12193	chr22	42795547	42796325	+	0	NA	intron (NM_001318323, intron 2 of 4)	intron (NM_001318323, intron 2 of 4)	-30722	NR_120597	102723775	Hs.335413	NR_120595	ENSG00000229891	LINC01315	C22orf32-1|lnc-C22orf32-1	long intergenic non-protein coding RNA 1315	ncRNA
15940	chr5	133883613	133884500	+	0	NA	intron (NM_001289985, intron 3 of 11)	MIR|SINE|MIR	22258	NM_015288	23338	Hs.732155	NM_015288	ENSG00000043143	JADE2	JADE-2|PHF15	jade family PHD finger 2	protein-coding
4621	chr12	75784171	75785131	+	0	NA	promoter-TSS (NM_001270396)	promoter-TSS (NM_001270396)	30	NM_001355033	84698	Hs.733835	NM_032606	ENSG00000180881	CAPS2	UG0636c06	calcyphosine 2	protein-coding
15323	chr5	58419884	58420653	+	0	NA	intron (NM_001364603, intron 5 of 15)	intron (NM_001364603, intron 5 of 15)	-84965	NM_001197222	5144	Hs.117545	NM_006203	ENSG00000113448	PDE4D	ACRDYS2|DPDE3|HSPDE4D|PDE43|PDE4DN2|STRK1	phosphodiesterase 4D	protein-coding
233	chr1	21222969	21223969	+	0	NA	intron (NM_001198801, intron 13 of 34)	Tigger3b|DNA|TcMar-Tigger	91456	NR_031657	100302155		NR_031657	ENSG00000221808	MIR1256	MIRN1256|hsa-mir-1256	microRNA 1256	ncRNA
10482	chr2	143290522	143291143	+	0	NA	Intergenic	Intergenic	-344401	NM_001199241	8942	Hs.470126	NM_003937	ENSG00000115919	KYNU	KYNUU|VCRL2	kynureninase	protein-coding
9027	chr19	2888734	2889469	+	0	NA	Intergenic	CpG	-11825	NM_173480	126295	Hs.591378	NM_173480	ENSG00000171970	ZNF57	ZNF424	zinc finger protein 57	protein-coding
5281	chr13	33457694	33458332	+	0	NA	intron (NR_047020, intron 3 of 4)	intron (NR_047020, intron 3 of 4)	27777	NR_047020	100874167	Hs.406290	NR_047020		LINC00423	-	long intergenic non-protein coding RNA 423	ncRNA
255	chr1	23076693	23077518	+	0	NA	intron (NM_004442, intron 1 of 15)	MER113|DNA|hAT-Charlie	31095	NR_039832	100616391		NR_039832	ENSG00000265422	MIR4684	-	microRNA 4684	ncRNA
542	chr1	50484651	50485418	+	0	NA	intron (NR_136623, intron 1 of 12)	intron (NR_136623, intron 1 of 12)	4592	NM_001323575	84871	Hs.551844	NM_032785	ENSG00000186094	AGBL4	CCP6	ATP/GTP binding protein like 4	protein-coding
15233	chr5	45454127	45454611	+	0	NA	intron (NM_021072, intron 3 of 7)	intron (NM_021072, intron 3 of 7)	242113	NM_021072	348980	Hs.353176	NM_021072	ENSG00000164588	HCN1	BCNG-1|BCNG1|EIEE24|HAC-2	hyperpolarization activated cyclic nucleotide gated potassium channel 1	protein-coding
7917	chr17	27133436	27134302	+	0	NA	intron (NM_001288637, intron 1 of 4)	intron (NM_001288637, intron 1 of 4)	5620	NM_001288634	55731	Hs.564533	NM_018182	ENSG00000173065	FAM222B	C17orf63	family with sequence similarity 222 member B	protein-coding
13548	chr3	171528871	171529841	+	0	NA	Intergenic	Intergenic	-1083	NM_002662	5337	Hs.382865	NM_002662	ENSG00000075651	PLD1	CVDD	phospholipase D1	protein-coding
13892	chr4	14979369	14979876	+	0	NA	intron (NR_038857, intron 7 of 7)	L2c|LINE|L2	24047	NR_038857	441009	Hs.535004	NR_038857	ENSG00000247624	CPEB2-DT	CPEB2-AS1	CPEB2 divergent transcript	ncRNA
1556	chr1	206835708	206836774	+	0	NA	Intergenic	L2c|LINE|L2	-22009	NM_004759	9261	Hs.643566	NM_004759	ENSG00000162889	MAPKAPK2	MAPKAP-K2|MK-2|MK2	MAPK activated protein kinase 2	protein-coding
8080	chr17	41533568	41534724	+	0	NA	Intergenic	Intergenic	11972	NR_031751	100313779		NR_031751	ENSG00000284344	MIR2117	-	microRNA 2117	ncRNA
8050	chr17	40073270	40073944	+	0	NA	intron (NM_001303275, intron 1 of 27)	intron (NM_001303275, intron 1 of 27)	1597	NM_001096	47	Hs.387567	NM_001096	ENSG00000131473	ACLY	ACL|ATPCL|CLATP	ATP citrate lyase	protein-coding
8820	chr18	47526309	47527371	+	0	NA	intron (NM_001080467, intron 5 of 39)	intron (NM_001080467, intron 5 of 39)	126093	NR_036204	100422865		NR_036204	ENSG00000283343	MIR4320	-	microRNA 4320	ncRNA
6676	chr15	50429495	50430114	+	0	NA	Intergenic	Intergenic	-18374	NR_073597	79895	Hs.511311	NM_024837	ENSG00000104043	ATP8B4	ATPIM	ATPase phospholipid transporting 8B4 (putative)	protein-coding
1355	chr1	179256916	179257773	+	0	NA	Intergenic	L2|LINE|L2	-5505	NM_001252511	6646	Hs.445588	NM_003101	ENSG00000057252	SOAT1	ACACT|ACAT|ACAT-1|ACAT1|SOAT|STAT	sterol O-acyltransferase 1	protein-coding
15926	chr5	133178346	133179171	+	0	NA	Intergenic	MLT1E1A|LTR|ERVL-MaLR	-70610	NR_131252	105664404	Hs.582536	NR_131252	ENSG00000249073	WSPAR	LncTCF7|TCONS_00009511	WNT signaling pathway activating non-coding RNA	ncRNA
20066	chr9	15295480	15296246	+	0	NA	intron (NM_001168341, intron 1 of 17)	intron (NM_001168341, intron 1 of 17)	11495	NM_001168341	158219	Hs.563630	NM_152574	ENSG00000155158	TTC39B	C9orf52	tetratricopeptide repeat domain 39B	protein-coding
6331	chr14	90919328	90920164	+	0	NA	non-coding (NR_146493, exon 3 of 3)	non-coding (NR_146493, exon 3 of 3)	1715	NR_146492	101930294		NR_146492	ENSG00000258678	LINC02317	-	long intergenic non-protein coding RNA 2317	ncRNA
4640	chr12	78135199	78135797	+	0	NA	Intergenic	L1M6|LINE|L1	-89176	NM_001024383	89795	Hs.655301	NM_014903	ENSG00000067798	NAV3	POMFIL1|STEERIN3|unc53H3	neuron navigator 3	protein-coding
14626	chr4	140950778	140951515	+	0	NA	intron (NM_018717, intron 1 of 4)	intron (NM_018717, intron 1 of 4)	-98023	NR_147610	101927516	Hs.662570	NR_147610		LOC101927516	-	uncharacterized LOC101927516	ncRNA
3868	chr11	114393434	114394072	+	0	NA	exon (NM_152315, exon 5 of 6)	exon (NM_152315, exon 5 of 6)	36850	NM_152315	120400	Hs.550126	NM_152315	ENSG00000095110	NXPE1	FAM55A	neurexophilin and PC-esterase domain family member 1	protein-coding
9038	chr19	3500477	3501140	+	0	NA	promoter-TSS (NM_001145165)	promoter-TSS (NM_001145165)	-136	NM_001145165	83475	Hs.515064	NM_031304	ENSG00000129932	DOHH	HLRC1|hDOHH	deoxyhypusine hydroxylase	protein-coding
10516	chr2	152075637	152076239	+	0	NA	Intergenic	L1MEe|LINE|L1	42439	NM_198557	375287	Hs.302442	NM_198557	ENSG00000184898	RBM43	C2orf38	RNA binding motif protein 43	protein-coding
17048	chr6	107475180	107476396	+	0	NA	3' UTR (NM_020381, exon 8 of 8)	3' UTR (NM_020381, exon 8 of 8)	-39069	NM_001367314	57673	Hs.418045	NM_001080450	ENSG00000178409	BEND3	KIAA1553	BEN domain containing 3	protein-coding
2888	chr10	119071723	119072846	+	0	NA	intron (NM_173791, intron 3 of 4)	intron (NM_173791, intron 3 of 4)	62667	NM_173791	118987	Hs.501149	NM_173791	ENSG00000165650	PDZD8	PDZK8	PDZ domain containing 8	protein-coding
7087	chr15	98873914	98874831	+	0	NA	intron (NR_146567, intron 1 of 2)	intron (NR_146567, intron 1 of 2)	415	NR_146566	105371011		NR_146566		LINC02351	-	long intergenic non-protein coding RNA 2351	ncRNA
