PeakID (cmd=annotatePeaks.pl 09-17ngn3_30M_peaksfdr0.05.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr6-61	chr6	119359162	119359394	+	13.3	0.862	intron (NM_001288576, intron 1 of 15)	HAL1|LINE|L1	31030	NR_030315	693128		NR_030315	ENSG00000207982	MIR548B	MIRN548B	microRNA 548b	ncRNA
chr17-43	chr17	29752327	29752559	+	13.3	0.615	intron (NM_032932, intron 1 of 14)	intron (NM_032932, intron 1 of 14)	33801	NM_032932	84440	Hs.406788	NM_032932	ENSG00000131242	RAB11FIP4	FIP4-Rab11|RAB11-FIP4	RAB11 family interacting protein 4	protein-coding
chr5-44	chr5	123991698	123991930	+	13.3	0.827	intron (NM_020747, intron 2 of 8)	intron (NM_020747, intron 2 of 8)	88991	NM_020747	57507	Hs.266616	NM_020747	ENSG00000168916	ZNF608	NY-REN-36	zinc finger protein 608	protein-coding
chr11-53	chr11	12559173	12559405	+	13.3	0.779	Intergenic	Intergenic	-136680	NM_021961	7003	Hs.655331	NM_021961	ENSG00000187079	TEAD1	AA|NTEF-1|REF1|TCF-13|TCF13|TEAD-1|TEF-1	TEA domain transcription factor 1	protein-coding
chr8-60	chr8	37336844	37337076	+	13.3	0.811	intron (NR_121620, intron 1 of 6)	intron (NR_121620, intron 1 of 6)	14471	NR_121620	100507420	Hs.105962	NR_121620		LINC01605	-	long intergenic non-protein coding RNA 1605	ncRNA
chr11-55	chr11	72916811	72917043	+	13.3	0.815	Intergenic	Intergenic	-12416	NM_002564	5029	Hs.339	NM_002564	ENSG00000175591	P2RY2	HP2U|P2RU1|P2U|P2U1|P2UR|P2Y2|P2Y2R	purinergic receptor P2Y2	protein-coding
chr14-25	chr14	101323642	101323874	+	13.3	0.794	intron (NR_046471, intron 5 of 5)	intron (NR_046471, intron 5 of 5)	5031	NR_030528	768222		NR_030528	ENSG00000211574	MIR770	MIRN770|hsa-mir-770	microRNA 770	ncRNA
chr11-54	chr11	112974380	112974612	+	13.3	0.872	intron (NM_000615, intron 2 of 18)	MER58B|DNA|hAT-Charlie	-140314	NR_120563	101928847	Hs.711235	NR_120563	ENSG00000247416	LOC101928847	-	uncharacterized LOC101928847	ncRNA
chr19-19	chr19	32274633	32274865	+	13.3	0.802	Intergenic	Intergenic	191562	NM_001205273	100507527	Hs.432564	NM_001205273		THEG5	-	testis highly expressed protein 5	protein-coding
chr1-86	chr1	200045359	200045591	+	13.3	0.909	intron (NM_001276464, intron 4 of 6)	intron (NM_001276464, intron 4 of 6)	33522	NM_001276464	2494	Hs.33446	NM_003822	ENSG00000116833	NR5A2	B1F|B1F2|CPF|FTF|FTZ-F1|FTZ-F1beta|LRH-1|LRH1|hB1F-2	nuclear receptor subfamily 5 group A member 2	protein-coding
chr6-58	chr6	56420416	56420648	+	13.3	0.807	exon (NM_015548, exon 41 of 84)	exon (NM_015548, exon 41 of 84)	87162	NM_015548	667	Hs.604915	NM_001723	ENSG00000151914	DST	BP240|BPA|BPAG1|CATX-15|CATX15|D6S1101|DMH|DT|EBSB2|HSAN6|MACF2	dystonin	protein-coding
chr12-26	chr12	45562869	45563101	+	13.3	0.855	Intergenic	Intergenic	18267	NR_001571	6090		NR_001571		RNY5	Y5	RNA, Ro-associated Y5	ncRNA
chr11-49	chr11	106079556	106079788	+	13.2	0.843	Intergenic	LTR22C|LTR|ERVK	-41074	NR_120552	101928535	Hs.409078	NR_120551	ENSG00000254811	LOC101928535	-	uncharacterized LOC101928535	ncRNA
chr10-62	chr10	80988822	80989054	+	13.2	0.830	intron (NM_020338, intron 7 of 24)	intron (NM_020338, intron 7 of 24)	-118282	NM_005729	10105	Hs.381072	NM_005729	ENSG00000108179	PPIF	CYP3|CyP-M|Cyp-D|CypD	peptidylprolyl isomerase F	protein-coding
chr8-62	chr8	125585684	125585916	+	13.2	0.934	intron (NM_001282974, intron 6 of 13)	L2a|LINE|L2	34457	NM_005005	4715	Hs.15977	NM_005005	ENSG00000147684	NDUFB9	B22|CI-B22|LYRM3|UQOR22	NADH:ubiquinone oxidoreductase subunit B9	protein-coding
chr5-46	chr5	171991348	171991580	+	13.2	0.855	Intergenic	MIRb|SINE|MIR	-5447	NR_146726	105377728	Hs.131465	NR_146726		LINC01944	CTB-54I1.1	long intergenic non-protein coding RNA 1944	ncRNA
chr8-61	chr8	12446147	12446379	+	13.2	0.789	intron (NR_047662, intron 6 of 8)	intron (NR_047662, intron 6 of 8)	76857	NR_047662	729732	Hs.322761	NR_047662	ENSG00000283674	LOC729732	-	uncharacterized LOC729732	ncRNA
chr3-53	chr3	70565310	70565542	+	13.2	0.851	Intergenic	Intergenic	516531	NR_110000	101927152	Hs.382046	NR_110000	ENSG00000240405	SAMMSON	LINC01212	survival associated mitochondrial melanoma specific oncogenic non-coding RNA	ncRNA
chr11-56	chr11	14604904	14605136	+	13.2	0.829	intron (NM_148976, intron 2 of 10)	intron (NM_148976, intron 2 of 10)	60160	NM_148976	5682	Hs.102798	NM_002786	ENSG00000129084	PSMA1	HC2|HEL-S-275|NU|PROS30	proteasome subunit alpha 1	protein-coding
chr2-78	chr2	223955398	223955630	+	13.2	0.870	Intergenic	MLT2B4|LTR|ERVL	38866	NM_080671	23704	Hs.348522	NM_080671	ENSG00000152049	KCNE4	MIRP3	potassium voltage-gated channel subfamily E regulatory subunit 4	protein-coding
chr5-45	chr5	6505286	6505518	+	13.2	0.782	Intergenic	Intergenic	56666	NM_001145161	134111	Hs.126856	NM_001145161	ENSG00000215218	UBE2QL1	-	ubiquitin conjugating enzyme E2 Q family like 1	protein-coding
chr3-56	chr3	110344378	110344610	+	13.2	0.845	Intergenic	Intergenic	444312	NR_045114	100506555	Hs.535689	NR_045114		NECTIN3-AS1	PVRL3-AS1	NECTIN3 antisense RNA 1	ncRNA
chr21-64	chr21	36811305	36811537	+	13.2	0.742	intron (NR_073512, intron 2 of 2)	MIRb|SINE|MIR	141641	NR_073512	100506403	Hs.536609	NR_073512	ENSG00000159216	LOC100506403	-	uncharacterized LOC100506403	ncRNA
chr16-64	chr16	63406697	63406929	+	13.2	0.876	Intergenic	HSMAR2|DNA|TcMar-Mariner	-1336074	NM_001796	1006	Hs.368322	NM_001796	ENSG00000150394	CDH8	Nbla04261	cadherin 8	protein-coding
chrX-8	chrX	39623633	39623865	+	13.2	0.885	Intergenic	Intergenic	103279	NR_037501	100500822		NR_037501	ENSG00000263730	MIR3937	-	microRNA 3937	ncRNA
chr9-49	chr9	127486902	127487134	+	13.1	0.888	intron (NM_033334, intron 2 of 9)	intron (NM_033334, intron 2 of 9)	31029	NR_029782	406956		NR_029782	ENSG00000207737	MIR181B2	MIRN181B2|mir-181b-2	microRNA 181b-2	ncRNA
chr10-66	chr10	30131048	30131280	+	13.1	0.825	Intergenic	Intergenic	-105234	NM_001323599	6840	Hs.499209	NM_003174	ENSG00000197321	SVIL	-	supervillin	protein-coding
chr11-57	chr11	12787055	12787287	+	13.1	0.829	intron (NM_021961, intron 3 of 12)	intron (NM_021961, intron 3 of 12)	91202	NM_021961	7003	Hs.655331	NM_021961	ENSG00000187079	TEAD1	AA|NTEF-1|REF1|TCF-13|TCF13|TEAD-1|TEF-1	TEA domain transcription factor 1	protein-coding
chr5-48	chr5	151087176	151087408	+	13.1	0.865	Intergenic	Intergenic	-20677	NM_001309443	6678	Hs.111779	NM_003118	ENSG00000113140	SPARC	BM-40|OI17|ON	secreted protein acidic and cysteine rich	protein-coding
chr22-15	chr22	33508668	33508900	+	13.1	0.834	intron (NR_134617, intron 3 of 3)	intron (NR_134617, intron 3 of 3)	4269	NR_134617	105373006	Hs.637171	NR_134617	ENSG00000231253	LINC01640	-	long intergenic non-protein coding RNA 1640	ncRNA
chr15-24	chr15	64275273	64275505	+	13.1	0.852	intron (NM_014326, intron 3 of 11)	intron (NM_014326, intron 3 of 11)	54916	NR_120344	101928988	Hs.673214	NR_120344	ENSG00000259351	LOC101928988	-	uncharacterized LOC101928988	ncRNA
chr5-47	chr5	78389672	78389904	+	13.1	0.796	Intergenic	Intergenic	-17816	NM_001713	635	Hs.80756	NM_001713	ENSG00000145692	BHMT	BHMT1|HEL-S-61p	betaine--homocysteine S-methyltransferase	protein-coding
chr16-65	chr16	75156201	75156433	+	13.1	0.881	Intergenic	LTR10A|LTR|ERV1	-5647	NM_153486	197257	Hs.380929	NM_153486	ENSG00000166816	LDHD	DLD	lactate dehydrogenase D	protein-coding
chr8-63	chr8	23836793	23837025	+	13.1	0.870	Intergenic	AmnSINE1|SINE|Deu	-124589	NM_003155	6781	Hs.25590	NM_003155	ENSG00000159167	STC1	STC	stanniocalcin 1	protein-coding
chr7-46	chr7	100399806	100400038	+	13.1	0.800	TTS (NM_004444)	TTS (NM_004444)	25221	NM_004444	2050	Hs.437008	NM_004444	ENSG00000196411	EPHB4	HFASD|HTK|MYK1|TYRO11	EPH receptor B4	protein-coding
chr4-66	chr4	80237188	80237420	+	13.1	0.858	TTS (NM_032693)	TTS (NM_032693)	9867	NM_032693	84779	Hs.676048	NM_032693	ENSG00000156269	NAA11	ARD1B|ARD2|hARD2	N(alpha)-acetyltransferase 11, NatA catalytic subunit	protein-coding
chr2-80	chr2	85999587	85999819	+	13.1	0.734	intron (NM_032827, intron 2 of 2)	intron (NM_032827, intron 2 of 2)	11097	NR_106719	102466516		NR_106719	ENSG00000278783	MIR6071	hsa-mir-6071	microRNA 6071	ncRNA
chr3-57	chr3	60268627	60268859	+	13.1	0.884	intron (NM_001354590, intron 5 of 8)	intron (NM_001354590, intron 5 of 8)	-201890	NM_001320901	2272	Hs.655995	NM_002012	ENSG00000189283	FHIT	AP3Aase|FRA3B	fragile histidine triad	protein-coding
chr10-65	chr10	18433964	18434196	+	13.1	0.876	intron (NM_001167945, intron 1 of 13)	intron (NM_001167945, intron 1 of 13)	4338	NM_001167945	783	Hs.59093	NM_000724	ENSG00000165995	CACNB2	CACNLB2|CAVB2|MYSB	calcium voltage-gated channel auxiliary subunit beta 2	protein-coding
chr2-75	chr2	159855619	159855851	+	13.1	0.831	intron (NR_146421, intron 1 of 3)	intron (NR_146421, intron 1 of 3)	30589	NM_001350062	85461	Hs.61590	NM_033394	ENSG00000115183	TANC1	ROLSB|TANC	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	protein-coding
chr1-90	chr1	154329235	154329467	+	13.1	0.821	Intergenic	MER115|DNA|hAT-Tip100	29075	NM_020452	57198	Hs.435700	NM_020452	ENSG00000143515	ATP8B2	ATPID	ATPase phospholipid transporting 8B2	protein-coding
chr2-77	chr2	34403101	34403333	+	13.1	0.859	intron (NR_126403, intron 4 of 5)	intron (NR_126403, intron 4 of 5)	110924	NR_132381	106144585	Hs.580486	NR_132381	ENSG00000237790	LINC01318	-	long intergenic non-protein coding RNA 1318	ncRNA
chr17-50	chr17	15167889	15168121	+	13.1	0.872	intron (NM_000304, intron 1 of 4)	intron (NM_000304, intron 1 of 4)	669	NR_104017	5376	Hs.372031	NM_000304	ENSG00000109099	PMP22	CIDP|CMT1A|CMT1E|DSS|GAS-3|GAS3|HMSNIA|HNPP|Sp110	peripheral myelin protein 22	protein-coding
chr9-46	chr9	103789627	103789859	+	13.1	0.873	Intergenic	Intergenic	-1288	NM_207299	54886	Hs.382683	NM_017753	ENSG00000148123	PLPPR1	LPPR1|PRG-3	phospholipid phosphatase related 1	protein-coding
chr12-29	chr12	105586717	105586949	+	13.0	0.852	intron (NM_018171, intron 14 of 20)	7SK|RNA|RNA	40350	NM_001251905	55198	Hs.506603	NM_018171	ENSG00000136044	APPL2	DIP13B	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	protein-coding
chr6-63	chr6	125684670	125684902	+	13.0	0.793	Intergenic	CpG	-61504	NM_016063	51020	Hs.32826	NM_016063	ENSG00000111906	HDDC2	C6orf74|CGI-130|NS5ATP2|dJ167O5.2	HD domain containing 2	protein-coding
chr5-50	chr5	98980562	98980794	+	13.0	0.898	Intergenic	Intergenic	110984	NR_110562	102724855	Hs.519477	NR_110562		LINC02113	CTD-2151A2.1	long intergenic non-protein coding RNA 2113	ncRNA
chr1-89	chr1	97603655	97603887	+	13.0	0.838	intron (NM_000110, intron 20 of 22)	intron (NM_000110, intron 20 of 22)	42292	NR_046590	100873932	Hs.682651	NR_046590	ENSG00000232878	DPYD-AS1	-	DPYD antisense RNA 1	ncRNA
chr2-76	chr2	180921292	180921524	+	13.0	0.850	Intergenic	LTR14B|LTR|ERVK	-49628	NM_020943	57703	Hs.311363	NM_020943	ENSG00000163510	CWC22	EIF4GL|NCM|fSAPb	CWC22 spliceosome associated protein homolog	protein-coding
chr9-50	chr9	83879477	83879709	+	13.0	0.880	Intergenic	MLT1J1|LTR|ERVL-MaLR	424857	NM_005077	7088	Hs.197320	NM_005077	ENSG00000196781	TLE1	ESG|ESG1|GRG1	transducin like enhancer of split 1	protein-coding
chr15-26	chr15	78974030	78974262	+	13.0	0.815	Intergenic	Intergenic	-40559	NM_000750	1143	Hs.624178	NM_000750	ENSG00000117971	CHRNB4	-	cholinergic receptor nicotinic beta 4 subunit	protein-coding
chr22-16	chr22	36037497	36037729	+	13.0	0.843	Intergenic	LTR27B|LTR|ERV1	-6811	NM_030641	80830	Hs.257352	NM_030641	ENSG00000221963	APOL6	APOL-VI|APOLVI	apolipoprotein L6	protein-coding
chr1-91	chr1	45984547	45984779	+	13.0	0.885	exon (NM_181697, exon 2 of 6)	exon (NM_181697, exon 2 of 6)	2947	NM_181697	5052	Hs.180909	NM_002574	ENSG00000117450	PRDX1	MSP23|NKEF-A|NKEFA|PAG|PAGA|PAGB|PRX1|PRXI|TDPX2	peroxiredoxin 1	protein-coding
chr11-60	chr11	110002539	110002771	+	13.0	0.904	intron (NM_033390, intron 1 of 5)	intron (NM_033390, intron 1 of 5)	38568	NM_033390	85463	Hs.376289	NM_033390	ENSG00000149289	ZC3H12C	MCPIP3	zinc finger CCCH-type containing 12C	protein-coding
chr14-28	chr14	75101725	75101957	+	13.0	0.750	Intergenic	Intergenic	-22807	NM_000428	4053	Hs.512776	NM_000428	ENSG00000119681	LTBP2	C14orf141|GLC3D|LTBP3|MSPKA|MSTP031|WMS3	latent transforming growth factor beta binding protein 2	protein-coding
chr17-48	chr17	57443964	57444196	+	13.0	0.691	TTS (NR_039882)	TTS (NR_039882)	636	NR_039882	100616204		NR_039882	ENSG00000263857	MIR4729	-	microRNA 4729	ncRNA
chr12-27	chr12	76353924	76354156	+	13.0	0.831	Intergenic	Intergenic	71516	NM_007350	22822	Hs.602085	NM_007350	ENSG00000139289	PHLDA1	DT1P1B11|PHRIP|TDAG51	pleckstrin homology like domain family A member 1	protein-coding
chr4-65	chr4	65912348	65912580	+	13.0	0.806	Intergenic	Intergenic	-42246	NR_033976	401134	Hs.165899	NR_033976	ENSG00000250125	LINC02232	-	long intergenic non-protein coding RNA 2232	ncRNA
chr6-62	chr6	137923811	137924043	+	13.0	0.820	Intergenic	Intergenic	-62856	NR_125867	102723649	Hs.129235	NR_125867		LOC102723649	-	uncharacterized LOC102723649	ncRNA
chr2-79	chr2	41789410	41789642	+	13.0	0.884	Intergenic	Intergenic	-315169	NR_033996	388942	Hs.631883	NR_033996	ENSG00000214691	LINC01913	-	long intergenic non-protein coding RNA 1913	ncRNA
chr12-30	chr12	25128498	25128730	+	12.9	0.912	Intergenic	LTR35|LTR|ERV1	21759	NM_001101339	196415	Hs.434453	NM_001101339		C12orf77	-	chromosome 12 open reading frame 77	protein-coding
chr11-58	chr11	22530405	22530637	+	12.9	0.880	Intergenic	Intergenic	-16956	NR_120583	102723378	Hs.374255	NR_120583	ENSG00000255323	LINC01495	-	long intergenic non-protein coding RNA 1495	ncRNA
chr10-68	chr10	121103952	121104184	+	12.9	0.866	intron (NM_005308, intron 2 of 15)	intron (NM_005308, intron 2 of 15)	-33416	NR_039829	100616398		NR_039829	ENSG00000265719	MIR4681	-	microRNA 4681	ncRNA
chr1-93	chr1	162582469	162582701	+	12.9	0.918	Intergenic	Intergenic	-18470	NM_001354983	4921	Hs.275757	NM_006182	ENSG00000162733	DDR2	MIG20a|NTRKR3|TKT|TYRO10	discoidin domain receptor tyrosine kinase 2	protein-coding
chr4-70	chr4	89994139	89994371	+	12.9	0.839	Intergenic	Intergenic	-15909	NM_014883	10144	Hs.97270	NM_014883	ENSG00000138640	FAM13A	ARHGAP48|FAM13A1	family with sequence similarity 13 member A	protein-coding
chr11-59	chr11	44984706	44984938	+	12.9	0.880	Intergenic	Intergenic	-10631	NR_026681	221122	Hs.551656	NR_026681	ENSG00000254654	LOC221122	-	uncharacterized LOC221122	ncRNA
chr8-64	chr8	102643834	102644066	+	12.9	0.856	exon (NM_024915, exon 10 of 16)	exon (NM_024915, exon 10 of 16)	139282	NM_024915	79977	Hs.661088	NM_024915	ENSG00000083307	GRHL2	BOM|DFNA28|ECTDS|TFCP2L3	grainyhead like transcription factor 2	protein-coding
chr3-59	chr3	106000228	106000460	+	12.9	0.873	Intergenic	Intergenic	-412078	NM_001321790	868	Hs.430589	NM_170662	ENSG00000114423	CBLB	Cbl-b|Nbla00127|RNF56	Cbl proto-oncogene B	protein-coding
chr2-82	chr2	45483377	45483609	+	12.9	0.854	Intergenic	Intergenic	-1413	NR_033831	400952	Hs.468368	NR_033831	ENSG00000205054	LINC01121	UNQ6975	long intergenic non-protein coding RNA 1121	ncRNA
chr3-58	chr3	64521963	64522195	+	12.9	0.827	intron (NM_001318781, intron 36 of 38)	intron (NM_001318781, intron 36 of 38)	-24943	NR_110150	101929335	Hs.476604	NR_110150	ENSG00000241158	ADAMTS9-AS1	-	ADAMTS9 antisense RNA 1	ncRNA
chr1-88	chr1	241555377	241555609	+	12.9	0.892	Intergenic	Intergenic	-34963	NM_001350115	6000	Hs.655739	NM_002924	ENSG00000182901	RGS7	-	regulator of G protein signaling 7	protein-coding
chr3-60	chr3	192414087	192414319	+	12.9	0.836	intron (NM_004113, intron 2 of 5)	intron (NM_004113, intron 2 of 5)	31185	NM_004113	2257	Hs.390250	NM_004113	ENSG00000114279	FGF12	EIEE47|FGF12B|FHF1	fibroblast growth factor 12	protein-coding
chr5-53	chr5	140940309	140940541	+	12.9	0.864	intron (NR_038333, intron 1 of 2)	intron (NR_038333, intron 1 of 2)	2547	NR_038333	100505658	Hs.655458	NR_038333	ENSG00000246422	LOC100505658	-	uncharacterized LOC100505658	ncRNA
chr2-83	chr2	127822539	127822771	+	12.9	0.841	intron (NM_001320634, intron 6 of 12)	intron (NM_001320634, intron 6 of 12)	16986	NM_001320634	274	Hs.193163	NM_004305	ENSG00000136717	BIN1	AMPH2|AMPHL|CNM2|SH3P9	bridging integrator 1	protein-coding
chr5-52	chr5	38424044	38424276	+	12.9	0.703	intron (NM_182798, intron 7 of 16)	intron (NM_182798, intron 7 of 16)	20526	NM_182798	133584	Hs.20103	NM_152403	ENSG00000164318	EGFLAM	AGRINL|AGRNL|PIKA	EGF like, fibronectin type III and laminin G domains	protein-coding
chr10-69	chr10	75519359	75519591	+	12.9	0.888	exon (NM_004922, exon 5 of 24)	exon (NM_004922, exon 5 of 24)	-12574	NM_173540	170384	Hs.588854	NM_173540	ENSG00000196968	FUT11	-	fucosyltransferase 11	protein-coding
chr12-25	chr12	122461813	122462045	+	12.9	0.823	intron (NM_001024808, intron 1 of 5)	intron (NM_001024808, intron 1 of 5)	2137	NM_020993	605	Hs.530970	NM_020993	ENSG00000110987	BCL7A	BCL7	BCL tumor suppressor 7A	protein-coding
chr4-67	chr4	95593572	95593804	+	12.8	0.846	Intergenic	Intergenic	84996	NR_121610	100507012	Hs.128612	NR_121610		BMPR1B-DT	BMPR1B-AS1	BMPR1B divergent transcript	ncRNA
chr8-65	chr8	39073415	39073647	+	12.8	0.767	intron (NM_145004, intron 12 of 24)	L1MA3|LINE|L1	-98651	NR_001448	255926	Hs.369765	NM_001040073	ENSG00000196115	ADAM5	ADAM5P|TMDCII	ADAM metallopeptidase domain 5 (pseudogene)	pseudo
chr6-65	chr6	155442922	155443154	+	12.8	0.913	intron (NM_012454, intron 1 of 25)	intron (NM_012454, intron 1 of 25)	31615	NM_012454	26230	Hs.586279	NM_012454	ENSG00000146426	TIAM2	STEF|TIAM-2	T cell lymphoma invasion and metastasis 2	protein-coding
chr2-85	chr2	195481734	195481966	+	12.8	0.892	Intergenic	L1MB8|LINE|L1	-113469	NR_110223	101927431	Hs.558215	NR_110223	ENSG00000230173	LINC01790	-	long intergenic non-protein coding RNA 1790	ncRNA
chr15-25	chr15	67359862	67360094	+	12.8	0.769	intron (NM_005902, intron 1 of 8)	intron (NM_005902, intron 1 of 8)	1783	NM_005902	4088	Hs.727986	NM_005902	ENSG00000166949	SMAD3	HSPC193|HsT17436|JV15-2|LDS1C|LDS3|MADH3	SMAD family member 3	protein-coding
chr14-30	chr14	32479762	32479994	+	12.8	0.852	Intergenic	Intergenic	65819	NR_146544	105370439		NR_146544	ENSG00000258474	LINC02313	-	long intergenic non-protein coding RNA 2313	ncRNA
chr4-74	chr4	178376941	178377173	+	12.8	0.833	Intergenic	Intergenic	-13400	NR_033655	175	Hs.207776	NM_000027	ENSG00000038002	AGA	AGU|ASRG|GA	aspartylglucosaminidase	protein-coding
chr15-28	chr15	68006734	68006966	+	12.8	0.866	intron (NM_002757, intron 16 of 20)	intron (NM_002757, intron 16 of 20)	-105192	NM_001258024	390598	Hs.451224	NM_001031807	ENSG00000188779	SKOR1	CORL1|FUSSEL15|LBXCOR1	SKI family transcriptional corepressor 1	protein-coding
chr6-64	chr6	10583124	10583356	+	12.8	0.732	intron (NM_001491, intron 1 of 2)	MIR|SINE|MIR	-2753	NM_145655	2651	Hs.519884	NM_001491	ENSG00000111846	GCNT2	CCAT|CTRCT13|GCNT2C|GCNT5|IGNT|II|NACGT1|NAGCT1|ULG3|bA360O19.2|bA421M1.1	glucosaminyl (N-acetyl) transferase 2 (I blood group)	protein-coding
chr3-62	chr3	71296381	71296613	+	12.8	0.856	intron (NM_001012505, intron 5 of 6)	intron (NM_001012505, intron 5 of 6)	-2181	NM_001244814	27086	Hs.59368	NM_032682	ENSG00000114861	FOXP1	12CC4|HSPC215|MFH|QRF1|hFKH1B	forkhead box P1	protein-coding
chr13-16	chr13	78307865	78308097	+	12.8	0.786	intron (NM_001040153, intron 2 of 6)	intron (NM_001040153, intron 2 of 6)	-7314	NM_001242870	122060	Hs.349955	NM_144595	ENSG00000139737	SLAIN1	C13orf32	SLAIN motif family member 1	protein-coding
chr1-95	chr1	212659391	212659623	+	12.8	0.701	Intergenic	Intergenic	53278	NR_026598	29937	Hs.461787	NM_013349	ENSG00000117691	NENF	CIR2|SCIRP10|SPUF	neudesin neurotrophic factor	protein-coding
chr4-72	chr4	48789263	48789495	+	12.8	0.787	Intergenic	MER58B|DNA|hAT-Charlie	-7063	NM_015030	285527	Hs.595553	NM_015030	ENSG00000075539	FRYL	AF4p12|KIAA0826|MOR2	FRY like transcription coactivator	protein-coding
chr12-32	chr12	115382566	115382798	+	12.8	0.798	Intergenic	Intergenic	-260713	NM_005996	6926	Hs.744016	NM_005996	ENSG00000135111	TBX3	TBX3-ISO|UMS|XHL	T-box 3	protein-coding
chr11-61	chr11	117173843	117174075	+	12.8	0.849	intron (NM_138971, intron 1 of 8)	intron (NM_138971, intron 1 of 8)	-7573	NM_001207048	23621	Hs.504003	NM_012104	ENSG00000186318	BACE1	ASP2|BACE|HSPC104	beta-secretase 1	protein-coding
chr10-67	chr10	80095422	80095654	+	12.8	0.880	Intergenic	Intergenic	68453	NR_073447	414243	Hs.55047	NR_073447	ENSG00000230417	LINC00595	C10orf101	long intergenic non-protein coding RNA 595	ncRNA
chr15-27	chr15	62042702	62042934	+	12.8	0.794	Intergenic	Intergenic	20701	NR_146448	100506530	Hs.42265	NR_146448	ENSG00000259284	LINC02349	-	long intergenic non-protein coding RNA 2349	ncRNA
chr17-51	chr17	79138920	79139152	+	12.8	0.862	promoter-TSS (NM_001354639)	promoter-TSS (NM_001354639)	-271	NM_001354639	388428	Hs.591202	NM_207389	ENSG00000225180	PVALEF	AATK-AS1	parvalbumin like EF-hand containing	protein-coding
chr12-28	chr12	47205099	47205331	+	12.8	0.850	intron (NM_018018, intron 1 of 16)	L2b|LINE|L2	14565	NM_001143824	55089	Hs.446077	NM_018018	ENSG00000139209	SLC38A4	ATA3|NAT3|PAAT|SNAT4	solute carrier family 38 member 4	protein-coding
chr5-49	chr5	123996914	123997146	+	12.8	0.825	intron (NM_020747, intron 2 of 8)	intron (NM_020747, intron 2 of 8)	83775	NM_020747	57507	Hs.266616	NM_020747	ENSG00000168916	ZNF608	NY-REN-36	zinc finger protein 608	protein-coding
chr5-54	chr5	121736781	121737013	+	12.8	0.891	intron (NM_001308100, intron 4 of 13)	intron (NM_001308100, intron 4 of 13)	10113	NM_001308108	9627	Hs.426463	NM_005460	ENSG00000064692	SNCAIP	SYPH1|Sph1	synuclein alpha interacting protein	protein-coding
chr14-27	chr14	33587950	33588182	+	12.8	0.790	intron (NM_001164749, intron 2 of 11)	intron (NM_001164749, intron 2 of 11)	179607	NM_173159	64067	Hs.657892	NM_022123	ENSG00000151322	NPAS3	MOP6|PASD6|bHLHe12	neuronal PAS domain protein 3	protein-coding
chr7_gl000195_random-1	chr7_gl000195_random	68229	68461	+	12.8	0.795	intron (NM_001322047, intron 1 of 2)	AluJb|SINE|Alu	-2305	NM_001322975	102723360	Hs.743984	NM_001322975		LOC102723360	-	uncharacterized LOC102723360	protein-coding
chr12-31	chr12	58896080	58896312	+	12.8	0.852	Intergenic	Intergenic	-89288	NR_126341	100506869	Hs.290456	NR_126341	ENSG00000258231	LOC100506869	-	uncharacterized LOC100506869	ncRNA
chr17-52	chr17	26151827	26152059	+	12.8	0.922	Intergenic	Intergenic	-24388	NM_000625	4843	Hs.709191	NM_000625	ENSG00000007171	NOS2	HEP-NOS|INOS|NOS|NOS2A	nitric oxide synthase 2	protein-coding
chr7-48	chr7	50689961	50690193	+	12.8	0.815	intron (NM_001001549, intron 5 of 14)	intron (NM_001001549, intron 5 of 14)	-56923	NM_001082971	1644	Hs.359698	NM_000790	ENSG00000132437	DDC	AADC	dopa decarboxylase	protein-coding
chr9-52	chr9	18760032	18760264	+	12.8	0.921	intron (NM_001040272, intron 16 of 28)	intron (NM_001040272, intron 16 of 28)	186844	NR_036107	100422869		NR_036107	ENSG00000264638	MIR3152	-	microRNA 3152	ncRNA
chr2-86	chr2	210479849	210480081	+	12.8	0.904	intron (NM_031845, intron 2 of 11)	intron (NM_031845, intron 2 of 11)	35562	NM_031845	4133	Hs.368281	NM_002374	ENSG00000078018	MAP2	MAP2A|MAP2B|MAP2C	microtubule associated protein 2	protein-coding
chr1-96	chr1	194308683	194308915	+	12.8	0.800	Intergenic	Intergenic	1034924	NR_125789	101929184	Hs.146728	NR_125789	ENSG00000232077	LINC01031	TCONS_00000361	long intergenic non-protein coding RNA 1031	ncRNA
chr2-84	chr2	204946792	204947024	+	12.8	0.785	Intergenic	Intergenic	145437	NM_012092	29851	Hs.56247	NM_012092	ENSG00000163600	ICOS	AILIM|CD278|CVID1	inducible T cell costimulator	protein-coding
chr9-51	chr9	12054180	12054412	+	12.8	0.866	Intergenic	LTR10B|LTR|ERV1	-639090	NM_000550	7306	Hs.270279	NM_000550	ENSG00000107165	TYRP1	CAS2|CATB|GP75|OCA3|TRP|TRP1|TYRP|b-PROTEIN	tyrosinase related protein 1	protein-coding
