PeakID (cmd=annotatePeaks.pl GSE106949_XM001-PP_PDX1_CTTGTA_GEM_events_Filtered_Merged.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
9:80428974	chr9	80428875	80429075	+	305	NA	intron (NM_002072, intron 3 of 6)	intron (NM_002072, intron 3 of 6)	-165737	NM_004297	9630	Hs.657795	NM_004297	ENSG00000156049	GNA14	-	G protein subunit alpha 14	protein-coding
19:46171223	chr19	46171124	46171324	+	305	NA	promoter-TSS (NM_000164)	promoter-TSS (NM_000164)	-255	NM_000164	2696	Hs.251412	NM_000164	ENSG00000010310	GIPR	PGQTL2	gastric inhibitory polypeptide receptor	protein-coding
20:53971486	chr20	53971387	53971587	+	305	NA	Intergenic	Intergenic	-68094	NR_110629	102723578	Hs.446269	NR_110629	ENSG00000235166	LINC01440	-	long intergenic non-protein coding RNA 1440	ncRNA
19:46031677	chr19	46031578	46031778	+	305	NA	3' UTR (NM_001017989, exon 2 of 2)	3' UTR (NM_001017989, exon 2 of 2)	20941	NM_003370	7408	Hs.515469	NM_003370	ENSG00000125753	VASP	-	vasodilator stimulated phosphoprotein	protein-coding
11:74304283	chr11	74304184	74304384	+	305	NA	intron (NR_046410, intron 1 of 11)	MIRb|SINE|MIR	657	NR_046410	10714	Hs.82502	NM_006591	ENSG00000077514	POLD3	P66|P68|PPP1R128	DNA polymerase delta 3, accessory subunit	protein-coding
22:19467319	chr22	19467220	19467420	+	305	NA	promoter-TSS (NM_001178011)	promoter-TSS (NM_001178011)	-29	NM_001178010	8318	Hs.474217	NM_003504	ENSG00000093009	CDC45	CDC45L|CDC45L2|MGORS7|PORC-PI-1	cell division cycle 45	protein-coding
10:112136410	chr10	112136311	112136511	+	305	NA	Intergenic	Intergenic	-71733	NM_005871	10285	Hs.632093	NM_005871	ENSG00000119953	SMNDC1	SMNR|SPF30|TDRD16C	survival motor neuron domain containing 1	protein-coding
7:33846667	chr7	33846568	33846768	+	305	NA	Intergenic	Intergenic	-97859	NM_133468	168667	Hs.660998	NM_133468	ENSG00000164619	BMPER	CRIM3|CV-2|CV2	BMP binding endothelial regulator	protein-coding
5:140018865	chr5	140018766	140018966	+	305	NA	promoter-TSS (NM_018502)	promoter-TSS (NM_018502)	-146	NM_018502	55374	Hs.534333	NM_018502	ENSG00000113119	TMCO6	PRO1580	transmembrane and coiled-coil domains 6	protein-coding
1:23098593	chr1	23098494	23098694	+	305	NA	intron (NM_004442, intron 1 of 15)	intron (NM_004442, intron 1 of 15)	52584	NR_039832	100616391		NR_039832	ENSG00000265422	MIR4684	-	microRNA 4684	ncRNA
6:4729351	chr6	4729252	4729452	+	305	NA	intron (NM_001368125, intron 2 of 8)	intron (NM_001368125, intron 2 of 8)	22980	NM_001368125	9425	Hs.269092	NM_004824	ENSG00000153046	CDYL	CDYL1	chromodomain Y like	protein-coding
19:8115692	chr19	8115593	8115793	+	305	NA	Intergenic	Intergenic	-1953	NM_005624	6370	Hs.310511	NM_005624	ENSG00000131142	CCL25	Ckb15|SCYA25|TECK	C-C motif chemokine ligand 25	protein-coding
6:146475562	chr6	146475463	146475663	+	305	NA	intron (NM_001278067, intron 1 of 7)	intron (NM_001278067, intron 1 of 7)	125229	NM_001278066	2911	Hs.32945	NM_000838	ENSG00000152822	GRM1	GPRC1A|MGLU1|MGLUR1|PPP1R85|SCA44|SCAR13	glutamate metabotropic receptor 1	protein-coding
7:120497537	chr7	120497438	120497638	+	305	NA	intron (NM_012338, intron 1 of 7)	CpG	660	NM_012338	23554	Hs.16529	NM_012338	ENSG00000106025	TSPAN12	EVR5|NET-2|NET2|TM4SF12	tetraspanin 12	protein-coding
7:107593391	chr7	107593292	107593492	+	304	NA	intron (NM_002291, intron 22 of 33)	intron (NM_002291, intron 22 of 33)	50214	NM_002291	3912	Hs.650585	NM_002291	ENSG00000091136	LAMB1	CLM|LIS5	laminin subunit beta 1	protein-coding
5:92137906	chr5	92137807	92138007	+	304	NA	Intergenic	Intergenic	769142	NR_109825	441094	Hs.457407	NR_015369	ENSG00000237187	NR2F1-AS1	-	NR2F1 antisense RNA 1	ncRNA
14:76771683,14:76771901	chr14	76771584	76772002	+	304	NA	Intergenic	Intergenic	-65897	NM_004452	2103	Hs.435845	NM_004452	ENSG00000119715	ESRRB	DFNB35|ERR2|ERRb|ESRL2|NR3B2	estrogen related receptor beta	protein-coding
1:37484349	chr1	37484250	37484450	+	303	NA	intron (NM_000831, intron 1 of 15)	intron (NM_000831, intron 1 of 15)	15766	NM_000831	2899	Hs.128848	NM_000831	ENSG00000163873	GRIK3	EAA5|GLR7|GLUR7|GluK3|GluR7a	glutamate ionotropic receptor kainate type subunit 3	protein-coding
10:70715563	chr10	70715464	70715664	+	302	NA	promoter-TSS (NM_001256910)	promoter-TSS (NM_001256910)	-362	NM_004728	9188	Hs.223141	NM_004728	ENSG00000165732	DDX21	GUA|GURDB|RH-II/GU|RH-II/GuA	DExD-box helicase 21	protein-coding
18:39071056	chr18	39070957	39071157	+	302	NA	intron (NR_002838, intron 3 of 5)	L2a|LINE|L2	29584	NR_002838	641516	Hs.116612	NR_002838	ENSG00000267313	KC6	-	keratoconus gene 6	ncRNA
5:59332283	chr5	59332184	59332384	+	302	NA	intron (NM_001349243, intron 2 of 16)	intron (NM_001349243, intron 2 of 16)	-142731	NM_001104631	5144	Hs.117545	NM_006203	ENSG00000113448	PDE4D	ACRDYS2|DPDE3|HSPDE4D|PDE43|PDE4DN2|STRK1	phosphodiesterase 4D	protein-coding
7:34792704	chr7	34792605	34792805	+	302	NA	intron (NR_015356, intron 2 of 4)	L2c|LINE|L2	5179	NR_033664	404744	Hs.487951	NM_207283	ENSG00000197085	NPSR1-AS1	AAA1	NPSR1 antisense RNA 1	ncRNA
X:67718821	chrX	67718722	67718922	+	302	NA	promoter-TSS (NM_173834)	promoter-TSS (NM_173834)	-71	NM_173834	286451	Hs.82719	NM_173834	ENSG00000181704	YIPF6	FinGER6	Yip1 domain family member 6	protein-coding
9:103735201	chr9	103735102	103735302	+	302	NA	Intergenic	Intergenic	-55807	NM_207299	54886	Hs.382683	NM_017753	ENSG00000148123	PLPPR1	LPPR1|PRG-3	phospholipid phosphatase related 1	protein-coding
2:218123089	chr2	218122990	218123190	+	302	NA	Intergenic	Intergenic	-24366	NR_133642	105373877		NR_133642		DIRC3-AS1	-	DIRC3 antisense RNA 1	ncRNA
9:18733111	chr9	18733012	18733212	+	302	NA	intron (NM_001040272, intron 15 of 28)	intron (NM_001040272, intron 15 of 28)	159808	NR_036107	100422869		NR_036107	ENSG00000264638	MIR3152	-	microRNA 3152	ncRNA
1:232818140	chr1	232818041	232818241	+	302	NA	Intergenic	Intergenic	-35676	NR_146922	105373199	Hs.254475	NR_146922	ENSG00000225919	LINC01745	-	long intergenic non-protein coding RNA 1745	ncRNA
6:106344820	chr6	106344721	106344921	+	302	NA	Intergenic	L2b|LINE|L2	-189390	NM_001198	639	Hs.436023	NM_001198	ENSG00000057657	PRDM1	BLIMP1|PRDI-BF1	PR/SET domain 1	protein-coding
4:40578990	chr4	40578891	40579091	+	302	NA	intron (NM_001371114, intron 1 of 5)	MIR|SINE|MIR	52890	NM_001098634	54502	Hs.518727	NM_019027	ENSG00000163694	RBM47	NET18	RNA binding motif protein 47	protein-coding
9:3760223	chr9	3760124	3760324	+	302	NA	Intergenic	Intergenic	92138	NR_121586	101929302	Hs.122828	NR_121586	ENSG00000232104	RFX3-AS1	CVAT7	RFX3 antisense RNA 1	ncRNA
5:128713495	chr5	128713396	128713596	+	302	NA	Intergenic	Intergenic	19344	NR_039665	100616325		NR_039665	ENSG00000265691	MIR4460	-	microRNA 4460	ncRNA
17:71357637	chr17	71357538	71357738	+	302	NA	intron (NM_001144952, intron 39 of 44)	intron (NM_001144952, intron 39 of 44)	-49498	NM_012121	23580	Hs.3903	NM_012121	ENSG00000179604	CDC42EP4	BORG4|CEP4|KAIA1777	CDC42 effector protein 4	protein-coding
2:213224285	chr2	213224186	213224386	+	302	NA	intron (NM_001042599, intron 1 of 26)	intron (NM_001042599, intron 1 of 26)	66798	NR_031643	100313771		NR_031643	ENSG00000221782	MIR548F2	MIR548F-2|MIRN548F2|hsa-mir-548f-2	microRNA 548f-2	ncRNA
10:72445544	chr10	72445445	72445645	+	302	NA	intron (NM_139155, intron 2 of 21)	intron (NM_139155, intron 2 of 21)	13283	NM_139155	140766	Hs.352156	NM_080722	ENSG00000138316	ADAMTS14	-	ADAM metallopeptidase with thrombospondin type 1 motif 14	protein-coding
13:72067527	chr13	72067428	72067628	+	302	NA	intron (NM_004392, intron 3 of 7)	MLT1F2|LTR|ERVL-MaLR	373802	NM_080760	1602	Hs.129452	NM_004392	ENSG00000276644	DACH1	DACH	dachshund family transcription factor 1	protein-coding
9:127153215	chr9	127153116	127153316	+	302	NA	intron (NM_002799, intron 5 of 7)	intron (NM_002799, intron 5 of 7)	24505	NM_002799	5695	Hs.213470	NM_002799	ENSG00000136930	PSMB7	Z	proteasome subunit beta 7	protein-coding
7:8042900	chr7	8042801	8043001	+	302	NA	intron (NM_138426, intron 1 of 7)	L2c|LINE|L2	34474	NM_138426	113263	Hs.131673	NM_138426	ENSG00000106415	GLCCI1	FAM117C|GCTR|GIG18|TSSN1	glucocorticoid induced 1	protein-coding
15:96965599	chr15	96965500	96965700	+	302	NA	Intergenic	Intergenic	88606	NM_001145157	7026	Hs.347991	NM_021005	ENSG00000185551	NR2F2	ARP-1|ARP1|CHTD4|COUPTF2|COUPTFB|COUPTFII|NF-E3|SVP40|TFCOUP2	nuclear receptor subfamily 2 group F member 2	protein-coding
2:208696699	chr2	208696600	208696800	+	302	NA	intron (NM_001080475, intron 7 of 7)	intron (NM_001080475, intron 7 of 7)	-62070	NM_003468	7855	Hs.17631	NM_003468	ENSG00000163251	FZD5	C2orf31|HFZ5	frizzled class receptor 5	protein-coding
18:35424441	chr18	35424342	35424542	+	302	NA	Intergenic	Intergenic	187344	NR_036202	100422857		NR_036202	ENSG00000266530	MIR4318	-	microRNA 4318	ncRNA
2:26719098	chr2	26718999	26719199	+	302	NA	intron (NM_194248, intron 8 of 46)	intron (NM_194248, intron 8 of 46)	-18107	NM_194323	9381	Hs.91608	NM_004802	ENSG00000115155	OTOF	AUNB1|DFNB6|DFNB9|FER1L2|NSRD9	otoferlin	protein-coding
5:124347846	chr5	124347747	124347947	+	302	NA	Intergenic	Intergenic	-24677	NR_109882	101927421	Hs.121305	NR_109882		LOC101927421	-	uncharacterized LOC101927421	ncRNA
1:207110344	chr1	207110245	207110445	+	302	NA	intron (NM_002644, intron 4 of 10)	intron (NM_002644, intron 4 of 10)	9466	NM_002644	5284	Hs.497589	NM_002644	ENSG00000162896	PIGR	-	polymeric immunoglobulin receptor	protein-coding
1:41704282	chr1	41704183	41704383	+	301	NA	intron (NM_001172220, intron 1 of 13)	L2c|LINE|L2	3695	NM_001350667	22955	Hs.571874	NM_012236	ENSG00000010803	SCMH1	Scml3	Scm polycomb group protein homolog 1	protein-coding
3:111856179	chr3	111856080	111856280	+	301	NA	Intergenic	Intergenic	3910	NR_157393	112806053		NR_157393		TBILA	-	TGF-beta induced lncRNA	ncRNA
2:180408509	chr2	180408410	180408610	+	300	NA	intron (NR_104234, intron 4 of 12)	intron (NR_104234, intron 4 of 12)	18805	NM_001113398	151126	Hs.655005	NM_152520	ENSG00000144331	ZNF385B	ZNF533	zinc finger protein 385B	protein-coding
2:218475046	chr2	218474947	218475147	+	300	NA	intron (NR_026597, intron 1 of 12)	intron (NR_026597, intron 1 of 12)	146269	NR_026597	729582	Hs.572788	NR_026597		DIRC3	-	disrupted in renal carcinoma 3	ncRNA
3:45160499	chr3	45160400	45160600	+	300	NA	intron (NM_178181, intron 1 of 3)	intron (NM_178181, intron 1 of 3)	27370	NM_022842	64866	Hs.476093	NM_022842	ENSG00000163814	CDCP1	CD318|SIMA135|TRASK	CUB domain containing protein 1	protein-coding
7:135903975,7:135904132	chr7	135903876	135904233	+	299	NA	Intergenic	Intergenic	-241947	NM_145808	136319	Hs.602015	NM_145808	ENSG00000105887	MTPN	GCDP|V-1	myotrophin	protein-coding
16:85335859	chr16	85335760	85335960	+	299	NA	Intergenic	Intergenic	4071	NR_049816	100847022		NR_049816	ENSG00000266307	MIR5093	-	microRNA 5093	ncRNA
1:3524011	chr1	3523912	3524112	+	298	NA	intron (NM_001409, intron 1 of 36)	intron (NM_001409, intron 1 of 36)	4060	NM_001409	1953	Hs.593645	NM_001409	ENSG00000162591	MEGF6	EGFL3	multiple EGF like domains 6	protein-coding
19:15528658	chr19	15528559	15528759	+	298	NA	intron (NM_014371, intron 1 of 13)	intron (NM_014371, intron 1 of 13)	1140	NM_014371	26993	Hs.399800	NM_014371	ENSG00000011243	AKAP8L	HA95|HAP95|NAKAP|NAKAP95	A-kinase anchoring protein 8 like	protein-coding
8:6710147	chr8	6710048	6710248	+	298	NA	Intergenic	Intergenic	17072	NR_045217	100652791	Hs.369771	NR_045217	ENSG00000245857	GS1-24F4.2	-	uncharacterized LOC100652791	ncRNA
2:178128657	chr2	178128558	178128758	+	298	NA	5' UTR (NM_001145412, exon 1 of 5)	5' UTR (NM_001145412, exon 1 of 5)	201	NM_001145412	4780	Hs.744006	NM_006164	ENSG00000116044	NFE2L2	HEBP1|IMDDHH|NRF2	nuclear factor, erythroid 2 like 2	protein-coding
22:38479533	chr22	38479434	38479634	+	298	NA	promoter-TSS (NM_013356)	promoter-TSS (NM_013356)	-364	NM_013356	23539	Hs.745256	NM_013356	ENSG00000100156	SLC16A8	MCT3|REMP	solute carrier family 16 member 8	protein-coding
5:35816322	chr5	35816223	35816423	+	298	NA	Intergenic	L2a|LINE|L2	-40670	NR_120485	3575	Hs.591742	NM_002185	ENSG00000168685	IL7R	CD127|CDW127|IL-7R-alpha|IL7RA|ILRA	interleukin 7 receptor	protein-coding
12:54529584	chr12	54529485	54529685	+	298	NA	Intergenic	Intergenic	9730	NR_026656	400043	Hs.19193	NR_026656	ENSG00000250742	LINC02381	-	long intergenic non-protein coding RNA 2381	ncRNA
14:101141653	chr14	101141554	101141754	+	298	NA	Intergenic	Intergenic	18049	NR_024096	283601	Hs.379802	NM_001007560	ENSG00000196273	LINC00523	C14orf70	long intergenic non-protein coding RNA 523	ncRNA
6:75813309	chr6	75813210	75813410	+	298	NA	intron (NM_080645, intron 40 of 50)	intron (NM_080645, intron 40 of 50)	25188	NR_145788	109623475		NR_145788		SNORD156	-	small nucleolar RNA, C/D box 156	snoRNA
16:81817887	chr16	81817788	81817988	+	298	NA	intron (NM_002661, intron 1 of 32)	intron (NM_002661, intron 1 of 32)	4992	NM_002661	5336	Hs.372303	NM_002661	ENSG00000197943	PLCG2	APLAID|FCAS3|PLC-IV|PLC-gamma-2	phospholipase C gamma 2	protein-coding
7:90585224	chr7	90585125	90585325	+	298	NA	intron (NM_001287136, intron 8 of 13)	intron (NM_001287136, intron 8 of 13)	246095	NM_001287136	5218	Hs.258576	NM_012395	ENSG00000058091	CDK14	PFTAIRE1|PFTK1	cyclin dependent kinase 14	protein-coding
12:90749661	chr12	90749562	90749762	+	298	NA	Intergenic	Intergenic	62567	NR_135018	105369893	Hs.577777	NR_135018		LINC02392	-	long intergenic non-protein coding RNA 2392	ncRNA
15:30163100	chr15	30163001	30163201	+	298	NA	intron (NM_001301025, intron 2 of 28)	intron (NM_001301025, intron 2 of 28)	-48430	NM_001355014	7082	Hs.743990	NM_003257	ENSG00000104067	TJP1	ZO-1	tight junction protein 1	protein-coding
X:113493398	chrX	113493299	113493499	+	298	NA	Intergenic	LTR16E1|LTR|ERVL	-311893	NR_131204	105463123	Hs.550218	NR_131204		XACT	-	X active specific transcript	ncRNA
12:49911075	chr12	49910976	49911176	+	298	NA	intron (NM_023071, intron 10 of 13)	MER117|DNA|hAT-Charlie	-21737	NM_001314030	23416	Hs.64064	NM_012284	ENSG00000135519	KCNH3	BEC1|ELK2|Kv12.2	potassium voltage-gated channel subfamily H member 3	protein-coding
6:14921587	chr6	14921488	14921688	+	298	NA	Intergenic	AmnSINE1|SINE|Deu	-324712	NM_004973	3720	Hs.269059	NM_004973	ENSG00000008083	JARID2	JMJ	jumonji and AT-rich interaction domain containing 2	protein-coding
9:95922528	chr9	95922429	95922629	+	298	NA	Intergenic	Intergenic	-24683	NM_001282394	65268	Hs.654856	NM_006648	ENSG00000165238	WNK2	NY-CO-43|P/OKcl.13|PRKWNK2|SDCCAG43	WNK lysine deficient protein kinase 2	protein-coding
19:460012	chr19	459913	460113	+	298	NA	intron (NM_012435, intron 1 of 12)	CpG	983	NM_012435	25759	Hs.30965	NM_012435	ENSG00000129946	SHC2	SCK|SHCB|SLI	SHC adaptor protein 2	protein-coding
20:12679372,20:12679509	chr20	12679273	12679610	+	298	NA	Intergenic	Intergenic	238170	NR_109872	102606466	Hs.602196	NR_109872		LOC102606466	-	uncharacterized LOC102606466	ncRNA
21:38381363	chr21	38381264	38381464	+	298	NA	intron (NM_001317777, intron 2 of 2)	intron (NM_001317777, intron 2 of 2)	2362	NM_018962	53820	Hs.254560	NM_018962	ENSG00000183145	RIPPLY3	DSCR6	ripply transcriptional repressor 3	protein-coding
11:57389929	chr11	57389830	57390030	+	298	NA	Intergenic	Intergenic	-18741	NR_029673	406919		NR_029673	ENSG00000208009	MIR130A	MIRN130A|miRNA130A|mir-130a	microRNA 130a	ncRNA
6:135842210	chr6	135842111	135842311	+	298	NA	intron (NR_152845, intron 2 of 4)	intron (NR_152845, intron 2 of 4)	23272	NR_152844	100131814	Hs.734007	NR_026805	ENSG00000231028	LINC00271	C6orf217|NCRNA00271	long intergenic non-protein coding RNA 271	ncRNA
18:45920669	chr18	45920570	45920770	+	298	NA	intron (NM_001371287, intron 1 of 5)	intron (NM_001371287, intron 1 of 5)	15084	NM_001371284								
22:29308484	chr22	29308385	29308585	+	298	NA	intron (NM_001206998, intron 1 of 8)	intron (NM_001206998, intron 1 of 8)	-4892	NM_032173	84133	Hs.604200	NM_032173	ENSG00000183579	ZNRF3	BK747E2.3|RNF203	zinc and ring finger 3	protein-coding
2:152855654	chr2	152855555	152855755	+	298	NA	intron (NM_001330113, intron 2 of 10)	intron (NM_001330113, intron 2 of 10)	-25163	NM_001330115	785	Hs.120725	NM_000726	ENSG00000182389	CACNB4	CAB4|CACNLB4|EA5|EIG9|EJM|EJM4|EJM6	calcium voltage-gated channel auxiliary subunit beta 4	protein-coding
9:6846000	chr9	6845901	6846101	+	298	NA	intron (NR_148680, intron 4 of 21)	intron (NR_148680, intron 4 of 21)	88651	NM_001353999	23081	Hs.709425	NM_015061	ENSG00000107077	KDM4C	GASC1|JHDM3C|JMJD2C|TDRD14C	lysine demethylase 4C	protein-coding
19:58790067	chr19	58789968	58790168	+	298	NA	promoter-TSS (NR_144447)	promoter-TSS (NR_144447)	-253	NM_021089	7554	Hs.590941	NM_021089	ENSG00000278129	ZNF8	HF.18|Zfp128	zinc finger protein 8	protein-coding
X:29235253,X:29235314	chrX	29235154	29235415	+	298	NA	intron (NM_014271, intron 2 of 10)	intron (NM_014271, intron 2 of 10)	-357111	NR_049877	100847047		NR_049877	ENSG00000264090	MIR4666B	-	microRNA 4666b	ncRNA
18:57183734	chr18	57183635	57183835	+	298	NA	intron (NM_133459, intron 2 of 10)	intron (NM_133459, intron 2 of 10)	-157238	NM_005570	3998	Hs.465295	NM_005570	ENSG00000074695	LMAN1	ERGIC-53|ERGIC53|F5F8D|FMFD1|MCFD1|MR60|gp58	lectin, mannose binding 1	protein-coding
5:43484603	chr5	43484504	43484704	+	298	NA	promoter-TSS (NM_022483)	promoter-TSS (NM_022483)	-637	NM_022483	64417	Hs.732093	NM_022483	ENSG00000151881	TMEM267	C5orf28	transmembrane protein 267	protein-coding
17:55800156	chr17	55800057	55800257	+	298	NA	Intergenic	Intergenic	22503	NM_001282544	101927581	Hs.540784	NM_001282544	ENSG00000166329	CCDC182	-	coiled-coil domain containing 182	protein-coding
13:44817507	chr13	44817408	44817608	+	298	NA	Intergenic	Intergenic	-47172	NR_107046	102465876		NR_107046	ENSG00000276319	MIR8079	hsa-mir-8079	microRNA 8079	ncRNA
7:95240112,7:95240229	chr7	95240013	95240330	+	298	NA	Intergenic	Intergenic	-14343	NM_002612	5166	Hs.8364	NM_002612	ENSG00000004799	PDK4	-	pyruvate dehydrogenase kinase 4	protein-coding
9:120754398,9:120754546	chr9	120754299	120754647	+	298	NA	Intergenic	Intergenic	287792	NM_138557	7099	Hs.174312	NM_003266	ENSG00000136869	TLR4	ARMD10|CD284|TLR-4|TOLL	toll like receptor 4	protein-coding
20:22397919	chr20	22397820	22398020	+	298	NA	intron (NR_027089, intron 1 of 3)	intron (NR_027089, intron 1 of 3)	3361	NR_027090	284788	Hs.651993	NR_027089	ENSG00000204684	LOC284788	-	uncharacterized LOC284788	ncRNA
15:52410356	chr15	52410257	52410457	+	298	NA	3' UTR (NM_006578, exon 11 of 11)	3' UTR (NM_006578, exon 11 of 11)	-5385	NM_001306168	10017	Hs.283672	NM_020396	ENSG00000137875	BCL2L10	BCL-B|Boo|Diva|bcl2-L-10	BCL2 like 10	protein-coding
2:126595007	chr2	126594908	126595108	+	298	NA	Intergenic	L1MDa|LINE|L1	280554	NR_146970	105373600	Hs.555059	NR_146970	ENSG00000226813	LINC01941	-	long intergenic non-protein coding RNA 1941	ncRNA
12:6480436	chr12	6480337	6480537	+	298	NA	intron (NM_001159576, intron 1 of 11)	intron (NM_001159576, intron 1 of 11)	-3889	NM_001270987	4055	Hs.1116	NM_002342	ENSG00000111321	LTBR	D12S370|LT-BETA-R|TNF-R-III|TNFCR|TNFR-RP|TNFR2-RP|TNFR3|TNFRSF3	lymphotoxin beta receptor	protein-coding
22:19435324	chr22	19435225	19435425	+	298	NA	5' UTR (NM_173793, exon 1 of 3)	5' UTR (NM_173793, exon 1 of 3)	430	NM_173793	128977	Hs.659565	NM_173793	ENSG00000242259	C22orf39	-	chromosome 22 open reading frame 39	protein-coding
11:33387489	chr11	33387390	33387590	+	298	NA	Intergenic	Tigger6a|DNA|TcMar-Tigger	-10164	NM_012194	25758	Hs.502266	NM_012194	ENSG00000110427	KIAA1549L	C11orf41|C11orf69|G2	KIAA1549 like	protein-coding
4:153851248	chr4	153851149	153851349	+	298	NA	Intergenic	Intergenic	-6226	NM_001371116								
5:14900982	chr5	14900883	14901083	+	298	NA	Intergenic	Intergenic	-29096	NM_054027	56172	Hs.156727	NM_054027	ENSG00000154122	ANKH	ANK|CCAL2|CMDJ|CPPDD|HANK|MANK|SLC62A1	ANKH inorganic pyrophosphate transport regulator	protein-coding
15:27794284	chr15	27794185	27794385	+	298	NA	Intergenic	Intergenic	-387819	NR_120343	101928869	Hs.585699	NR_120343	ENSG00000228740	GABRG3-AS1	-	GABRG3 antisense RNA 1	ncRNA
8:125259777	chr8	125259678	125259878	+	297	NA	promoter-TSS (NR_125420)	promoter-TSS (NR_125420)	-139	NR_125420	101927588	Hs.617072	NR_125420	ENSG00000214803	LOC101927588	-	uncharacterized LOC101927588	ncRNA
4:47833150,4:47833331	chr4	47833051	47833432	+	297	NA	promoter-TSS (NR_125880)	promoter-TSS (NR_125880)	-121	NR_125881	101927179	Hs.570822	NR_125880		LOC101927179	-	uncharacterized LOC101927179	ncRNA
5:72560358	chr5	72560259	72560459	+	297	NA	Intergenic	Intergenic	-62571	NR_134291	340090	Hs.434311	NR_134291		LOC340090	-	uncharacterized LOC340090	ncRNA
9:136324845,9:136325025	chr9	136324746	136325126	+	296	NA	promoter-TSS (NM_001242369)	promoter-TSS (NM_001242369)	-151	NM_001242370	11094	Hs.62003	NM_017586	ENSG00000160325	CACFD1	C9orf7|D9S2135|FLOWER	calcium channel flower domain containing 1	protein-coding
5:134731329	chr5	134731230	134731430	+	296	NA	intron (NM_004893, intron 1 of 8)	Eulor2B|DNA?|DNA?	3598	NM_138610	9555	Hs.420272	NM_004893	ENSG00000113648	H2AFY	H2A.y|H2A/y|H2AF12M|MACROH2A1.1|mH2A1|macroH2A1.2	H2A histone family member Y	protein-coding
8:40026874,8:40026923	chr8	40026775	40027024	+	296	NA	Intergenic	Intergenic	15898	NM_020130	56892	Hs.591849	NM_020130	ENSG00000176907	TCIM	C8orf4|TC-1|TC1	transcriptional and immune response regulator	protein-coding
20:10776130,20:10776215	chr20	10776031	10776316	+	296	NA	Intergenic	Intergenic	42435	NR_110611	101929395	Hs.244862	NR_110611		LINC01752	-	long intergenic non-protein coding RNA 1752	ncRNA
10:77165062,10:77165167	chr10	77164963	77165268	+	296	NA	intron (NR_110302, intron 1 of 1)	CpG-2974	1192	NR_110302	100131213	Hs.534598	NR_024421	ENSG00000237149	ZNF503-AS2	C10orf41|NCRNA00245	ZNF503 antisense RNA 2	ncRNA
11:104034867	chr11	104034768	104034968	+	296	NA	promoter-TSS (NM_033135)	promoter-TSS (NM_033135)	7	NM_025208	80310	Hs.352298	NM_025208	ENSG00000170962	PDGFD	IEGF|MSTP036|SCDGF-B|SCDGFB	platelet derived growth factor D	protein-coding
12:76796276	chr12	76796177	76796377	+	295	NA	intron (NM_001319655, intron 3 of 20)	Charlie17a|DNA|hAT-Charlie	20788	NM_001319655	114882	Hs.430849	NM_020841	ENSG00000091039	OSBPL8	MST120|MSTP120|ORP8|OSBP10	oxysterol binding protein like 8	protein-coding
12:92618669,12:92618809,12:92618990	chr12	92618570	92619091	+	295	NA	Intergenic	Intergenic	78969	NR_135036	101928617	Hs.434392	NR_135036		LOC101928617	-	uncharacterized LOC101928617	ncRNA
13:111267825	chr13	111267726	111267926	+	295	NA	promoter-TSS (NR_040104)	promoter-TSS (NR_040104)	19	NM_001242882	55739	Hs.408324	NM_018210	ENSG00000213995	NAXD	CARKD|LP3298|PEBEL2	NAD(P)HX dehydratase	protein-coding
12:20124481	chr12	20124382	20124582	+	295	NA	Intergenic	LTR35A|LTR|ERV1	-43137	NR_040098	100506393	Hs.658356	NR_040098	ENSG00000256287	LINC02398	-	long intergenic non-protein coding RNA 2398	ncRNA
18:45711834	chr18	45711735	45711935	+	295	NA	intron (NM_001371287, intron 3 of 5)	intron (NM_001371287, intron 3 of 5)	8462	NM_001371288								
10:32049103	chr10	32049004	32049204	+	295	NA	Intergenic	CpG	148750	NM_001270699	94134	Hs.499264	NM_018287	ENSG00000165322	ARHGAP12	-	Rho GTPase activating protein 12	protein-coding
8:119124126	chr8	119124027	119124227	+	295	NA	promoter-TSS (NM_000127)	promoter-TSS (NM_000127)	-69	NM_000127	2131	Hs.492618	NM_000127	ENSG00000182197	EXT1	EXT|LGCR|LGS|TRPS2|TTV	exostosin glycosyltransferase 1	protein-coding
14:34931958	chr14	34931859	34932059	+	295	NA	promoter-TSS (NM_138288)	promoter-TSS (NM_138288)	-513	NM_138288	171546	Hs.740577	NM_138288	ENSG00000165389	SPTSSA	C14orf147|SSSPTA	serine palmitoyltransferase small subunit A	protein-coding
6:132655563	chr6	132655464	132655664	+	295	NA	intron (NM_015529, intron 4 of 11)	intron (NM_015529, intron 4 of 11)	67050	NM_015529	26002	Hs.6909	NM_015529	ENSG00000079931	MOXD1	MOX|PRO5780|dJ248E1.1	monooxygenase DBH like 1	protein-coding
1:84486117	chr1	84486018	84486218	+	295	NA	Intergenic	MER101B|LTR|ERV1	-21303	NM_024686	79739	Hs.445826	NM_024686	ENSG00000137941	TTLL7	-	tubulin tyrosine ligase like 7	protein-coding
